m,kW/m
Height,HRRPUL
 3.1000000E-001, 1.9394901E+002
 3.3019417E-001, 1.0396542E+002
 3.5038835E-001, 4.4420147E+001
 3.7058252E-001, 2.8674226E+001
 3.9077670E-001, 2.3198702E+001
 4.1097087E-001, 2.0891892E+001
 4.3116505E-001, 1.9387822E+001
 4.5135922E-001, 1.8179103E+001
 4.7155340E-001, 1.7069211E+001
 4.9174757E-001, 1.6025304E+001
 5.1194175E-001, 1.5035480E+001
 5.3213592E-001, 1.4108534E+001
 5.5233010E-001, 1.3247835E+001
 5.7252427E-001, 1.2524085E+001
 5.9271845E-001, 1.2052862E+001
 6.1291262E-001, 1.2159357E+001
 6.3310680E-001, 1.1515142E+001
 6.5330097E-001, 1.0471786E+001
 6.7349515E-001, 9.6292490E+000
 6.9368932E-001, 8.9047698E+000
 7.1388350E-001, 8.3380678E+000
 7.3407767E-001, 7.8275031E+000
 7.5427184E-001, 7.4132267E+000
 7.7446602E-001, 6.9935114E+000
 7.9466019E-001, 6.6061189E+000
 8.1485437E-001, 6.2545392E+000
 8.3504854E-001, 5.9294575E+000
 8.5524272E-001, 5.6152171E+000
 8.7543689E-001, 5.3328749E+000
 8.9563107E-001, 5.0648154E+000
 9.1582524E-001, 4.8174340E+000
 9.3601942E-001, 4.5671782E+000
 9.5621359E-001, 4.3016128E+000
 9.7640777E-001, 4.0540557E+000
 9.9660194E-001, 3.8110789E+000
 1.0167961E+000, 3.5554795E+000
 1.0369903E+000, 3.3114574E+000
 1.0571845E+000, 3.0940514E+000
 1.0773786E+000, 2.8956853E+000
 1.0975728E+000, 2.7061104E+000
 1.1177670E+000, 2.5365779E+000
 1.1379612E+000, 2.3802804E+000
 1.1581553E+000, 2.2178402E+000
 1.1783495E+000, 2.0691032E+000
 1.1985437E+000, 1.9525053E+000
 1.2187379E+000, 1.8974860E+000
 1.2389320E+000, 1.7458988E+000
 1.2591262E+000, 1.4887610E+000
 1.2793204E+000, 1.2980448E+000
 1.2995146E+000, 1.1120513E+000
 1.3197087E+000, 9.6259283E-001
 1.3399029E+000, 8.2925635E-001
 1.3600971E+000, 6.1625454E-001
 1.3802913E+000, 5.2557960E-001
 1.4004854E+000, 4.4426823E-001
 1.4206796E+000, 3.7577612E-001
 1.4408738E+000, 3.1850436E-001
 1.4610680E+000, 2.6912927E-001
 1.4812621E+000, 2.2962560E-001
 1.5014563E+000, 1.9513106E-001
 1.5216505E+000, 1.6052336E-001
 1.5418447E+000, 1.3010804E-001
 1.5620388E+000, 1.0596388E-001
 1.5822330E+000, 8.5898866E-002
 1.6024272E+000, 6.9143516E-002
 1.6226214E+000, 5.6438318E-002
 1.6428155E+000, 4.7029121E-002
 1.6630097E+000, 3.9703369E-002
 1.6832039E+000, 3.2817876E-002
 1.7033981E+000, 2.6572972E-002
 1.7235922E+000, 2.1566169E-002
 1.7437864E+000, 1.7132150E-002
 1.7639806E+000, 1.3508473E-002
 1.7841748E+000, 9.3911424E-003
 1.8043689E+000, 8.2177905E-003
 1.8245631E+000, 6.9178101E-003
 1.8447573E+000, 5.2865216E-003
 1.8649515E+000, 4.3850230E-003
 1.8851456E+000, 3.4564176E-003
 1.9053398E+000, 2.7724934E-003
 1.9255340E+000, 2.2031262E-003
 1.9457282E+000, 1.7975894E-003
 1.9659223E+000, 1.4579948E-003
 1.9861165E+000, 1.1837384E-003
 2.0063107E+000, 9.6565173E-004
 2.0265049E+000, 7.9015024E-004
 2.0466990E+000, 6.5516237E-004
 2.0668932E+000, 5.4710382E-004
 2.0870874E+000, 4.5229217E-004
 2.1072816E+000, 3.7768022E-004
 2.1274757E+000, 3.1570827E-004
 2.1476699E+000, 2.6537270E-004
 2.1678641E+000, 2.2121253E-004
 2.1880583E+000, 1.8366019E-004
 2.2082524E+000, 1.4902886E-004
 2.2284466E+000, 1.2087562E-004
 2.2486408E+000, 9.6141625E-005
 2.2688350E+000, 7.8255276E-005
 2.2890291E+000, 6.3893845E-005
 2.3092233E+000, 5.1144940E-005
 2.3294175E+000, 4.1081390E-005
 2.3496117E+000, 3.2761636E-005
 2.3698058E+000, 2.6990812E-005
 2.3900000E+000, 1.5646425E-005
