[1]	C. Chasteen, ed. Division of the State Fire Marshal State of Florida, 2010.
[2]	Z. R. E. N. Yahoo, "1100 Prospect Pl, Brooklyn, NY 11213 - Zillow," ed, 2012.
[3]	R. Schlesinger, "The 2015 U.S. and World Populations," in U.S. Population 2015: 320 Million and World Population 7.2 Billion vol. 2015, R. Schlesinger, Ed., ed: US News, 2014.
[4]	"America Burning Revisited," in America Burning Revisited National Workshop, Tyson’s Corner, Virginia, 1987.
[5]	J. Almirall and K. Furton, Analysis and Interpretation of Fire Scene Evidence. Boca Raton, FL: CRC Press, 2004.
[6]	C. L. Beyler, "Analysis of the Fire Investigation Methods and Procedures Used in the Crimal Arson Cases Against Ernest Ray Willis and Cameron Todd Willingham," Hughes Associates, Inc., Baltimore, MDAugust 17 2009.
[7]	R. W. Bukowski and R. C. Spetzler, "Analysis of the Happyland Social Club Fire With HAZARD I," Journal of Fire Protection Engineering, vol. Vol. 4, No. 4,, pp. 117-131, 1992.
[8]	"Anatomy of a Fire," ed. Garston, Watford, 1982.
[9]	T. S. T. G. o. E. Practices, "Assessing Flame Radiaiton to External Targets from Pool Fires," Society of Fire Protection Engineers (SFPE), Bethesda, MD, Engineering GuideJune 1999.
[10]	"ASTM E1355-12, Standard Guide for Evaluating the Predictive Capability of Deterministic Fire Models ", ed. West Conshohocken, PA: ASTM International.
[11]	"ASTM E-1354-04a," in Standard Test Method for Heat and Visible Smoke Release Rates for Materials and Products Using an Oxygen Consumption Calorimeter, ed. West Conshohocken, PA: ASTM International, 2004.
[12]	L. Y. Cooper and J.-M. Franssen, "A Basis for Using Fire Modeling With 1-D Thermal Analyses of Barriers/Partitions to Simulate 2-D and 3-D Barrier/Partition Structural Performance in Real Fires," National Institute of Standards and Technology, Gaithersburg, MD NISTIR 6170, September 1998.
[13]	L. G. Blevins, ""Behavior of Bare and Aspirated Thermocouples in Compartment Fires"," in National Heat Transfer Conference, 33rd Proceedings  HTD99-280, Albuquerque, NM, 1999.
[14]	J. J. A. Janssen, Building with Bamboo: a Handbook. London: Intermediate Technology Publications, 1988.
[15]	"Career Fire Fighter Dies in Wind Driven Residential Structure Fire - Virginia," National Institute for Occupational Safety and Health, Morgantown, WV2008.
[16]	"Career Probationary Fire Fighter and Captain Die as a Result of Rapid Fire Progression in a Wind-Driven Residential Structure Fire - Texas," The National Institute for Occupational Safety and Health, Cincinatti, OHApril 8, 2010.
[17]	P. L. E. Richards, "CHARACTERISING A DESIGN FIRE FOR A DELIBERATELY LIT FIRE SCENARIO " Master of Fire Engineering, Fire Engineering, University of Canterbury, University of Canterbury, 2008.
[18]	M. A. Kokkala, "Characteristics of a Flame in an Open Corner of Walls," presented at the Interflam '93, 1993.
[19]	O. Popplewell, "Committee of Inquiry into Crowd Safety at Sports Grounds: Final Report," HMSO, London1986.
[20]	K. McGrattan, C. Bouldin , and G. Forney, "Computer Simulation of the Fires in the World Trade Center Towers," Gaithersburg, MDSeptember 2005.
[21]	S. Simcox, N. S. Wilkes, and I. P. Jones, "Computer Simulation of the Flows of Hot Gases from the Fire at King's Cross Underground Station," Fire Safety Journal, vol. vol 18, 1992.
[22]	S. Simcox, N. S. Wilkes, and I. P. Jones, "Computer simulation of the flows of hot gases from the fire at the King's Cross Underground Station," Fire Safety Journal, vol. 18, pp. 49-73, 1992.
[23]	D. Madrzykowski and W. Walton, "Cook County Administration Building Fire, 69 West Washington, Chicago, Illinois, October 17, 2003: Heat Release Rate Experiments and FDS Simulations," National Institute of Standards and Technology, Gaithersburg, MDDecember 2004.
[24]	D. Madrzykowski and W. D. Walton, "Cook County Administration Building Fire, 69 West Washington, Chicago, Illinois, October 17, 2003: Heat Release Rate Experiments and FDS Simulations " National Institute of Standards and Technology, Gaithersburg, MD NIST SP - 1021.
[25]	(2010, 2/20). Crime in the United States. Available: http://www.fbi.gov/about-us/cjis/ucr/crime-in-the-u.s/2010/crime-in-the-u.s.-2010/property-crime/arsonmain
[26]	B. J. Stratton, "Determining Flame Height And Flame Pulsation Frequency And Estimating Heat Release Rate From 3D Flame Reconstruction," Master of Engineering in Fire Engineering, Department of Civil Engineering, University of Canterbury, Christchurch, New Zealand, 2005.
[27]	B. J. Stratton, "Determining Flame Height and Flame Pulsation Frequency and Estimating Heat Release Rate From 3D Flame Reconsturction," Master of Engineering in Fire Engineering, Department of Civil Engineering, University of Canterbury, Christchurch, New Zealand, 2005.
[28]	F. W. Mowrer, "The Effect of "Blistering" on the Ignition and Flammability of Painted Gypsum Wallboard," National Institue of Standards and Technology (NIST), Gaithersburg, MD NIST GCR 01-804, January 2001.
[29]	A. Mensch  and N. Bryner, "Emergency First Responder Respirator Thermal Characteristics Workshop Proceedings," Gaithersburg, MD, June 2011.
[30]	B. Karlsson and J. Quintiere, Q, Enclosure Fire Dynamics. Boca Raton, FL, USA: CRC Press, 2000.
[31]	R. Noon, Engineering Analysis of Fires and Explosions. Boca Raton, FL, USA: CRC Press, 1995.
[32]	G. Heskestad, "Engineering Relations for Fire Plumes," Fire Safety Journal, vol. 7, 1984.
[33]	"Engineering Toolbox, April 2011. [Online]. Available: http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html.," ed, 2011.
[34]	H. E. Nelson, "An Engineering View of the Fire of May 4, 1988 in the First Interstate Bank Building, Los Angeles, California," National Institute of Standards and Technology, Gaithersburg, MD NISTIR 89-4061, 1989.
[35]	B. M. Cetegen, E. E. Kukoski, and T. Kubota, "Entrainment and Flame Geometry of Fire Plumes," National Bureau of Standards, Washington DC NBS-GCR-82-402, August 1982.
[36]	B. J. McCaffrey, "Entrainment and Heat Flux of Buoyant Diffusion Flames," National Bureau of Standards, Washington DC NBSIR 82-2473, February 1982.
[37]	J. Watanabe and T. Takeyoshi, "Experimental Investigation into Penetration of a Weak Fire Plume into a Hot Upper Layer," Journal of Fire Sciences, vol. 22, pp. 405-420, September 2004.
[38]	"Experimental research for Scottish Building Standards Agency following the fire at the Rosepark Care Home 31st January 2004," Building Research Establishment Ltd – Fire Safety Framework, Glasgow2004.
[39]	"FDS-SMV for Windows," FDS 6.1.2, SMV 6.1.12 ed.
[40]	"Fiberglas Insulation k values," in The Engineering Toolbox, ed, 2011.
[41]	S. A. Chines and J. O. Stull, "Fibers and Textiles," in Fire Protection Handbook. vol. II, ed Quincy, MA, 2003.
[42]	K. H. Woo, "Final Report of the Inquiry into the Garley Building Fire on 20th November 1996," Government Printer, Hong Kong1997.
[43]	(2014, April) Fire and Climate Risk. World Fire Statistics [Bulletin]. 18. Available: https://www.genevaassociation.org/media/874729/ga2014-wfs29.pdf
[44]	V. Babrauskas and J. Krasny, "Fire Behavior of Upholstered Furniture," National Institute of Standards and Technology (formerly NBS), Gaithersburg, MD NBS Monograph 173, 1985.
[45]	K. McGrattan, S. Hostikka, R. McDermott, J. Floyd, C. Weinschenk, and K. Overholt, "Fire Dynamics Simulator Technical Reference Guide," National Institute of Standards and Technology, Gaithersburg, MD Special Publication 1018, September 30 2014.
[46]	K. McGrattan, S. Hostikka, R. McDermott, J. Floyd, C. Weinschenk, and K. Overholt, "Fire Dynamics Simulator Technical Reference Guide
" September 30 2014.
[47]	K. B. McGrattan, R. J. McDermott, C. G. Weinschenk, and G. P. Forney, "Fire Dynamics Simulator Users Guide, Sixth Edition," N.I.S.T. NIST SP - 1019, November 04, 2013.
[48]	K. B. McGrattan, R. J. McDermott, C. G. Weinschenk, and G. P. Forney, "Fire Dynamics Simulator, Technical Reference Guide, Sixth Edition," National Institute of Standards and Technology, Gaithersburg, MD NIST SP - 1018, November 04 2014.
[49]	D. Madrzykowski  and S. Kerber, "Fire Fighting Tactics Under Wind Driven Conditions: Laboratory Experiments," National Institute of Standards and Technologies, Gaithersburg, MDJanuary 2009.
[50]	S. Kerber and D. Madrzykowski, "Fire Fighting Tactics Under Wind Driven Fire Conditions: 7-Story Building Experiments," National Institute of Standards and Technology, Gaithersburg, MDApril 2009.
[51]	P. Woodburn and D. D. Drysdale, "Fire in Inclined Trenches: the dependence of the critical angle on the trench and burner geometry," Fire Safety Journal, vol. 31, pp. 143-164, 1998.
[52]	P. Woodburn and D. D. Drysdale, "Fire in Inclined Trenches: time-varying features of the attached plume," Fire Safety Journal, vol. 31, pp. 165-1172, 1998.
[53]	Fire Investigation. Boca Raton: CRC Press, 2004.
[54]	J. Michael J. Karter, "Fire Loss in the United States During 2013," Quincy, MA NFPA# FLX10-01, September 2014.
[55]	B. J. McCaffrey, "Fire Plume Dynamics - A Review," presented at the Conference on Large-Scale Fire Phenomenology, National Bureau of Standards, Gaithersburg, MD, 1984.
[56]	C. L. Beyler, "Fire Plumes and Ceiling Jets," Fire Safety Journal, vol. 11, July 1986.
[57]	C. Beyler, "“Fire Plumes and Ceiling Jets.”  " Fire Safety Journal, vol. Vol. 11, pp. pp 53-75.
[58]	H. G., “Fire Plumes, Flame Height and Air Entrainment”, 4th ed. ed.: SFPE 	2008.
[59]	"Fire Safety Framework."
[60]	"The Five E’s of Prevention — A New Approach ", U. S. D. o. H. Security, Ed., ed: Federal Emergency Management Agency (FEMA), 2013.
[61]	W. Takahashi, H. Tanaka, O. Sugawa, and M. Ohtake, "Flame and Plume Behavior in and near a Corner of Walls," presented at the Fire Safety Science - Proceedings of the Fifth International Symposium.
[62]	M. A. Delichatsios, "Flame Height in Turbulent Wall Fires with Significant Flame Radiation," presented at the Fire Research Conference in honor of Howard Emmons, Washington, D.C. , 1984.
[63]	J. J. Robert McGraw and F. W. Mowrer, "Flammability and Dehydration of Painted Gypsum Wallboard Subjected to Fire Heat Fluxes," presented at the Fire Safety Science - Proceedings of the Sixth International Symposium.
[64]	J. J. Robert McGraw and F. W. Mowrer, "Flammability and Dehydration of Painted Gypsum Wallboard Subjected to Fire Heat Fluxes," International Association for Fire Safety Science (IAFSS), Poitiers, France, Intl. Assoc. for Fire Safety Science, Boston, MA
July 5-9 1999.
[65]	T. Ohlemiller, J. Shields, R. McLane, and R. Gann, "Flammability Assessment Methods for Mattresses " National Institute of Standards and Technology, Gaithersburg, MDJune 2000.
[66]	F. W. Mowrer, "Flammability of Oil-Based Painted Gypsum Wallboard Subjected to Fire Heat Fluxes," National Institute of Standards and Technology, Gaithersburg, MD NIST GCR 01-805, 2001.
[67]	(2015). Flexible Polyurethane Foam: Industry at a Glance.  	  . Available: http://www.pfa.org/Library/IAG_no_logo.pdf
[68]	Icove, DeHaan, and Haynes, Forensic Fire Scene Reconstruction. Upper Saddle River, NJ, USA: Pearson Education, Inc, 2013.
[69]	A. D. Putorti, "Full Scale Room Burn Pattern Study," Washington D.C. NIJ Report 601-97, December 1997.
[70]	J. Quintiere, Q, Fundamentals of Fire Phenomena. West Sussex, England: John Wiley & Sons Ltd, 2006.
[71]	A. Tewarson, Generation of Heat and Gaseous, Liquid, and Solid Products in Fires, in The SFPE Handbook of Fire Protection Engineering. Bethesda, MD: National Fire Protection Association, 2008.
[72]	"Giidlines for Substantiating a Fire Model for a Given Application," Society of Fire Protection Engineers, Bethesda ISBN 978-0-9830391-0-5, 2011.
[73]	R. A. Bryant and G. W. Mulholland. (2008) A Guide to characterizing heat release rate measurement uncertainty for full-scall fire tests. Fire Mater. 121-139. 
