Time (s),0: O2 (Vol fr),1: CO2 (Vol fr),2: CO (Vol fr),3: H2O (Vol fr),4: SampDewPoint (°C),5: SampMassFlow (SLPM),6: NCPflowA1 (Pa),7: NCPflowA2 (Pa),8: NCPflowB1 (Pa),9: NCPflowB2 (Pa),10: TrimTechPos (V),11: PAnnubarBlowBack (psig),12: PDuctSample (psia),13: PHouseAir (psig),14: PtubeIN (psig),15: PtubeOUT (psig),16: PDryerPurge (psig),17: GastPumpFlow (L/min),18: DuctPumpFlow (L/min),19: TpumpBOX (°C),20: HeatFlux (V),21: TMiniGASS (°C),22: R2490 (Ohms),23: Tflow78a1 (°C),24: Tflow78a2 (°C),25: Tflow78b1 (°C),26: Tflow78b2 (°C),27: Tflow96a1 (°C),28: Tflow96a2 (°C),29: Tflow96b1 (°C),30: Tflow96b2 (°C),31: PflowA1 (Pa),32: PflowB1 (Pa),33: Tflow19a1 (°C),34: Tflow19a2 (°C),35: TambNG (°C),36: Smoke3m (V),37: FreqNG (Hz),38: PNG (psia),39: EventMark5V (V),40: HeatFlux2 (V),41: PflowECS34Stack (Pa),42: TflowECS34Stack (°C),43: ToutsideStack (°C),44: NGTMR1 (Ohms),45: TempHighBay (°C),46: PressHighBay (Torr),47: HumidHighBay (%),48: TeA (°C),49: TeB (°C),50: RhoeA (kg/m3),51: RhoeB (kg/m3),52: VeA (m/s),53: VeB (m/s),54: VFReA (m3/s),55: VFReB (m3/s),56: MFReA (kg/s),57: MFReB (kg/s),58: MFRe (kg/s),59: H2Oa (Vol fr),60: DryGasPPM (ppmv),61: Phi (none),62: NGTM1 (°C),63: NGflow (m3/s),64: Zng (none),65: HOCng (MJ/m3),66: HRRburner (kW),67: HRR (kW),68: newCf (none),69: VFReCFM (CFM),70: RhoeStack (kg/m3),71: Vstack (m/s),72: VFRStack (m3/s),73: MFRStack (kg/s),74: VFRStackCFM (CFM)
0,0.20947,0.0004239,4e-07,0.011221,-44.68,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.7933,10.315,102.13,31.899,31.871,98.682,4.61,30.27,22.136,3.1e-05,67.89,2494.8,21.58,21.6,21.42,21.42,18.52,18.76,18.61,18.64,47.113,49.645,24.02,24.03,22.11,2.5231,-0.0002,21.772,4.102,-5.3e-05,70.311,35.55,20.59,2428,20.51,751.85,66.617,21.59,21.42,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.016055,73.91,1.8e-05,23.3,-0,0.9977,33.72,-0.02,1.07,-0.015,36309,1.13,8.23,21.4,24.48,45354
1,0.20947,0.0004239,4e-07,0.011221,-44.68,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.7933,10.315,102.13,31.899,31.871,98.682,4.61,30.27,22.136,3.1e-05,67.89,2494.8,21.58,21.6,21.42,21.42,18.52,18.76,18.61,18.64,47.113,49.645,24.02,24.03,22.11,2.5231,-0.0002,21.772,4.102,-5.3e-05,70.311,35.55,20.59,2428,20.51,751.85,66.617,21.59,21.42,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.016055,73.91,1.8e-05,23.3,-0,0.9977,33.72,-0.02,1.07,-0.015,36309,1.13,8.23,21.4,24.48,45354
2,0.20947,0.0004236,3e-07,0.011227,-44.65,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.7935,10.315,102.04,31.903,31.871,98.586,4.6133,30.264,22.141,3.1e-05,67.92,2494.8,21.59,21.61,21.43,21.42,18.53,18.76,18.63,18.65,47.113,49.645,24.01,24.03,22.1,2.5227,-0.0008,21.772,4.102,-5e-05,70.311,35.54,20.59,2428,20.42,751.84,66.732,21.6,21.43,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.015996,74.19,1.9e-05,23.3,-0,0.9977,33.72,-0.08,1.1,-0.072,36310,1.13,8.23,21.4,24.48,45354
3,0.20947,0.0004246,2e-07,0.011222,-44.7,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.7943,10.322,101.94,31.901,31.869,98.5,4.6143,30.261,22.138,3.1e-05,67.73,2495.1,21.59,21.61,21.43,21.41,18.53,18.75,18.62,18.65,47.113,49.645,24.01,24.03,22.1,2.5228,0.0004,21.771,4.102,-5.4e-05,70.311,35.55,20.61,2428,20.42,751.84,66.732,21.6,21.42,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.015996,73.71,1.8e-05,23.3,0,0.9977,33.72,0.04,1.04,0.043,36310,1.13,8.23,21.4,24.48,45354
4,0.20947,0.0004247,2e-07,0.011228,-44.71,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.7931,10.319,101.85,31.901,31.871,98.407,4.6166,30.262,22.146,3.1e-05,67.34,2494.8,21.58,21.59,21.42,21.41,18.52,18.76,18.61,18.65,47.113,49.645,24,24.02,22.11,2.523,-0.0031,21.77,4.102,-5.2e-05,70.311,35.54,20.62,2428,20.42,751.84,66.732,21.58,21.42,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.015996,73.64,1.8e-05,23.3,-0,0.9977,33.72,-0.3,1.04,-0.293,36309,1.13,8.23,21.4,24.48,45354
5,0.20947,0.0004251,2e-07,0.011231,-44.72,5,-0.4078,-0.7456,-0.3929,670.5,-0.0042,0.7932,10.315,101.76,31.905,31.869,98.315,4.6171,30.267,22.145,3.1e-05,66.87,2495,21.57,21.59,21.42,21.41,18.53,18.76,18.62,18.65,47.113,49.645,24.01,24.03,22.1,2.5235,-0.0013,21.77,4.102,-5.1e-05,70.311,35.53,20.65,2428,20.42,751.84,66.732,21.58,21.42,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.015996,73.56,1.7e-05,23.3,-0,0.9977,33.72,-0.13,1,-0.127,36309,1.13,8.23,21.4,24.48,45353
6,0.20948,0.0004257,3e-07,0.011236,-44.74,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.7926,10.32,101.67,31.896,31.872,98.219,4.6178,30.265,22.154,3.1e-05,66.39,2494.7,21.57,21.59,21.43,21.42,18.53,18.76,18.62,18.66,47.113,49.645,24,24.03,22.09,2.5233,-0.0017,21.77,4.102,-5.2e-05,70.311,35.53,20.63,2428,20.42,751.84,66.732,21.58,21.42,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.015996,73.34,1.6e-05,23.3,-0,0.9977,33.72,-0.17,0.95,-0.18,36309,1.13,8.23,21.4,24.48,45353
7,0.20947,0.000426,4e-07,0.011231,-44.72,5,-0.4078,-0.7456,-0.3929,670.5,-0.0042,0.7926,10.311,101.59,31.894,31.863,98.122,4.6215,30.255,22.144,3.1e-05,66.27,2495.1,21.58,21.59,21.42,21.41,18.53,18.76,18.63,18.67,47.113,49.645,24,24.02,22.1,2.5233,0.0015,21.769,4.102,-5.2e-05,70.311,35.53,20.61,2428.1,20.42,751.84,66.732,21.58,21.42,1.18,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.015996,73.55,1.6e-05,23.3,0,0.9977,33.72,0.15,0.91,0.166,36309,1.13,8.23,21.4,24.48,45353
8,0.20947,0.0004269,5e-07,0.01123,-44.73,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.7937,10.318,101.51,31.885,31.858,98.031,4.6274,30.259,22.145,3.1e-05,66.82,2494.9,21.57,21.59,21.42,21.41,18.53,18.76,18.62,18.67,47.113,49.645,24.01,24.03,22.12,2.5237,0.001,21.767,4.103,-5.3e-05,70.311,35.52,20.6,2428.1,20.42,751.84,66.732,21.58,21.41,1.19,1.19,5.59,5.74,17.14,17.59,20.52,21.07,20.8,0.015996,73.49,1.4e-05,23.3,0,0.9977,33.72,0.1,0.83,0.118,36308,1.13,8.23,21.4,24.48,45353
9,0.20947,0.0004268,4e-07,0.011223,-44.68,5,-0.4078,-0.7456,-0.3929,670.5,-0.0041,0.794,10.312,101.41,31.883,31.852,97.941,4.6329,30.27,22.131,3.1e-05,67.22,2494.9,21.59,21.6,21.41,21.4,18.53,18.76,18.62,18.66,47.113,49.645,24,24.01,22.12,2.5232,-0.0015,21.769,4.104,-5.4e-05,70.311,35.51,20.58,2428.1,20.42,751.84,66.732,21.59,21.4,1.18,1.19,5.59,5.74,17.14,17.58,20.52,21.07,20.8,0.015996,73.88,1.5e-05,23.3,-0,0.9977,33.72,-0.15,0.85,-0.172,36310,1.13,8.23,21.4,24.48,45351
