Time,150813_OB_H1-0mAF,150803_OB_V1-0mAF,65287_CB_H1-0mAF,65285_CB_V1-0mAF
9,0.040351643,-0.010018321,-0.026890187,-0.009911308
19,-0.066949062,-0.1346033,0.1008974,-0.1008974
29,-0.033287438,-0.0334856,-0.0669712,-0.2017948
39,-0.066773038,0.0671915,-0.1008974,0.0332653
49,0.000396324,0.1346033,-0.1006771,-0.0004406
59,-0.1676483,0.134383,0.0004406,0.0669712
69,0.0002203,0.1346033,0.0337059,-0.0671915
79,-0.402510238,0.0676321,0.1008974,-0.2017948
89,-0.033287438,0.1346033,4.44089E-17,-0.1006771
99,-0.133744238,0.134383,0.1346033,-0.1006771
109,-0.100654962,0.0671915,0.134383,-8.32667E-18
119,0.034080086,0.2015745,0.2015745,-0.0669712
129,-0.033287438,0.2015745,-0.1346033,-0.1346033
139,0.201970824,0.3024719,0.0334856,-0.0339262
149,0.336111386,0.940681,0.134383,-0.0671915
159,1.311159186,1.7471993,0.1008974,-0.1006771
169,2.352957886,3.2602197,0.2689863,-0.0671915
179,4.000361286,4.436842,0.1680889,0.0332653
189,4.840805786,5.3440374,0.1680889,0.0337059
199,5.278101286,5.6125831,0.0671915,0.2013542
209,6.219222886,5.9494218,0.0332653,-0.0002203
219,6.421017686,6.3190852,0.0334856,0.1006771
229,6.891578486,6.386497,0.2692066,-2.77556E-17
239,7.059667386,6.7559401,0.1676483,-0.0337059
249,7.429330786,6.6215571,0.2355007,0.2350601
259,7.664390886,6.5543656,0.2355007,0.1341627
269,7.530007886,6.7224545,0.1683092,0.0339262
279,7.630684986,6.6889689,0.3022516,-0.0337059
289,7.496301986,6.0166133,0.2352804,0.1341627
299,7.059447086,6.2512328,0.2020151,-0.0671915
309,6.656077786,5.6799949,0.2689863,-0.1006771
319,6.421237986,5.4782001,0.3022516,0.0671915
329,5.950016286,5.5456119,0.2015745,0.1008974
339,5.748441786,4.974374,0.1680889,0.1008974
349,5.849118886,4.9406681,0.3024719,0.268766
359,6.016987486,4.705608,0.3024719,0.1678686
369,5.580573186,4.571225,0.1008974,0.2350601
379,4.975849686,4.3026793,0.1346033,-0.1006771
389,5.614279086,4.4705479,0.0674118,0.2015745
399,5.580573186,4.8062851,0.1683092,0.0669712
409,5.278101286,4.4703276,-0.1008974,0.0669712
419,5.043041186,4.3359446,3.33067E-17,0.1678686
429,4.975849686,4.0669583,0.0674118,-0.0002203
439,4.841246386,3.9327956,-0.0334856,0.2015745
449,4.504848286,3.7644864,0.2017948,0.0667509
459,4.235641686,3.5289857,0.134383,0.1341627
469,4.269347586,3.5961772,0.1683092,-0.0671915
479,4.605525386,3.6294425,0.268766,-0.0339262
489,4.571819486,3.5624713,0.0671915,-0.0002203
499,4.470922086,4.0671786,0.1008974,0.1678686
509,4.504627986,4.0671786,0.0334856,-0.0671915
519,4.437436486,4.1008845,-0.0002203,0.0337059
529,3.966875686,3.4955001,0.0337059,-0.0002203
539,3.596991986,3.3606765,0.0669712,-0.0002203
549,2.958342286,2.9912334,0.1346033,0.1678686
559,2.588458586,2.4199955,0.134383,3.05311E-17
569,2.453634986,2.4534811,0.2355007,0.134383
579,2.285546086,2.2179804,0.3696634,0.0669712
589,1.479248086,1.6463019,0.2352804,0.2017948
599,1.176776186,1.5456248,0.0674118,0.0332653
609,1.075438186,1.1085496,0.2350601,-0.0671915
619,1.008246686,1.0413581,0.0334856,0.0332653
629,1.176555886,0.9741666,0.0334856,-0.1006771
639,1.109364386,0.9409013,0.1006771,0.0669712
649,0.974540786,0.6045032,0.134383,0.0667509
659,0.873643386,0.7054006,0.0339262,-0.0674118
669,0.772525686,0.7391065,0.1683092,0.1341627
679,0.840378086,0.7054006,0.1680889,-0.0337059
689,0.705774786,0.5377523,-0.0339262,0.2015745
699,0.840157786,0.7393268,0.1680889,-0.1008974
709,1.075438186,0.6382091,-0.0332653,-0.134383
719,0.806672186,0.7725921,0.0337059,-2.77556E-17
729,0.739480686,0.9069751,0.2017948,-0.0674118
739,0.806451886,0.7056209,0.2017948,-0.0674118
749,0.772966286,0.9067548,0.1011177,3.46945E-17
759,0.605097686,0.7391065,0.0674118,-0.0337059
769,0.705995086,0.6384294,0.1346033,0.1011177
779,0.806672186,0.6047235,0.0671915,0.1339424
789,0.436788486,0.5710176,0.1008974,-0.0334856
799,0.336111386,0.3696634,-0.0337059,-0.0334856
809,0.403523186,0.5712379,0.0671915,1.38778E-18
819,0.605097686,0.403149,0.1006771,-0.1008974
829,0.369596986,0.3694431,-0.134383,-0.0337059
839,0.437229086,0.3698837,0.0669712,0.1341627
849,0.437008786,0.537532,0.0671915,-0.0337059
859,0.302427624,0.4368549,0.0674118,-0.0674118
869,0.369817286,0.2352804,0.2017948,-0.0337059
879,0.403302886,0.3696634,0.1006771,0.0669712
889,0.437008786,0.3024719,-0.0674118,-0.0339262
899,0.1678686,0.3694431,0.134383,-0.0002203
909,0.302625786,0.3024719,-0.0334856,-0.1678686
