Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,CO2_OB_1-0mAF,CO_OB_1-0mAF,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF
0,14.544477,14.532582,14.578329,14.108538,14.23379,13.774664,13.817916,13.019808,18.236059,18.158497,17.850374,17.775784,17.158124,16.83208,16.069171,10.725053,18.317021,17.249105,17.441373,17.053178,17.281825,11.284249,10.840409,14.68234,20.224977,19.136363,18.496046,18.104794,17.472487,16.527887,15.749796,14.544169,24.864462,23.613972,23.261719,22.214563,20.762397,19.362031,16.538832,15.408643,8.999252,16.405559,19.389975,13.990028,14.683259,0,0,0,0,0,20.95,0,0
1,14.576886,14.564984,14.57261,14.102818,14.113663,13.730792,13.735903,12.937765,18.306384,18.114766,17.806642,17.770079,17.266522,16.864445,16.063459,10.833935,18.235295,17.281442,17.435667,17.04747,17.238054,11.316733,10.719993,14.638497,20.219283,19.054722,18.6044,18.09909,17.542879,16.522177,15.629784,14.53845,24.907932,23.506105,23.040276,22.068689,20.654284,19.291753,16.544537,15.261959,9.043222,16.44935,19.509621,13.995743,14.574609,-0.095718336,0.516269952,-0.291633408,-0.0002196,-0.000632814,20.97557367,0.00194994,0.000340666
2,14.544477,14.532582,14.578329,14.108538,14.15752,13.812813,13.779771,13.019808,18.274073,18.120469,17.812346,17.813828,17.272229,16.870154,16.069171,10.839666,18.240998,17.287149,17.441373,17.053178,17.319887,11.284249,10.763953,14.644215,20.111062,19.022449,18.534066,18.180822,17.548585,16.489821,15.711698,14.506058,24.858797,23.608301,23.142493,22.170998,20.680847,19.356339,16.533127,15.250539,8.955281,16.514109,19.536221,13.984313,14.715665,-0.095718336,0.045540352,0.012201152,-0.000495,-0.000754908,20.98196342,0.00222534,0.00070615
3,14.506349,14.64694,14.578329,14.070399,14.15752,13.774664,13.741625,13.057966,18.312087,18.196523,17.850374,17.851871,17.310261,16.908227,16.10726,10.839666,18.317021,17.287149,17.441373,17.091236,17.243761,11.246034,10.802182,14.644215,20.111062,19.136363,18.572084,18.218835,17.548585,16.604016,15.559294,14.620389,24.864462,23.689657,23.375261,22.403974,20.800327,19.475978,16.462714,15.370546,9.152206,16.48173,19.541912,14.028168,14.721378,-0.050138176,-0.075874048,-0.246053248,-0.000495,-0.001241688,20.94999372,0.00030294,0.002289382
4,14.506349,14.608821,14.578329,14.108538,14.195655,13.736514,13.741625,13.019808,18.236059,18.120469,17.812346,17.813828,17.234195,16.870154,16.145347,10.763258,18.317021,17.287149,17.441373,17.091236,17.281825,11.322463,10.763953,14.720463,20.111062,19.098393,18.572084,18.180822,17.472487,16.604016,15.559294,14.620389,24.751036,23.651815,23.375261,22.366094,20.876185,19.513958,16.500774,15.408643,9.228679,16.48173,19.465946,14.028168,14.568897,-0.034911616,-0.409962688,-0.139765888,-0.000495,-0.000754908,20.94680932,-0.00024786,-0.000146114
5,14.506349,14.532582,14.61645,14.146677,14.119383,13.698363,13.703477,12.981649,18.122008,18.120469,17.812346,17.775784,17.19616,16.908227,16.10726,10.801462,18.27901,17.287149,17.403315,17.015119,17.243761,11.322463,10.763953,14.68234,20.073088,19.098393,18.610102,18.142809,17.510536,16.527887,15.597396,14.582279,24.724554,23.625313,23.197365,22.188032,20.773767,19.373414,16.474124,15.305768,9.316609,16.493139,19.515312,14.077736,14.618443,-0.004558016,-0.167034368,-0.003025408,-0.0007686,0.000340746,20.93400887,-0.00052146,-0.000998378
6,14.43009,14.608821,14.578329,14.146677,14.119383,13.736514,13.741625,13.096122,18.160026,18.082441,17.850374,17.775784,17.272229,16.908227,16.10726,10.763258,18.469053,17.287149,17.441373,16.977059,17.281825,11.284249,10.802182,14.60609,20.111062,19.022449,18.458025,18.180822,17.510536,16.527887,15.673598,14.582279,24.713224,23.500434,23.072459,21.949333,20.648598,19.324046,16.538832,15.522927,9.419851,16.48173,19.50393,14.028168,14.645139,0.041022144,0.151827712,0.862699072,-0.0007686,0.000340746,20.94680932,-0.00024786,-0.001363862
7,14.43009,14.570702,14.502083,14.184814,14.15752,13.774664,13.665329,13.096122,18.274073,18.120469,17.926425,17.851871,17.19616,16.908227,16.145347,10.801462,18.507058,17.363234,17.517487,17.053178,17.281825,11.398888,10.763953,14.644215,20.111062,19.136363,18.572084,18.218835,17.510536,16.565952,15.749796,14.582279,24.864462,23.613972,23.261719,22.252447,20.838257,19.437997,16.57689,15.484833,9.649236,16.519814,19.579894,14.142582,14.607019,0.086602304,0.075893952,-0.078959168,-0.0013194,9.7356E-05,20.94360397,-0.00052146,0.00070615
8,14.473938,14.5383,14.545924,14.152396,14.125103,13.704085,13.823637,13.140002,18.241761,18.126172,17.818051,17.781489,17.239902,16.990077,16.151059,10.730785,18.512759,17.368941,17.485137,17.058886,17.249468,11.328192,10.84614,14.649933,20.154729,19.142062,18.615803,18.110497,17.55429,16.571662,15.793607,14.587997,24.643263,23.581798,23.343087,22.44753,20.957721,19.519649,16.544537,15.452448,9.272645,16.44935,19.547603,14.033883,14.612731,0.041022144,-0.091100608,0.057681792,0.0022536,0.001558494,20.91483962,-0.00217026,-0.001363862
9,14.473938,14.57642,14.545924,14.076119,14.125103,13.704085,13.709199,13.101846,18.165729,18.088144,17.818051,17.781489,17.239902,16.952007,16.22723,10.692579,18.550763,17.330899,17.447079,17.020827,17.249468,11.289978,10.807913,14.649933,20.078783,19.028148,18.577785,18.148512,17.478193,16.609725,15.869798,14.626107,24.692407,23.630984,23.392276,22.383125,20.931164,19.569008,16.594002,15.463865,8.939962,16.460759,19.521002,14.007171,14.662275,0.116955904,0.060766912,-0.078959168,0.0025272,0.0014364,20.93721422,-0.00217026,-0.000389504
10,14.473938,14.57642,14.584047,14.114258,14.163239,13.742235,13.709199,13.101846,18.241761,18.088144,17.856078,17.743444,17.201867,17.028147,16.189145,10.654373,18.322723,17.330899,17.409021,16.982767,17.249468,11.328192,10.807913,14.726181,20.154729,19.142062,18.501747,18.186525,17.478193,16.533597,15.869798,14.587997,24.675412,23.576127,23.148167,22.214563,20.762397,19.475978,16.614946,15.599112,8.922771,16.443645,19.465946,13.990028,14.607019,0.162536064,0.121474112,1.060146752,0.0025272,0.001558494,20.94680932,-0.00271926,-0.001729346
11,14.359546,14.5383,14.584047,14.152396,14.125103,13.742235,13.785492,13.101846,18.165729,18.126172,17.818051,17.743444,17.201867,16.952007,16.189145,10.654373,18.436748,17.254812,17.409021,17.058886,17.249468,11.366405,10.769685,14.726181,20.154729,19.142062,18.577785,18.186525,17.516242,16.571662,15.869798,14.626107,25.096942,23.619643,23.30524,22.182355,20.730151,19.481669,16.62065,15.719089,8.813776,16.525518,19.547603,14.033883,14.650851,0.238469824,0.151827712,0.270356032,0.0019782,0.001315104,20.94680932,-0.00024786,-0.001972736
