Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,EVENT,,,,,,,,,,,,,,
0,17.209563,16.474617,15.568186,14.374163,14.499471,14.116473,14.19808,13.705705,25.322814,24.301558,23.12384,22.33074,20.652675,20.100264,19.225252,13.816378,24.609418,23.244674,22.831569,21.91382,20.852493,13.802458,12.786573,18.374098,26.130948,25.460605,24.713269,23.490417,22.180042,20.897157,20.084251,19.185714,9.71903,0.362504,,,,,,,,,,,,,,
1,17.247617,16.474617,15.606281,14.488554,14.461343,14.002046,14.19808,13.743846,25.360595,24.415031,23.085982,22.368639,20.72853,20.138238,19.263247,13.778241,24.685023,23.320377,22.907338,21.951725,21.042237,13.802458,12.824757,18.336078,26.206484,25.498364,24.713269,23.452575,22.180042,20.859225,20.084251,19.223692,9.71903,0.315351,,,,,,,,,,,,,,
2,17.291257,16.44214,15.573781,14.532282,14.428814,14.045791,14.241815,13.673166,25.366144,24.496227,22.977962,22.487892,20.696176,20.067864,19.192836,13.82198,24.766175,23.628698,22.950783,22.071001,21.161639,13.80806,12.868546,18.379681,26.28756,25.579424,24.718821,23.458134,22.185608,20.940659,20.013888,19.305221,9.686411,0.000692,,,,,,,,,,,,,,
3,17.280081,16.354815,15.56259,14.635463,14.417614,14.110872,14.230614,13.738244,25.317264,24.485119,23.042562,22.400972,20.68503,20.132663,19.143679,13.887048,26.152723,25.167941,23.091178,22.135668,21.302256,14.025782,12.933701,18.368514,26.27647,25.568328,24.669899,23.560538,22.136575,20.853653,20.116644,19.294063,9.653792,0.00054,,,,,,,,,,,,,,
4,17.367358,16.366,15.64997,14.722909,14.50507,14.160214,14.241815,13.749449,25.215014,24.420585,22.977962,22.487892,20.696176,20.143813,19.154839,13.898251,28.200345,26.010023,23.215925,22.222594,21.389266,14.380307,13.097629,18.417699,26.212029,25.503912,24.756636,23.458134,22.109804,20.826864,20.051858,19.229271,9.604345,0.000692,,,,,,,,,,,,,,
5,17.329308,16.327928,15.688063,14.799153,14.466943,14.236492,14.203681,13.863866,25.139441,24.269286,23.053684,22.412101,20.658248,20.181786,19.230832,13.898251,30.232972,25.896745,23.405274,22.374168,21.540993,14.609144,13.212159,18.493733,26.136493,25.466154,24.643188,23.458134,22.0719,20.864797,20.089827,19.229271,9.451421,8.18E-05,,,,,,,,,,,,,,
6,17.43228,16.27867,15.714965,14.749835,14.493871,14.187152,14.192479,13.852662,25.12834,24.182518,22.966839,22.325176,20.571242,20.246579,19.181677,13.772639,32.813515,25.621287,23.432021,22.400929,21.757411,14.86488,13.315472,18.558597,26.200939,25.455056,24.669899,23.447016,22.060768,20.853653,20.192576,19.256088,9.222016,0.00054,,,,,,,,,,,,,,
7,17.470327,16.202521,15.753056,14.826077,14.493871,14.187152,14.268748,13.967072,25.090551,24.069021,23.042562,22.211471,20.609173,20.322517,19.143679,13.772639,35.43622,25.470193,23.583474,22.590363,21.871171,15.131765,13.582657,18.748651,26.238705,25.568328,24.745531,23.560538,22.136575,20.891585,20.192576,19.332036,9.216405,0.000387,,,,,,,,,,,,,,
8,17.470327,16.202521,15.714965,14.940433,14.531999,14.225291,14.230614,13.8908,24.939383,23.955512,23.080421,22.211471,20.571242,20.284548,19.181677,13.810776,37.044151,25.167941,23.659192,22.666127,22.022834,15.093642,13.658988,18.862669,26.238705,25.606082,24.745531,23.598376,22.136575,20.967446,20.15461,19.332036,9.254641,0.000387,,,,,,,,,,,,,,
9,17.437868,16.208114,15.682468,14.907914,14.690096,14.230892,14.274349,13.972673,24.907139,23.88539,23.048123,22.179133,20.614746,20.328091,19.225252,13.778241,38.132724,25.060126,23.854022,22.823203,22.180043,15.213606,13.855399,19.058256,26.206484,25.61163,24.826709,23.641771,22.142141,21.048872,20.160186,19.337616,9.216405,0.000387,,,,,,,,,,,,,,
10,17.39982,16.284263,15.644375,15.022263,14.651973,14.230892,14.236215,13.934538,24.907139,23.847549,22.934538,22.103321,20.652675,20.290123,19.263247,13.778241,40.78001,24.908953,23.96757,22.936824,22.293761,15.327963,14.008029,19.172246,26.282015,25.649383,24.826709,23.679607,22.142141,21.048872,20.274078,19.337616,9.183779,0.000387,,,,,,,,,,,,,,
11,17.32372,16.360407,15.644375,14.907914,14.651973,14.269029,14.312482,13.896401,24.982728,23.734017,22.858808,21.989595,20.576815,20.366058,19.263247,13.778241,43.532755,24.908953,24.118949,23.164032,22.559059,15.289845,14.275094,19.21024,26.130948,25.573876,24.751083,23.603935,22.066334,20.935088,20.122219,19.223692,9.069066,0.00054,,,,,,,,,,,,,,
