Time,HF_CB_H1-0mAF,HF_CB_V1-0mAF,HF_OB_H1-0mAF,HF_OB_V1-0mAF
16,-0.023906356,-0.127570267,-0.033566413,-0.2004093
26,-0.024031722,-0.007767867,-0.033742437,-0.0122031
36,-0.023890589,-0.007924267,-0.033544275,-0.0124488
46,0.263173344,-0.031853467,0.369516174,-0.0500409
56,0.047938077,-0.175272267,0.067308849,-0.2753478
66,0.023963911,-0.008080667,0.033647225,-0.0126945
76,0.143474411,0.111252533,0.201449411,0.1747746
86,0.143631311,0.063237733,0.201669711,0.0993447
96,0.143631311,0.087636133,0.201669711,0.1376739
106,0.335206211,0.302060533,0.470656011,0.4745286
116,0.478597044,0.612045333,0.671988074,0.961506
126,1.101176244,1.041363333,1.546138474,1.6359525
136,1.532337444,2.043887333,2.151522874,3.2108895
146,2.394189144,2.640553333,3.361630774,4.148235
156,2.370026544,2.831674133,3.327704574,4.4484804
166,2.609612844,2.497290933,3.664102674,3.9231738
176,2.514060744,2.521220133,3.529939974,3.9607659
186,2.178451644,2.760042933,3.058718274,4.3359498
196,2.442043644,2.640396933,3.428822274,4.1479893
206,2.370340344,2.425816133,3.328145174,3.8108889
216,2.417881044,2.497290933,3.394896074,3.9231738
226,2.370026544,2.664482533,3.327704574,4.1858271
236,2.442043644,2.735800933,3.428822274,4.2978663
246,2.729327544,2.736113733,3.832191574,4.2983577
256,2.920745544,2.640553333,4.100957574,4.148235
266,2.801187744,2.521220133,3.933088974,3.9607659
276,2.849042244,2.736113733,4.000280474,4.2983577
286,2.848728444,2.760042933,3.999839874,4.3359498
296,2.872891044,2.401886933,4.033766074,3.7732968
306,2.848728444,2.473518133,3.999839874,3.8858274
316,3.040460244,2.497290933,4.269046474,3.9231738
326,2.896582944,2.592851333,4.067031374,4.0732965
336,2.849042244,2.855290533,4.000280474,4.4855811
346,2.944594344,2.664482533,4.134443174,4.1858271
356,3.351906744,2.831674133,4.706341974,4.4484804
366,3.303738444,2.712184533,4.638709874,4.2607656
