Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,
0,10.045115,9.459957,9.505748,9.18742,9.274814,8.852569,9.12552,8.822789,13.480821,13.402717,13.399035,13.018531,12.399586,12.262629,11.841366,7.671515,12.646471,11.421485,11.689829,11.568137,11.644287,5.934835,5.413326,10.374459,14.21817,13.774992,13.550553,13.311064,13.134207,12.492385,11.024435,10.885643,17.752723,16.533296,15.379903,14.554664,13.818819,12.830318,12.859301,12.642549,10.087513,11.121189,13.010773,7.818698,9.355782,20.94743782,0.0009882,-0.001875539,2.49E-01,0.167864051,0.159834358,,
1,10.07737,9.530445,9.423308,9.143202,9.192359,8.923094,9.157788,8.816814,13.436715,13.358598,13.393074,13.050741,12.393622,12.294856,11.8354,7.703792,12.640508,11.45371,11.607449,11.56217,11.638321,5.890559,5.407345,10.292043,14.174067,13.692789,13.58275,13.305103,13.166412,12.52459,10.903828,10.879674,17.758643,16.539222,15.462019,14.713056,13.93915,12.798094,12.903395,12.686655,10.131684,11.088919,12.940383,7.901176,9.438203,20.94423247,-0.0017586,-0.003214583,0.278975512,0.137510451,0.600309878,,
2,10.083342,9.498188,9.429282,9.149177,9.313054,8.890819,9.12552,8.822789,13.442675,13.402717,13.437182,12.980358,12.475905,12.339012,11.803172,7.748025,12.531978,11.459678,11.651623,11.529938,11.682494,5.934835,5.413326,10.298014,14.256313,13.774992,13.550553,13.311064,13.096041,12.22518,11.062646,10.923838,17.91079,16.57729,15.50011,14.903606,14.015408,12.798094,12.827088,12.686655,9.978797,11.165352,13.054877,7.786391,9.361734,20.95382757,0.0009882,-0.001996835,-0.495688168,-0.181451149,0.205414518,,
3,10.089313,9.427699,9.473488,9.15515,9.280788,8.896794,9.093252,8.828764,13.524927,13.370519,13.366846,13.062665,12.44371,12.344976,11.809137,7.754002,12.576106,11.351066,11.619382,11.535905,11.650254,5.97911,5.342701,10.303985,14.147836,13.704707,13.518355,13.393315,13.140168,12.002079,10.992192,10.929806,17.720604,16.539222,15.576288,14.865498,14.091662,12.836259,12.941547,12.72482,9.90235,11.088919,13.016714,7.824654,9.361734,20.95382757,0.0012636,-0.000535697,1.160026072,0.896748531,0.767403958,,
4,9.962686,9.453984,9.461542,9.143202,9.192359,8.846594,9.081303,8.778572,13.513007,13.396756,13.354925,12.974396,12.393622,12.294856,11.8354,7.665537,12.602344,11.377325,11.645656,11.485772,11.600113,5.96715,5.254131,10.330266,14.174067,13.769033,13.620906,13.305103,13.204576,11.875604,11.056677,10.917868,17.770483,16.474934,15.588147,14.991683,14.294149,12.924467,12.953427,12.545872,9.914249,11.139028,12.990429,7.836563,9.488338,20.97620217,-0.0006588,-0.004067645,0.324555672,-0.029583629,0.661017078,,
5,9.924456,9.453984,9.423308,9.143202,9.30708,8.846594,9.157788,8.855055,13.513007,13.434913,13.354925,13.050741,12.431782,12.333047,11.797205,7.742047,12.526014,11.377325,11.645656,11.600367,11.600113,5.96715,5.330739,10.253819,14.174067,13.769033,13.620906,13.305103,13.166412,11.913786,11.171306,10.879674,17.688483,16.545147,15.658392,15.06196,14.364455,12.918527,12.985638,12.310907,9.946524,11.133083,12.946324,7.792347,9.444154,20.95382757,0.0012636,-0.002362319,0.324555672,0.000769971,0.661017078,,
6,10.045115,9.459957,9.467515,9.149177,9.236574,8.890819,9.12552,8.784548,13.595255,13.440874,13.360886,13.018531,12.437746,12.339012,11.803172,7.70977,12.646471,11.383293,11.613416,11.568137,11.682494,5.934835,5.298416,10.259791,14.294456,13.813112,13.58871,13.234769,13.172373,11.88157,11.253689,10.809251,18.481178,16.653423,15.690549,15.056028,14.35852,13.027072,12.979698,12.266791,9.8259,11.127136,13.016714,7.786391,9.476436,20.94743782,0.0012636,-0.001875539,0.430942552,-0.454733069,-0.447635722,,
7,10.07737,9.453984,9.499775,9.104959,9.2306,8.923094,9.119546,8.778572,13.589295,13.434913,13.431222,13.050741,12.393622,12.218472,11.75901,7.703792,12.678671,11.415518,11.645656,11.523971,11.676527,5.928855,5.330739,10.330266,14.212212,13.730911,13.506435,13.266956,13.128246,11.875604,11.247721,10.879674,19.729196,16.685562,15.760787,15.202502,14.466939,13.211923,12.973758,12.184498,9.781723,11.082972,13.010773,7.818698,9.355782,20.95064317,0.0012636,-0.001753445,0.704323992,0.091930291,0.326928438,,
8,10.045115,9.421726,9.467515,9.072689,9.236574,8.929069,9.049034,8.822789,13.595255,13.440874,13.399035,13.056703,12.399586,12.300821,11.72678,7.70977,12.570143,11.383293,11.613416,11.568137,11.682494,5.97313,5.375023,10.221566,14.21817,13.774992,13.58871,13.272917,13.172373,11.957934,11.291895,10.847447,21.448794,16.8116,15.772646,15.214365,14.478808,13.338264,13.023789,12.158208,9.564254,10.980211,13.022653,7.792347,9.444154,20.95064317,0.0012636,-0.001632149,0.597937112,0.015996531,0.281348278,,
9,10.121569,9.421726,9.505748,9.072689,9.313054,8.852569,9.087278,8.86103,13.595255,13.440874,13.284587,13.018531,12.437746,12.377202,11.764976,7.70977,12.608308,11.421485,11.536999,11.529938,11.644287,5.934835,5.375023,10.259791,14.332598,13.73687,13.550553,13.272917,13.096041,12.034294,11.139065,10.847447,23.753835,16.95791,15.919041,15.208434,14.549104,13.370478,13.055998,12.228616,9.443609,11.050702,13.09304,7.862915,9.399969,20.95064317,0.0012636,-0.000779087,0.734677592,-8.50E-01,0.342154998,,
