Time,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,,
0,19.059833,17.156561,16.620641,14.868029,14.138219,14.303499,14.417444,13.003671,16.288721,15.599871,15.714239,15.402863,15.592596,9.932818,9.258824,14.402642,23.396844,21.211651,18.787132,18.054695,16.850556,15.944477,16.270135,15.180079,12.349672,-0.526868832,0.50874624,,,
1,19.130209,17.227063,16.538901,14.786155,14.208834,14.145296,14.488088,12.959888,16.321177,15.632346,15.74673,15.43535,15.548868,9.965423,9.367952,14.397021,23.315532,21.20606,18.629474,17.935033,16.806876,16.015024,16.226438,15.250647,12.311497,0.551231328,-0.38723232,,,
2,19.13581,17.156561,16.582578,14.982403,14.290687,14.303499,14.531839,13.003671,16.402925,15.599871,15.790451,15.47907,15.554485,10.009298,9.411843,14.593286,23.245376,21.097936,18.59706,17.902618,16.698275,15.830227,16.193966,15.218172,12.240765,1.295242848,0.56955296,,,
3,19.206182,17.227063,16.615029,15.319855,14.399407,14.412304,14.564349,12.998045,16.321177,15.594255,15.784836,15.43535,15.548868,10.041901,9.482711,14.549539,23.012553,21.016527,18.477399,17.782941,16.692664,15.90078,16.226438,15.174461,12.34405,-0.192879712,-0.31129856,,,
4,19.217383,17.238281,16.664315,15.521646,14.715513,14.766767,14.613718,13.009296,16.408538,15.605487,15.719854,15.56089,15.560101,10.014933,9.532236,14.484523,22.872198,20.989801,18.336515,17.642046,16.513512,15.721583,16.085319,15.22379,12.317118,0.065275168,-0.58468,,,
5,19.358114,17.265117,16.691152,15.624736,14.932882,14.83179,14.716859,12.959888,16.359245,15.594255,15.670515,15.473454,15.472643,9.927183,9.597465,14.549539,22.785264,20.902793,18.211225,17.440668,16.426129,15.672264,15.997911,15.136366,12.202587,-0.283940512,-0.29617152,,,
6,19.255367,17.314388,16.740435,15.826483,14.906021,14.881157,14.728098,13.009296,16.370471,15.605487,15.681747,15.56089,15.483876,9.861971,9.608737,14.522651,22.834315,20.989801,18.260463,17.642046,16.665814,15.759671,16.085319,15.185696,12.05549,0.125982368,-0.5239728,,,
7,19.293351,17.314388,16.816552,16.016972,15.096504,14.881157,14.728098,13.009296,16.370471,15.605487,15.796066,15.59899,15.483876,9.823729,9.570487,14.598906,22.455415,20.724397,17.88013,16.957335,16.285026,15.645406,15.818673,15.033312,11.820765,0.399363808,-0.35687872,,,
8,19.293351,17.276335,16.816552,16.016972,15.058409,14.957411,14.689972,13.047452,16.370471,15.567395,15.834171,15.56089,15.407647,9.823729,9.532236,14.675156,22.30382,20.534785,17.766008,16.881234,16.208856,15.569224,15.704381,14.995213,11.668013,0.520877728,0.1746576,,,
9,19.331333,17.276335,16.816552,16.093161,15.058409,14.957411,14.728098,13.047452,16.446604,15.567395,15.796066,15.56089,15.483876,9.976693,9.532236,14.675156,22.190109,20.610634,17.499684,16.805128,16.056502,15.531131,15.628181,14.957114,11.624199,-0.542095392,0.1139504,,,
10,19.363714,17.346831,16.925108,16.163731,15.014695,15.066168,14.684353,13.041826,16.364858,15.599871,15.752345,15.631473,15.516373,9.894577,9.64135,14.593286,22.184523,20.529191,17.532126,16.647293,16.050888,15.563608,15.622565,14.913394,11.55344,0.125982368,-0.43281248,,,
11,19.29895,17.396098,16.936328,16.213048,15.025932,15.077404,14.886209,13.053077,16.452216,15.534919,15.839785,15.604606,15.565717,9.944088,9.576122,14.528271,21.968242,20.464526,17.353082,16.544336,15.94784,15.536747,15.519489,14.848427,11.635446,0.201916128,0.32652512,,,
12,19.29895,17.434147,16.898274,16.251137,15.025932,15.115526,14.886209,13.129385,16.261877,15.496825,15.839785,15.642705,15.603827,10.020567,9.614372,14.490143,22.15779,20.654149,17.543341,16.658516,16.100206,15.68911,15.633796,14.848427,11.559064,-0.283940512,-0.2050112,,,
13,19.293351,17.466588,16.968771,16.207435,15.058409,15.071786,15.033068,13.12376,16.370471,15.605487,15.796066,15.675187,15.67443,10.053171,9.532236,14.560779,21.810993,20.345143,17.157186,16.38647,15.904132,15.454943,15.209006,14.614172,11.515248,0.141208928,0.8429344,,,
14,19.249767,17.499027,17.001213,16.201821,15.090886,15.066168,15.065566,13.156288,16.555183,15.599871,15.866659,15.669572,15.630706,10.124012,9.64135,14.593286,21.881239,20.301616,17.227695,16.380857,15.936612,15.449326,15.2415,14.646661,11.477054,0.870093408,-0.72142048,,,
15,19.380512,17.439755,16.979991,16.218661,15.107739,15.197386,15.08242,13.173163,16.533956,15.654808,15.921605,15.76261,15.723768,10.102678,9.581758,14.610145,21.632565,20.128724,17.054219,16.169283,15.801073,15.389983,14.91531,14.320509,11.356846,0.034921568,-0.44803904,,,
16,19.255367,17.428539,16.892664,16.245524,15.096504,15.224271,15.1093,13.238216,16.560795,15.567395,15.948477,15.789475,15.712538,10.206119,9.685235,14.598906,21.621388,20.117532,16.890737,16.119983,15.713645,15.188252,14.82783,14.118671,11.368094,-0.648382752,-0.5239728,,,
17,19.30455,17.401706,16.979991,16.218661,15.260106,15.273623,15.120535,13.325764,16.648139,15.654808,15.8454,15.800705,15.609443,10.33209,9.734754,14.76264,21.594641,20.090785,16.940024,16.055062,15.762974,15.04707,14.648443,14.129913,11.368094,-0.526868832,-0.50874624,,,
18,19.293351,17.466588,16.930718,16.245524,15.286961,15.37674,15.185528,13.352664,16.979411,15.757843,15.948477,15.865661,15.483876,10.397288,9.799978,14.71328,21.621388,20.041653,16.928804,16.08191,15.713645,14.95962,14.560948,14.118671,11.318649,-1.331687072,0.00756352,,,
19,19.363714,17.422931,16.925108,16.011358,15.167072,15.218653,15.218023,13.270741,19.976208,17.122669,15.942863,15.821954,15.554485,10.506347,9.832589,14.783905,21.653723,20.111936,17.075453,16.11437,15.822325,15.030216,14.593457,14.036803,11.450108,-1.559488352,-0.85806144,,,
20,19.445272,17.39049,16.778494,15.597861,14.906021,14.995537,15.185528,13.276366,23.203803,19.371136,16.100871,15.865661,15.483876,10.511981,9.838224,14.827645,21.697234,20.155471,17.157186,16.119983,15.751744,15.112045,14.637205,14.080549,11.400665,-0.967244832,0.22023776,,,
21,19.407293,17.352439,16.664315,15.292974,14.753616,15.033662,15.1093,13.314515,26.001293,20.358215,16.024677,15.827569,15.598212,10.626667,9.914714,14.865764,21.810993,20.155471,17.271362,16.234198,15.789843,15.150149,14.637205,14.118671,11.858951,-0.375100832,-1.34411712,,,
22,19.418491,17.401706,16.599412,15.494769,14.917257,15.159265,15.234875,13.287615,28.011563,21.469392,16.035904,15.953072,15.685661,10.676159,9.964228,14.953237,22.049651,20.280468,17.396744,16.359629,15.915361,15.275688,14.724696,14.168034,12.246386,-0.132072992,-1.1922496,,,
23,19.521225,17.428539,16.588189,15.674073,14.944119,15.224271,15.185528,13.238216,30.409517,23.238729,16.062775,15.903753,15.636321,10.779571,9.991202,14.942001,22.114296,20.345143,17.651876,16.500663,15.980319,15.378751,14.942193,14.233032,12.448501,-0.587675552,-0.79735424,,,
24,19.47765,17.346831,16.582578,15.744665,14.976599,15.29489,15.218023,13.232591,33.107633,21.604267,16.133354,16.012408,15.706922,11.041493,10.02381,15.126956,22.222428,20.529191,17.798443,16.761463,16.050888,15.411231,15.089046,14.379879,12.322739,0.262722848,-0.5239728,,,
25,19.450871,17.434147,16.669926,15.870198,15.064027,15.306124,15.229258,13.20569,34.617739,20.36381,16.182676,16.023636,15.794365,11.16741,10.188043,15.176303,22.385205,20.616227,17.999847,17.039042,16.100206,15.460559,15.367064,14.429234,12.208209,0.156435488,0.72142048,,,
26,19.483249,17.466588,16.51206,15.902682,15.020314,15.224271,15.223641,13.238216,35.024089,19.295174,16.138967,16.094196,15.979262,11.352854,10.373597,15.246906,22.493311,20.762315,18.108343,17.109524,16.132681,15.454943,15.551976,14.537952,12.246386,-0.663609312,2.75660448,,,
27,19.445272,17.428539,16.588189,15.75028,14.52498,14.804898,15.1093,13.12376,38.276135,19.485072,17.281341,16.284612,16.05546,11.543909,10.526536,15.323122,22.834315,20.95189,18.336515,17.489919,16.475434,15.721583,15.856769,14.728495,12.399088,-1.028051552,0.144304,,,
28,19.445272,17.466588,16.550125,15.712177,14.601196,14.614234,15.033068,13.12376,39.358029,22.822265,18.422712,17.464586,16.207842,11.658532,10.564768,15.437439,22.796431,20.838149,18.222434,17.489919,16.361192,15.569224,15.818673,14.690388,12.469813,1.295242848,1.49598464,,,
29,19.456469,17.477803,16.561349,15.647199,14.612435,14.739873,14.853706,13.058702,38.958777,25.66981,18.700088,18.958737,16.333343,11.860813,10.690728,15.448671,22.731825,20.62182,18.271671,17.577199,16.334335,15.618546,15.791807,14.739733,12.328359,0.854866848,-0.18988416,,,
30,19.407293,17.352439,16.321717,15.331089,14.52498,14.766767,14.842469,13.085607,39.46989,27.658598,20.930008,19.859233,16.398296,12.002358,10.755921,15.513645,22.91008,20.724397,18.37454,17.680075,16.513512,15.645406,15.932956,14.7666,12.322739,0.763806048,0.22023776,,,
31,19.374913,17.319996,15.908484,15.260476,14.492491,14.848647,14.809965,13.053077,39.326237,29.133392,22.414664,20.358376,16.556251,12.237166,10.876236,15.671659,22.915662,20.69207,18.380144,17.723709,16.519124,15.651021,15.938571,14.848427,12.284563,0.034921568,1.49598464,,,
32,19.380512,17.325605,15.837931,15.266093,14.574328,14.930521,14.815584,13.058702,40.71062,30.869256,24.464969,20.212133,16.561863,12.31918,10.920094,15.562977,23.03488,20.773501,18.461792,17.843391,16.638963,15.732814,16.058458,14.854046,12.246386,-0.010658592,-0.26581792,,,
