Time,HF_FF_H_100672,HF_FF_V_100671
9,6.66134E-17,-3.33067E-17
19,0.049704,-0.34668
29,-0.000650959,-0.247536
39,0.049707041,-0.14868938
49,0.049707041,-0.34643586
59,0.249494918,-0.19769324
69,0.099731959,-0.24723862
79,0.100389,-0.14809462
89,0.099731959,-0.34632938
99,-3.0411E-06,-0.29683724
109,-0.199466959,0.00070124
119,0.349223836,-0.34643586
129,0.049377,-0.59416276
139,-0.299201959,-0.44552662
149,-0.049377,-0.24758924
159,0.249170959,-0.29683724
169,0.149432918,-0.09949462
179,1.048031959,0.88945986
189,2.494359041,2.66919186
199,6.287232041,6.13048386
209,10.42836004,11.91582786
219,11.42636404,13.69620786
229,9.380652041,10.23523986
239,5.788230041,5.88327186
249,4.541052041,3.90525186
259,4.241193041,2.76833586
269,3.193158041,2.52112386
279,3.192831041,5.19088386
289,3.442986041,5.09238786
299,4.091427041,5.24110386
309,4.091100041,5.88294786
319,2.993688041,3.95482386
329,1.846242,2.62059186
339,1.597061918,2.42262786
349,1.048355918,1.43313186
359,0.948620918,1.03752786
369,1.048352877,1.23549186
379,1.347887918,1.53227586
389,1.497663041,1.28473986
399,1.547360959,1.68034386
409,0.249824959,1.18624386
419,-0.099731959,1.23516786
429,0.748826959,0.74139186
439,0.898586877,0.49417986
449,0.898262918,0.19801724
459,-0.000327,0.34675986
469,-0.049710082,0.14844524
479,-0.000327,0.09919724
489,-0.249497959,-0.14868938
499,-0.349232959,0.04930124
509,-0.249501,-0.29718786
519,0.050031,-0.14804138
529,0.000330041,-0.19799062
539,-0.050031,-0.09876676
549,0.049707041,-0.24723862
559,-0.199466959,-0.34638262
569,-0.100058959,-0.19799062
579,-0.099735,-0.19764
589,-0.099411041,-0.19799062
599,6.66134E-17,-0.09879338
609,0.050027959,-0.39557738
619,-0.199143,-0.29683724
629,-0.19947,-0.396034479
639,-0.149435959,-0.34638262
649,-0.348905959,-0.14874262
659,-0.149766,-0.34668
669,-0.199466959,-0.34608524
679,-0.099735,-0.39563062
689,-3.0411E-06,-0.44547338
699,0.100055918,-0.09879338
709,-0.099731959,-0.39587476
719,-0.299855959,-0.29683724
729,-0.349559959,-0.19799062
739,-0.448967959,-0.19799062
749,-0.348905959,-0.495072
759,-0.149439,-0.049248
769,-0.199143,-0.34638262
779,-0.099731959,-0.19758676
789,-0.449294959,-0.44547338
799,-0.199793959,-0.04919476
809,-0.348905959,-0.04889738
819,-0.298874959,-0.69341324
829,-0.050034041,-0.247536
839,-0.099735,-0.34668
849,-0.299201959,-0.54402262
859,-0.199793959,-0.297432
869,-0.349232959,-0.59391862
879,-0.249170959,-0.24723862
889,-0.248847,0.04959862
899,-0.598079959,-0.44552662
909,-0.150089959,-0.296784
919,-0.099411041,-0.54467062
929,0.149766,-0.445282479
939,-0.348909,0.09884662
949,-0.149112,-0.14804138
959,-0.050031,-0.19758676
969,-0.498344959,-0.445176
