Time,HF_FF_H_100672,HF_FF_V_100671
0.15,6.66134E-17,-3.33067E-17
0.316666667,0.049704,-0.34668
0.483333333,-0.000650959,-0.247536
0.65,0.049707041,-0.14868938
0.816666667,0.049707041,-0.34643586
0.983333333,0.249494918,-0.19769324
1.15,0.099731959,-0.24723862
1.316666667,0.100389,-0.14809462
1.483333333,0.099731959,-0.34632938
1.65,-3.0411E-06,-0.29683724
1.816666667,-0.199466959,0.00070124
1.983333333,0.349223836,-0.34643586
2.15,0.049377,-0.59416276
2.316666667,-0.299201959,-0.44552662
2.483333333,-0.049377,-0.24758924
2.65,0.249170959,-0.29683724
2.816666667,0.149432918,-0.09949462
2.983333333,1.048031959,0.88945986
3.15,2.494359041,2.66919186
3.316666667,6.287232041,6.13048386
3.483333333,10.42836004,11.91582786
3.65,11.42636404,13.69620786
3.816666667,9.380652041,10.23523986
3.983333333,5.788230041,5.88327186
4.15,4.541052041,3.90525186
4.316666667,4.241193041,2.76833586
4.483333333,3.193158041,2.52112386
4.65,3.192831041,5.19088386
4.816666667,3.442986041,5.09238786
4.983333333,4.091427041,5.24110386
5.15,4.091100041,5.88294786
5.316666667,2.993688041,3.95482386
5.483333333,1.846242,2.62059186
5.65,1.597061918,2.42262786
5.816666667,1.048355918,1.43313186
5.983333333,0.948620918,1.03752786
6.15,1.048352877,1.23549186
6.316666667,1.347887918,1.53227586
6.483333333,1.497663041,1.28473986
6.65,1.547360959,1.68034386
6.816666667,0.249824959,1.18624386
6.983333333,-0.099731959,1.23516786
7.15,0.748826959,0.74139186
7.316666667,0.898586877,0.49417986
7.483333333,0.898262918,0.19801724
7.65,-0.000327,0.34675986
7.816666667,-0.049710082,0.14844524
7.983333333,-0.000327,0.09919724
8.15,-0.249497959,-0.14868938
8.316666667,-0.349232959,0.04930124
8.483333333,-0.249501,-0.29718786
8.65,0.050031,-0.14804138
8.816666667,0.000330041,-0.19799062
8.983333333,-0.050031,-0.09876676
9.15,0.049707041,-0.24723862
9.316666667,-0.199466959,-0.34638262
9.483333333,-0.100058959,-0.19799062
9.65,-0.099735,-0.19764
9.816666667,-0.099411041,-0.19799062
9.983333333,6.66134E-17,-0.09879338
10.15,0.050027959,-0.39557738
10.31666667,-0.199143,-0.29683724
10.48333333,-0.19947,-0.396034479
10.65,-0.149435959,-0.34638262
10.81666667,-0.348905959,-0.14874262
10.98333333,-0.149766,-0.34668
11.15,-0.199466959,-0.34608524
11.31666667,-0.099735,-0.39563062
11.48333333,-3.0411E-06,-0.44547338
11.65,0.100055918,-0.09879338
11.81666667,-0.099731959,-0.39587476
11.98333333,-0.299855959,-0.29683724
12.15,-0.349559959,-0.19799062
12.31666667,-0.448967959,-0.19799062
12.48333333,-0.348905959,-0.495072
12.65,-0.149439,-0.049248
12.81666667,-0.199143,-0.34638262
12.98333333,-0.099731959,-0.19758676
13.15,-0.449294959,-0.44547338
13.31666667,-0.199793959,-0.04919476
13.48333333,-0.348905959,-0.04889738
13.65,-0.298874959,-0.69341324
13.81666667,-0.050034041,-0.247536
13.98333333,-0.099735,-0.34668
14.15,-0.299201959,-0.54402262
14.31666667,-0.199793959,-0.297432
14.48333333,-0.349232959,-0.59391862
14.65,-0.249170959,-0.24723862
14.81666667,-0.248847,0.04959862
14.98333333,-0.598079959,-0.44552662
15.15,-0.150089959,-0.296784
15.31666667,-0.099411041,-0.54467062
15.48333333,0.149766,-0.445282479
15.65,-0.348909,0.09884662
15.81666667,-0.149112,-0.14804138
15.98333333,-0.050031,-0.19758676
16.15,-0.498344959,-0.445176
