Time,TC1_LR_0-03mBC,TC1_LR_0-30mBC,TC1_LR_0-61mBC,TC1_LR_0-91mBC,TC1_LR_1-22mBC,TC1_LR_1-52mBC,TC1_LR_1-83mBC,TC1_LR_2-13mBC,TC2_BED1_0-03mBC,TC2_BED1_0-30mBC,TC2_BED1_0-61mBC,TC2_BED1_0-91mBC,TC2_BED1_1-22mBC,TC2_BED1_1-52mBC,TC2_BED1_1-83mBC,TC2_BED1_2-13mBC,TC3_BED2_0-03mBC,TC3_BED2_0-30mBC,TC3_BED2_0-61mBC,TC3_BED2_0-91mBC,TC3_BED2_1-22mBC,TC3_BED2_1-52mBC,TC3_BED2_1-83mBC,TC3_BED2_2-13mBC,TC4_Kitch_0-03mBC,TC4_Kitch_0-30mBC,TC4_Kitch_0-61mBC,TC4_Kitch_0-91mBC,TC4_Kitch_1-22mBC,TC4_Kitch_1-52mBC,TC4_Kitch_1-83mBC,TC4_Kitch_2-13mBC,TC5_BaseB_0-03mBC,TC5_BaseB_0-30mBC,TC5_BaseB_0-61mBC,TC5_BaseB_0-91mBC,TC5_BaseB_1-22mBC,TC5_BaseB_1-52mBC,TC5_BaseB_1-83mBC,TC5_BaseB_2-13mBC,TC6_BaseD_0-03mBC,TC6_BaseD_0-30mBC,TC6_BaseD_0-61mBC,TC6_BaseD_0-91mBC,TC6_BaseD_1-22mBC,TC6_BaseD_1-52mBC,TC6_BaseD_1-83mBC,TC6_BaseD_2-13mBC,HF_FF_H_100672,HF_FF_V_100671,TC_FF_top_out,TC_FF_top_in,TC_FF_side_out,TC_FF_side_in
0,23.539083,22.619513,22.626738,22.045531,22.132286,21.789186,21.984324,21.874485,22.857665,23.459747,22.965806,22.622865,22.165297,22.099484,21.986012,16.172653,21.840367,21.192143,21.492712,21.336092,21.143999,15.887491,15.825205,20.795909,21.615711,21.29778,21.180464,21.022463,21.032429,20.77675,21.023397,20.472044,24.648043,25.215788,25.386052,26.184709,25.134042,25.929102,24.591923,24.497259,25.742547,26.157555,24.901522,24.687488,24.22283,23.808719,24.595388,24.11493,-0.000315,0.00034,22.407908,21.917232,21.233134,20.775659
1,23.501231,22.619513,22.626738,22.083432,21.942782,21.789186,22.060126,21.874485,22.78193,23.421891,22.852213,22.660753,22.203175,22.099484,22.023917,16.286871,21.802468,21.154221,21.492712,21.336092,21.143999,15.925593,15.825205,20.833852,21.691558,21.33568,21.142528,21.098308,21.070367,20.814684,20.985459,20.585849,24.691381,25.183513,25.278216,26.190232,25.139571,25.972389,24.710862,24.389306,25.672518,26.163079,24.907053,24.768619,24.417421,23.814255,24.336292,24.309563,-0.000163,0.000188,22.375568,21.960673,21.2766,20.78121
2,23.463378,22.657388,22.664615,22.083432,22.018587,21.713358,22.022226,21.836584,22.78193,23.384034,22.852213,22.622865,22.203175,22.099484,21.986012,16.2488,21.764569,21.230064,21.530642,21.336092,21.143999,15.963694,15.825205,20.833852,21.615711,21.373579,21.066653,21.098308,21.070367,20.77675,20.947519,20.623782,24.723654,25.177984,25.159311,26.071428,25.134042,25.853574,24.667529,24.345942,25.440295,25.930997,24.939314,24.649686,24.487502,23.695201,24.292949,24.077106,-0.000315,3.49E-05,22.370025,21.803537,21.195216,20.737717
3,23.506772,22.852287,22.745909,22.051078,22.062035,21.756822,21.989871,21.880033,22.825342,23.465287,22.895622,22.590519,22.284474,22.067121,21.953653,16.254373,21.808017,21.235616,21.498262,21.341643,21.225432,15.969269,15.906994,20.839405,21.659185,21.37913,21.186015,20.990091,21.075919,20.858171,20.953072,20.629336,24.755927,25.210259,25.229368,26.065904,25.128512,26.112374,24.737599,24.491726,25.472554,26.152031,25.047152,24.757557,24.48197,23.878856,24.816631,24.487565,-1.00E-05,3.49E-05,22.402366,21.949583,21.265503,20.808049
4,23.474459,22.819962,22.675704,22.094527,22.029682,21.838195,21.995419,21.847681,22.906618,23.432972,22.8633,22.633954,22.29002,22.110579,22.035013,16.298019,21.851464,21.165324,21.503812,21.347194,21.155103,15.974844,15.874463,20.807017,21.588886,21.38468,21.153632,21.07149,21.043534,20.749921,21.034502,20.672821,24.691381,25.259119,25.467149,26.076952,25.063985,25.972389,24.635258,24.691907,25.483609,26.087565,24.982635,24.69302,24.53084,23.927761,24.752107,24.233928,-0.000468,3.49E-05,22.337684,21.809083,21.238683,20.629435
5,23.474459,22.933562,22.751453,22.132426,22.067583,21.800284,22.071221,21.809779,22.982344,23.432972,22.8633,22.633954,22.29002,22.072669,22.035013,16.259947,21.775666,21.241167,21.503812,21.423041,21.268923,15.898642,15.874463,20.844959,21.778497,21.38468,21.229501,21.033568,21.043534,20.749921,20.958625,20.710751,24.696912,25.226846,25.548241,26.120238,25.069515,26.053433,24.678592,24.773075,25.678045,26.09309,24.950375,24.887539,24.611977,24.122445,24.908804,24.466352,-0.000315,0.00034,22.381111,22.042006,21.244231,20.748819
6,23.506772,22.965884,22.67016,22.202675,22.17573,21.794735,21.989871,21.652609,22.938938,23.389574,22.895622,22.628409,22.284474,22.180847,21.953653,16.292445,21.845915,21.235616,21.460331,21.379567,21.149551,16.045467,15.792673,20.76352,21.659185,21.303331,21.22395,21.10386,21.037981,20.782303,20.953072,20.667267,24.696912,25.151238,25.548241,26.195756,24.993925,25.977914,24.678592,24.773075,25.640266,26.168603,25.063741,24.811948,24.536372,24.122445,25.022164,24.541972,-0.000163,0.000188,22.381111,21.928323,21.206313,20.78676
7,23.48,22.97697,22.756998,22.100074,22.262613,21.730006,21.887255,21.436241,22.950025,23.476368,22.868843,22.601609,22.295567,22.191941,22.002656,16.303592,21.819115,21.246719,21.547292,21.390669,21.198596,16.018518,15.956249,20.774627,21.670284,21.314434,21.121247,21.03912,21.087024,20.793411,20.964178,20.754234,24.696912,25.226846,25.548241,26.195756,25.069515,25.90239,24.565182,24.243508,25.602485,25.942048,25.063741,24.849744,24.385146,24.122445,24.871014,24.201642,-0.000163,0.000188,22.343227,21.890426,21.206313,20.710876
8,23.512312,23.160728,22.865068,22.170325,22.257067,21.762371,21.805892,21.392775,22.868752,23.470828,22.901165,22.70973,22.252145,22.186394,21.997108,16.259947,21.889361,21.203246,21.465881,21.385118,21.230984,16.012943,15.950674,20.844959,21.702656,21.346782,21.191567,21.033568,21.043534,20.711985,20.996564,20.63489,24.621298,25.113432,25.434893,26.346777,25.296254,25.977914,24.338326,24.243508,25.640266,26.09309,25.139312,24.811948,24.460761,24.349381,25.173293,24.882195,-0.000315,0.000188,22.381111,22.004113,21.320064,20.78676
9,23.512312,23.160728,22.940804,22.208222,22.219172,21.724457,21.8438,21.27902,22.868752,23.395115,22.901165,22.596064,22.214269,22.148487,21.959201,16.221875,21.775666,21.203246,21.541742,21.423041,21.230984,16.051041,15.912569,20.807017,21.626811,21.308883,21.115695,21.033568,20.853826,20.711985,20.920684,20.74868,24.534615,24.951136,25.234896,26.260222,25.209622,25.740273,24.289445,24.270275,25.440295,25.96876,25.128254,24.800886,24.411888,24.338315,24.78437,24.379661,-0.000163,0.000188,22.332141,21.803537,21.195216,20.737717
