"Cold Flow Pressure Test, 286 College, Bedroom doors and garage door closed",,,,
Pressure ID,Description,Zero (V),High Flow (V),Pressure (Pa)
A4A_1,"Open Bedroom, North, High",2.524,2.565,4.1
A4A_2,"Open Bedroom, North, Mid",2.46,2.487,2.7
A4A_3,"Open Bedroom, North, Low",2.49,2.528,3.8
A4B_1,"Open Bedroom, South, High",2.535,2.573,3.8
A4B_2,"Open Bedroom, South, Mid",2.555,2.585,3
A4B_3,"Open Bedroom, South, Low",2.514,2.548,3.4
A5_1,"Closed Bedroom, High",2.521,2.558,3.7
A5_2,"Closed Bedroom, Mid",2.518,2.555,3.7
A5_3,"Closed Bedroom, Low",2.514,2.551,3.7
A6_1,"Living Room, High",2.483,2.516,3.3
A6_2,"Living Room, Mid",2.447,2.482,3.5
A6_3,"Living Room, Low",2.526,2.565,3.9
