Panel,Channel,Device Name,Type,Array,X,Y,Z,Serial Number,Calibration,Common Name
SC1Mod2,0,TC_A1_0p03_BC,TC,1,,,0.03 m BC,,1,TC 1 0.03 m BC
SC1Mod2,1,TC_A1_0p30_BC,TC,1,,,0.30 m BC,,1,TC 1 0.30 m BC
SC1Mod2,2,TC_A1_0p61_BC,TC,1,,,0.61 m BC,,1,TC 1 0.61 m BC
SC1Mod2,3,TC_A1_0p91_BC,TC,1,,,0.91 m BC,,1,TC 1 0.91 m BC
SC1Mod2,4,TC_A1_1p22_BC,TC,1,,,1.22 m BC,,1,TC 1 1.22 m BC
SC1Mod2,5,TC_A1_1p52_BC,TC,1,,,1.52 m BC,,1,TC 1 1.52 m BC
SC1Mod2,6,TC_A1_1p83_BC,TC,1,,,1.83 m BC,,1,TC 1 1.83 m BC
SC1Mod2,7,TC_A1_2p13_BC,TC,1,,,2.13 m BC,,1,TC 1 2.13 m BC
SC1Mod2,8,TC_A2_0p03_BC,TC,2,,,0.03 m BC,,1,TC 2 0.03 m BC
SC1Mod2,9,TC_A2_0p30_BC,TC,2,,,0.30 m BC,,1,TC 2 0.30 m BC
SC1Mod2,10,TC_A2_0p61_BC,TC,2,,,0.61 m BC,,1,TC 2 0.61 m BC
SC1Mod2,11,TC_A2_0p91_BC,TC,2,,,0.91 m BC,,1,TC 2 0.91 m BC
SC1Mod2,12,TC_A2_1p22_BC,TC,2,,,1.22 m BC,,1,TC 2 1.22 m BC
SC1Mod2,13,TC_A2_1p52_BC,TC,2,,,1.52 m BC,,1,TC 2 1.52 m BC
SC1Mod2,14,TC_A2_1p83_BC,TC,2,,,1.83 m BC,,1,TC 2 1.83 m BC
SC1Mod2,15,TC_A2_2p13_BC,TC,2,,,2.13 m BC,,1,TC 2 2.13 m BC
SC1Mod2,16,TC_A3_0p03_BC,TC,3,,,0.03 m BC,,1,TC 3 0.03 m BC
SC1Mod2,17,TC_A3_0p30_BC,TC,3,,,0.30 m BC,,1,TC 3 0.30 m BC
SC1Mod2,18,TC_A3_0p61_BC,TC,3,,,0.61 m BC,,1,TC 3 0.61 m BC
SC1Mod2,19,TC_A3_0p91_BC,TC,3,,,0.91 m BC,,1,TC 3 0.91 m BC
SC1Mod2,20,TC_A3_1p22_BC,TC,3,,,1.22 m BC,,1,TC 3 1.22 m BC
SC1Mod2,21,TC_A3_1p52_BC,TC,3,,,1.52 m BC,,1,TC 3 1.52 m BC
SC1Mod2,22,TC_A3_1p83_BC,TC,3,,,1.83 m BC,,1,TC 3 1.83 m BC
SC1Mod2,23,TC_A3_2p13_BC,TC,3,,,2.13 m BC,,1,TC 3 2.13 m BC
SC1Mod2,24,TC_A4_0p03_BC,TC,4,,,0.03 m BC,,1,TC 4 0.03 m BC
SC1Mod2,25,TC_A4_0p30_BC,TC,4,,,0.30 m BC,,1,TC 4 0.30 m BC
SC1Mod2,26,TC_A4_0p61_BC,TC,4,,,0.61 m BC,,1,TC 4 0.61 m BC
SC1Mod2,27,TC_A4_0p91_BC,TC,4,,,0.91 m BC,,1,TC 4 0.91 m BC
SC1Mod2,28,TC_A4_1p22_BC,TC,4,,,1.22 m BC,,1,TC 4 1.22 m BC
SC1Mod2,29,TC_A4_1p52_BC,TC,4,,,1.52 m BC,,1,TC 4 1.52 m BC
SC1Mod2,30,TC_A4_1p83_BC,TC,4,,,1.83 m BC,,1,TC 4 1.83 m BC
SC1Mod2,31,TC_A4_2p13_BC,TC,4,,,2.13 m BC,,1,TC 4 2.13 m BC
SC1Mod3,0,TC_A5_0p03_BC,TC,5,,,0.03 m BC,,1,TC 5 0.03 m BC
SC1Mod3,1,TC_A5_0p30_BC,TC,5,,,0.30 m BC,,1,TC 5 0.30 m BC
SC1Mod3,2,TC_A5_0p61_BC,TC,5,,,0.61 m BC,,1,TC 5 0.61 m BC
SC1Mod3,3,TC_A5_0p91_BC,TC,5,,,0.91 m BC,,1,TC 5 0.91 m BC
SC1Mod3,4,TC_A5_1p22_BC,TC,5,,,1.22 m BC,,1,TC 5 1.22 m BC
SC1Mod3,5,TC_A5_1p52_BC,TC,5,,,1.52 m BC,,1,TC 5 1.52 m BC
SC1Mod3,6,TC_A5_1p83_BC,TC,5,,,1.83 m BC,,1,TC 5 1.83 m BC
SC1Mod3,7,TC_A5_2p13_BC,TC,5,,,2.13 m BC,,1,TC 5 2.13 m BC
SC1Mod3,8,TC_A6_0p30_BC,TC,6,,,0.30 m BC,,1,TC 6 0.30 m BC
SC1Mod3,9,TC_A6_0p90_BC,TC,6,,,0.90 m BC,,1,TC 6 0.90 m BC
SC1Mod3,10,TC_A6_1p50_BC,TC,6,,,1.50 m BC,,1,TC 6 1.50 m BC
SC1Mod3,11,TC_A6_2p10_BC,TC,6,,,2.10 m BC,,1,TC 6 2.10 m BC
SC1Mod3,12,TC_A6_2p70_BC,TC,6,,,2.70 m BC,,1,TC 6 2.70 m BC
SC1Mod3,13,TC_A6_3p40_BC,TC,6,,,3.40 m BC,,1,TC 6 3.40 m BC
SC1Mod3,14,TC_A7_0p30_BC,TC,7,,,0.30 m BC,,1,TC 7 0.30 m BC
SC1Mod3,15,TC_A7_0p90_BC,TC,7,,,0.90 m BC,,1,TC 7 0.90 m BC
SC1Mod3,16,TC_A7_1p50_BC,TC,7,,,1.50 m BC,,1,TC 7 1.50 m BC
SC1Mod3,17,TC_A7_2p10_BC,TC,7,,,2.10 m BC,,1,TC 7 2.10 m BC
SC1Mod3,18,TC_A7_2p70_BC,TC,7,,,2.70 m BC,,1,TC 7 2.70 m BC
SC1Mod3,19,TC_A7_3p40_BC,TC,7,,,3.40 m BC,,1,TC 7 3.40 m BC
SC1Mod3,20,TC_A7_4p00_BC,TC,7,,,4.00 m BC,,1,TC 7 4.00 m BC
SC1Mod3,21,TC_A8_0p30_BC,TC,8,,,0.30 m BC,,1,TC 8 0.30 m BC
SC1Mod3,22,TC_A8_0p90_BC,TC,8,,,0.90 m BC,,1,TC 8 0.90 m BC
SC1Mod3,23,TC_A8_1p50_BC,TC,8,,,1.50 m BC,,1,TC 8 1.50 m BC
SC1Mod3,24,TC_A8_2p10_BC,TC,8,,,2.10 m BC,,1,TC 8 2.10 m BC
SC1Mod3,25,TC_A8_2p70_BC,TC,8,,,2.70 m BC,,1,TC 8 2.70 m BC
SC1Mod3,26,TC_A8_3p40_BC,TC,8,,,3.40 m BC,,1,TC 8 3.40 m BC
SC1Mod3,27,TC_Ignition,TC,,,,,,,TC Ignition
SC1Mod3,28,TC_Sprinkler,TC,,,,,,,TC Sprinkler
SC1Mod3,29,,,,,,,,,
SC1Mod3,30,,,,,,,,,
SC1Mod3,31,,,,,,,,,
