TimeStamp(s),Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A5_7,TC_A5_8,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A6_6,TC_A6_7,TC_A6_8,TC_A7_1,TC_A7_2,TC_A7_3,TC_A7_4,TC_A7_5,TC_A7_6,TC_A7_7,TC_A7_8,TC_A8_1,TC_A8_2,TC_A8_3,TC_A8_4,TC_A8_5,TC_A8_6,TC_A8_7,TC_A8_8,TC_S_1,TC_S_2,TC_S_3,TC_S_4,TC_S_5,TC_S_6,TC_S_7,TC_S_8,TC_Ignition,HF_1_V,HF_1_H,HF_2_V,HF_2_H,HF_3_V,HF_3_H,Voltage_1,Voltage_2,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,O2_A,CO_A,CO2_A,O2_B,CO_B,CO2_B
5/16/2014 10:24:44.565 AM,0.000000,24.081056,24.594957,24.226616,23.458870,25.601239,25.961403,23.591139,23.355710,22.090271,21.485676,21.523809,25.384219,21.228001,20.913588,21.258598,20.163069,22.051044,21.380651,21.197776,21.166484,20.934216,20.926161,20.475503,19.962994,22.943348,21.905798,21.763403,17.800678,21.193409,21.354902,20.913590,20.771304,27.394439,27.937406,28.079876,28.923071,25.899990,22.915749,29.767032,30.232017,24.160642,22.537189,23.340169,23.027422,22.710640,3027.190386,3020.200253,3019.734863,25.386142,24.469622,23.671406,23.405026,23.373955,22.632315,19.335773,3039.623934,26.993067,23.717028,23.913981,27.871382,22.850214,3024.925379,3021.845260,3014.169470,3073.342854,3079.597787,3068.075484,3063.124641,3002.194597,3017.268679,21.873699,19.881612,3063.859681,-0.002304,-0.002447,4.169793,4.165070,4.164536,2.441104,2.431718,2.435399,2.412799,2.415313,2.417839,2.434370,2.387965,2.406102,2.401414,2.437551,2.399778,0.995999,-0.135791,-0.050675,1.011397,-0.622911,3.225334
5/16/2014 10:24:45.565 AM,1.000000,24.057897,24.574070,24.210099,23.439018,25.588831,25.950359,23.586579,23.327687,22.075933,21.440621,21.508777,25.384885,21.207810,20.895677,21.244476,20.149243,22.060048,21.364395,21.175836,21.150842,20.913190,20.909908,20.461297,19.973531,22.925836,21.894560,21.740043,17.803551,21.173889,21.342525,20.905301,20.759452,27.369031,27.918865,28.049807,28.907865,25.877419,23.053101,29.761773,30.216829,24.127144,22.661866,23.468922,23.057196,22.737459,3027.527358,3020.548849,3020.084525,25.313479,24.478779,23.660290,23.349705,23.303900,22.586585,19.336766,3039.971660,27.010129,23.706671,23.904833,27.847350,22.842116,3025.274512,3022.186238,3014.515298,3073.673700,3079.938015,3068.409698,3063.453811,3002.542131,3017.621437,21.883683,19.868909,3064.170166,-0.002302,-0.002443,4.150299,4.147064,4.146200,2.442004,2.432512,2.436088,2.409119,2.411560,2.414648,2.434638,2.388291,2.406509,2.402066,2.438231,2.400306,0.996000,-0.133238,-0.049873,1.011304,-0.622911,3.226037
5/16/2014 10:24:46.565 AM,2.000000,24.044705,24.557556,24.197202,23.432473,25.570742,25.947686,23.582912,23.313954,22.037859,21.417311,21.507605,25.466303,21.203074,20.903452,21.241257,20.148754,22.076085,21.350249,21.177699,21.149063,20.912397,20.912225,20.472719,19.985722,22.923984,21.888006,21.733491,17.806257,21.175296,21.338397,20.905341,20.761010,27.350783,27.910650,28.044607,28.920367,25.887540,23.083617,29.768017,30.201865,24.100747,22.659823,23.462491,23.023338,22.662168,3027.811922,3020.822958,3020.365709,25.300260,24.487026,23.658323,23.325412,23.305643,22.587419,19.362376,3040.251911,27.015791,23.716962,23.916336,27.863101,22.836893,3025.548035,3022.472470,3014.787340,3073.954667,3080.222917,3068.696108,3063.745530,3002.838147,3017.906433,21.894348,19.871775,3064.452291,-0.002300,-0.002446,4.150483,4.147431,4.146529,2.442264,2.432838,2.436102,2.408226,2.410942,2.413613,2.434692,2.388376,2.406738,2.402205,2.438390,2.400802,0.995986,-0.133859,-0.049603,1.011460,-0.622914,3.226839
5/16/2014 10:24:47.565 AM,3.000000,24.021550,24.539242,24.186667,23.434199,25.568761,25.940044,23.574574,23.302433,21.993592,21.388484,21.490149,25.391930,21.198130,20.898433,21.246551,20.146615,22.074022,21.339534,21.161678,21.136913,20.900779,20.910769,20.469064,20.000514,22.924575,21.882912,21.733401,17.799924,21.165643,21.330347,20.906540,20.753334,27.336696,27.904934,28.035050,28.921060,25.882120,23.288076,29.755545,30.192626,24.081021,22.554413,23.449034,22.820787,22.478557,3027.082803,3020.090321,3019.635218,25.344846,24.513739,23.646080,23.280541,23.289014,22.600537,19.372270,3039.528298,27.007579,23.717735,23.915822,27.854828,22.912646,3024.828117,3021.748341,3014.072148,3073.243668,3079.513777,3067.982177,3063.028678,3002.100050,3017.163302,21.899694,19.859361,3063.728826,-0.002331,-0.002461,4.150319,4.147060,4.146092,2.443108,2.433793,2.436682,2.414281,2.414206,2.415130,2.434779,2.388116,2.406417,2.401589,2.437520,2.400500,0.995956,-0.134658,-0.050692,1.011385,-0.622926,3.226767
5/16/2014 10:24:48.565 AM,4.000000,24.011812,24.514007,24.181613,23.425964,25.554427,25.914240,23.571793,23.301165,21.967693,21.361431,21.479853,25.221163,21.191777,20.900044,21.242322,20.140639,22.055239,21.334845,21.155704,21.134352,20.887449,20.906463,20.480462,20.009188,22.909144,21.875349,21.729176,17.796286,21.151318,21.327332,20.905041,20.743870,27.323658,27.907129,28.026012,28.912258,25.877901,23.141981,29.744796,30.181733,24.013632,22.490721,23.439129,22.765033,22.385982,3026.550791,3019.556939,3019.101485,25.359889,24.505806,23.647601,23.249893,23.275477,22.693911,19.388768,3038.988915,27.014758,23.734387,23.913030,27.841500,22.992326,3024.287157,3021.209926,3013.537338,3072.731972,3078.993971,3067.465446,3062.502565,3001.539991,3016.614451,21.902403,19.859343,3063.194739,-0.002343,-0.002463,4.150467,4.147234,4.146304,2.447180,2.438519,2.440291,2.413984,2.416360,2.417346,2.436694,2.389820,2.408273,2.403307,2.439452,2.402748,0.995992,-0.135622,-0.051223,1.011279,-0.622946,3.226857
5/16/2014 10:24:49.565 AM,5.000000,24.012097,24.506427,24.169337,23.431626,25.562644,25.892781,23.567009,23.308567,21.958886,21.362781,21.461104,25.717794,21.183342,20.895629,21.242307,20.133947,22.040440,21.322614,21.146435,21.132061,20.867713,20.896434,20.483330,20.007500,22.882543,21.879123,21.716881,17.795431,21.152896,21.322085,20.898801,20.730425,27.322997,27.895234,28.014345,28.918074,25.866593,23.132376,29.731272,30.191371,23.995799,22.345755,23.432410,22.720577,22.343796,3025.889812,3018.896601,3018.429766,25.369576,24.485630,23.646710,23.230458,23.285182,22.808942,19.394636,3038.357197,26.993796,23.777451,23.899503,27.817551,23.010216,3023.638747,3020.571341,3012.889847,3072.100128,3078.376368,3066.832615,3061.851402,3000.868029,3015.963103,21.910956,19.854471,3062.571106,-0.002340,-0.002480,4.149558,4.146251,4.145333,2.450561,2.442554,2.443152,2.415098,2.416910,2.419407,2.435920,2.389341,2.407753,2.402693,2.438764,2.401654,0.995974,-0.136183,-0.052853,1.011383,-0.622958,3.225449
5/16/2014 10:24:50.565 AM,6.000000,24.032637,24.501559,24.180279,23.441889,25.557627,25.792473,23.577949,23.320873,21.937258,21.409304,21.463045,25.660636,21.183841,20.912128,21.246822,20.143551,22.028959,21.322124,21.146704,21.131194,20.857668,20.908766,20.506511,20.011795,22.873119,21.879242,21.732839,17.797226,21.151422,21.318110,20.900969,20.736917,27.321183,27.903146,28.017129,28.933508,25.867569,23.290747,29.712686,30.183627,23.972721,22.344839,23.442170,22.788533,22.242637,3026.581377,3019.586029,3019.130458,25.425016,24.490994,23.652836,23.160658,23.315217,22.862843,19.399873,3039.027227,26.991148,23.809446,23.903584,27.833600,23.038382,3024.311810,3021.235842,3013.549652,3072.743531,3078.995408,3067.458429,3062.499108,3001.528213,3016.602248,21.917116,19.857453,3063.203140,-0.002356,-0.002474,4.150438,4.147160,4.146187,2.453123,2.445239,2.444931,2.416836,2.418175,2.420542,2.437365,2.390166,2.408715,2.403192,2.438796,2.402465,0.995989,-0.136165,-0.054319,1.011571,-0.622948,3.221760
5/16/2014 10:24:51.565 AM,7.000000,24.042833,24.530883,24.198200,23.473975,25.586700,25.794044,23.592694,23.341900,21.908521,21.454860,21.467202,25.740410,21.191640,20.928492,21.255985,20.154236,22.016664,21.322643,21.156627,21.137097,20.863269,20.916265,20.528575,20.013073,22.855080,21.891661,21.738510,17.795919,21.157555,21.330681,20.912339,20.737815,27.329237,27.902000,28.021111,28.949836,25.868991,23.428792,29.712673,30.227532,23.880490,22.242549,23.389173,22.812990,22.258307,3027.688159,3020.699083,3020.233074,25.466170,24.504064,23.656454,23.135736,23.336463,22.896216,19.413687,3040.125736,27.010003,23.825091,23.896608,27.849939,23.086075,3025.445187,3022.359739,3014.695768,3073.839821,3080.074742,3068.545886,3063.590868,3002.657447,3017.730150,21.909912,19.863297,3064.308386,-0.002323,-0.002458,4.150907,4.147672,4.146707,2.451385,2.442411,2.443460,2.418270,2.420746,2.423605,2.437416,2.390222,2.408638,2.401852,2.437539,2.401316,0.995996,-0.137003,-0.053980,1.011413,-0.622917,3.221334
5/16/2014 10:24:52.565 AM,8.000000,24.022792,24.509632,24.182835,23.461103,25.563732,25.756739,23.578767,23.338417,21.849484,21.490038,21.457647,25.685337,21.177834,20.914920,21.241578,20.137013,21.980651,21.304962,21.139788,21.126553,20.835583,20.901925,20.524477,19.994545,22.834174,21.876044,21.720850,17.786630,21.142300,21.318778,20.897160,20.723704,27.307600,27.895824,27.995183,28.914446,25.844230,23.162205,29.693497,30.189633,23.780478,22.344378,23.344371,22.843150,22.330448,3025.769231,3018.777785,3018.320177,25.466026,24.494087,23.641628,23.108564,23.302196,23.001523,19.393406,3038.243991,27.010686,23.794688,23.877847,27.842183,23.128410,3023.549566,3020.470007,3012.781830,3071.990083,3078.248063,3066.707248,3061.740794,3000.760887,3015.847404,21.880109,19.848923,3062.472647,-0.002356,-0.002494,4.149586,4.146373,4.145438,2.448544,2.440964,2.439372,2.414608,2.417078,2.420343,2.435021,2.387849,2.406273,2.397877,2.433424,2.398132,0.995961,-0.137687,-0.053143,1.011559,-0.622934,3.223092
5/16/2014 10:24:53.565 AM,9.000000,24.026944,24.513784,24.192742,23.479869,25.573094,25.745555,23.571421,23.360284,21.809536,21.513002,21.455439,25.549572,21.191479,20.929699,21.256128,20.147704,21.993077,21.318914,21.155178,21.129654,20.842554,20.911400,20.553676,19.993475,22.859919,21.887028,21.737365,17.780989,21.140245,21.324380,20.894192,20.726655,27.316786,27.891436,28.002711,28.940037,25.845348,23.278832,29.701606,30.228580,23.760187,22.323303,23.321497,22.918133,22.424385,3027.069096,3020.082530,3019.619444,25.459439,24.496643,23.647742,23.124902,23.261319,23.106803,19.402737,3039.518525,27.013314,23.782947,23.876544,27.867867,23.227585,3024.847341,3021.764228,3014.071899,3073.244906,3079.505177,3067.969774,3063.008904,3002.092066,3017.155544,21.868879,19.859389,3063.748542,-0.002327,-0.002472,4.150310,4.147102,4.146143,2.449513,2.440538,2.443187,2.417819,2.419539,2.422416,2.439372,2.391804,2.410173,2.403097,2.438476,2.402194,0.996120,-0.138980,-0.051642,1.011489,-0.622931,3.226407
5/16/2014 10:24:54.565 AM,10.000000,24.021267,24.518923,24.189937,23.495460,25.575580,25.746607,23.582540,23.377764,21.846138,21.489952,21.460895,25.537252,21.191476,20.938641,21.271064,20.152405,21.985948,21.320429,21.155022,21.130183,20.847557,20.928010,20.568998,19.989598,22.858551,21.890588,21.733801,17.792935,21.132424,21.329230,20.891307,20.721644,27.284704,27.914250,28.001020,28.926902,25.846451,23.189656,29.687281,30.158297,23.820761,22.489694,23.315941,22.957873,22.484208,3027.582762,3020.597277,3020.144066,25.432140,24.509471,23.660577,23.130776,23.177977,23.134475,19.406885,3040.045958,27.026261,23.758708,23.868795,27.877103,23.345965,3025.362108,3022.284332,3014.586230,3073.750221,3080.008792,3068.475106,3063.534699,3002.619002,3017.693697,21.857189,19.866053,3064.267454,-0.002324,-0.002458,4.151462,4.148278,4.147409,2.449033,2.439461,2.441559,2.428659,2.428851,2.428403,2.439970,2.392601,2.410763,2.405944,2.441248,2.404286,0.995995,-0.137956,-0.049830,1.011460,-0.622930,3.229002
5/16/2014 10:24:55.565 AM,11.000000,24.011765,24.514260,24.199648,23.498135,25.579235,25.743764,23.584304,23.393229,21.877766,21.527427,21.461677,25.691914,21.190210,20.938517,21.273134,20.154402,21.973917,21.317569,21.155577,21.131042,20.843863,20.922345,20.570540,19.973221,22.854031,21.889853,21.738069,17.802930,21.136773,21.320990,20.887004,20.719545,27.268681,27.964051,27.990507,28.933797,25.850870,23.379265,29.698608,30.113427,23.874439,22.600623,23.294939,22.880189,22.522885,3027.096904,3020.114352,3019.646543,25.555525,24.513143,23.638292,23.140658,23.126560,23.143598,19.400313,3039.572160,27.078296,23.723494,23.865884,27.868857,23.435942,3024.862252,3021.783601,3014.096033,3073.276342,3079.536931,3068.014769,3063.053414,3002.121984,3017.199831,21.839868,19.858266,3063.775111,-0.002352,-0.002464,4.150947,4.147655,4.146725,2.451454,2.438414,2.437259,2.426005,2.428076,2.430509,2.439964,2.392281,2.410874,2.403789,2.439739,2.403369,0.995972,-0.134512,-0.051361,1.011044,-0.622948,3.229456
5/16/2014 10:24:56.565 AM,12.000000,24.008109,24.504480,24.192811,23.498185,25.567420,25.716477,23.591090,23.388737,21.952539,21.646653,21.454221,25.996137,21.182754,20.944329,21.275082,20.151798,21.989735,21.315571,21.148649,21.117970,20.836558,20.918906,20.579845,19.964768,22.874681,21.876334,21.739256,17.791106,21.129767,21.320358,20.881668,20.709051,27.260714,27.955406,27.982242,28.922904,25.844859,23.414505,29.693520,30.055006,23.885212,22.604591,23.247129,22.829763,22.401695,3026.540167,3019.542356,3019.088439,25.607212,24.505834,23.620386,23.127818,23.077854,23.129171,19.395177,3039.011314,27.157478,23.702417,23.832387,27.866776,23.476014,3024.289979,3021.219890,3013.530153,3072.733281,3079.001460,3067.458263,3062.498527,3001.561544,3016.633050,21.823445,19.854872,3063.224478,-0.002343,-0.002469,4.150506,4.147243,4.146343,2.453212,2.442023,2.443045,2.426218,2.427349,2.434643,2.444273,2.393836,2.412424,2.403130,2.438833,2.402450,0.995976,-0.134002,-0.052189,1.011453,-0.622945,3.227596
5/16/2014 10:24:57.565 AM,13.000000,24.007994,24.505953,24.192318,23.501779,25.581661,25.702392,23.596198,23.397102,21.988648,21.751677,21.458959,25.775783,21.188857,20.943153,21.287326,20.151532,22.005997,21.331390,21.156424,21.129081,20.844863,20.928653,20.597255,19.965867,22.883353,21.887666,21.748691,17.803625,21.136253,21.319259,20.884967,20.700440,27.280512,27.958763,27.986126,28.915864,25.857506,23.234828,29.680241,30.035936,23.904843,22.613641,23.130278,22.726608,22.472644,3026.964258,3019.965191,3019.496955,25.776410,24.546107,23.607026,23.103251,23.055036,23.049503,19.395822,3039.420824,27.217501,23.674461,23.816307,27.863422,23.432298,3024.698649,3021.619090,3013.931836,3073.122978,3079.383402,3067.860700,3062.899782,3001.964875,3017.024120,21.816390,19.858283,3063.612390,-0.002338,-0.002465,4.150882,4.147935,4.146967,2.457741,2.446755,2.444587,2.416479,2.418172,2.425104,2.443052,2.392847,2.411026,2.401441,2.437378,2.400425,0.995979,-0.135346,-0.052404,1.011331,-0.622927,3.226847
