TimeStamp(s),Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A5_7,TC_A5_8,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A6_6,TC_A6_7,TC_A6_8,TC_A7_1,TC_A7_2,TC_A7_3,TC_A7_4,TC_A7_5,TC_A7_6,TC_A7_7,TC_A7_8,TC_A8_1,TC_A8_2,TC_A8_3,TC_A8_4,TC_A8_5,TC_A8_6,TC_A8_7,TC_A8_8,TC_S_1,TC_S_2,TC_S_3,TC_S_4,TC_S_5,TC_S_6,TC_S_7,TC_S_8,TC_Ignition,HF_1_V,HF_1_H,HF_2_V,HF_2_H,HF_3_V,HF_3_H,Voltage_1,Voltage_2,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,O2_A,CO_A,CO2_A,O2_B,CO_B,CO2_B
5/21/2014 10:24:43.450 AM,0.000000,26.842029,27.137181,26.672304,26.510519,27.002382,26.894364,26.537940,26.419806,26.771457,26.325416,26.191434,38.343580,25.787978,25.569710,25.840085,24.842099,27.242683,26.266167,26.317136,26.089074,25.751959,25.752627,25.514913,25.400463,27.714407,27.946677,27.420699,22.648642,26.905007,27.001401,26.976459,26.755159,26.147740,25.485513,24.947684,25.054761,24.708654,23.101867,24.714322,24.288256,26.503390,17.510582,26.533009,26.256667,26.211782,25.954261,25.307504,22.802619,25.343090,25.507049,25.418861,25.692305,25.548213,25.089335,23.873097,21.752743,3050.918593,3046.179577,3045.552588,3050.254159,3042.549113,3037.567430,3034.424443,3026.761324,24.424337,24.252452,24.573493,24.404899,24.563923,3029.831611,3029.968616,23.707480,30.398333,-0.002961,-0.003027,4.182485,4.178044,4.180045,4.999051,5.000293,4.998863,2.525612,2.454804,2.428806,2.583854,2.504155,-4.073328,5.000129,4.998558,-5.000117,1.032546,-0.008149,-0.008220,1.031565,-0.495671,-0.416437
5/21/2014 10:24:44.450 AM,1.000000,26.833541,27.081095,26.646744,26.494473,26.931569,26.821525,26.526200,26.372970,26.714224,26.365986,26.178555,41.359008,25.770942,25.552153,25.816106,24.818636,27.258560,26.245652,26.301014,26.065928,25.723224,25.741105,25.485945,25.375938,27.680209,27.914067,27.447726,22.643066,26.861935,26.929927,26.898988,26.702981,26.133370,25.461156,24.927249,25.040451,24.684593,23.272416,24.701298,24.280368,26.577173,17.715110,26.591246,26.286398,26.235088,25.871834,25.071437,22.912755,25.314739,25.466448,25.392166,25.665241,25.519949,25.030302,23.870349,21.698683,3049.791978,3045.059600,3044.415622,3049.131677,3041.421878,3036.432401,3033.298226,3025.619001,24.413374,24.236490,24.562979,24.395148,24.553269,3028.701715,3028.823820,23.689092,30.562151,-0.002966,-0.003043,4.162077,4.159175,4.160879,4.999051,5.000293,4.998863,2.523760,2.452986,2.428396,2.582641,2.503839,-4.078190,5.000129,4.998558,-5.000117,1.032557,-0.009063,-0.007496,1.030833,-0.494998,-0.417453
5/21/2014 10:24:45.450 AM,2.000000,26.850134,27.063821,26.648328,26.495607,26.915648,26.762302,26.510806,26.363989,26.688946,26.432184,26.178329,46.311499,25.776079,25.549434,25.821618,24.823171,27.264144,26.245427,26.311886,26.066833,25.718542,25.745561,25.490628,25.362411,27.714517,27.896576,27.422617,22.625478,26.864125,26.913257,26.870534,26.659821,26.127443,25.470034,24.925622,25.045627,24.690150,23.295250,24.717512,24.291978,26.631394,20.117504,26.642222,26.355308,26.286162,25.764834,24.852992,23.158689,25.322410,25.482957,25.393033,25.677892,25.523007,24.985910,23.896043,21.696447,3050.110767,3045.362749,3044.757236,3049.449774,3041.746794,3036.759700,3033.627108,3025.956936,24.419665,24.240363,24.564884,24.399171,24.554947,3029.038418,3029.165326,23.688197,30.931234,-0.002978,-0.003036,4.162608,4.159774,4.161482,4.999051,5.000293,4.998863,2.523580,2.453105,2.427724,2.581667,2.502929,-4.081478,5.000129,4.998558,-5.000117,1.032690,-0.007533,-0.008226,1.031463,-0.496707,-0.417533
5/21/2014 10:24:46.450 AM,3.000000,26.863785,27.085618,26.646436,26.484808,26.922964,26.728273,26.478274,26.355682,26.686228,26.465994,26.183611,43.802435,25.777585,25.552000,25.816933,24.820447,27.225659,26.245272,26.318148,26.060411,25.719974,25.746238,25.492137,25.359764,27.703655,27.859254,27.406706,22.632676,26.904585,26.932113,26.891437,26.646538,26.139507,25.467147,24.918652,25.041000,24.691947,23.192679,24.722710,24.306407,26.659901,14.830282,26.745887,26.478149,26.260703,25.592568,24.679957,23.260015,25.337501,25.488229,25.412359,25.686712,25.485764,24.955819,23.866356,21.704236,3049.960165,3045.228163,3044.600021,3049.292592,3041.597987,3036.605705,3033.471572,3025.803197,24.422465,24.238549,24.566777,24.396147,24.551168,3028.884961,3028.990671,23.688351,30.918608,-0.002962,-0.003042,4.162519,4.159628,4.161398,4.999051,5.000293,4.998863,2.524169,2.453594,2.428234,2.582110,2.502587,-4.083777,5.000129,4.998558,-5.000117,1.032670,-0.006219,-0.008196,1.031084,-0.496774,-0.417539
5/21/2014 10:24:47.450 AM,4.000000,26.833243,27.124470,26.652105,26.498401,26.948700,26.792710,26.508695,26.445580,26.699513,26.483056,26.178860,42.698951,25.781141,25.540075,25.817089,24.814106,27.169679,26.247544,26.307358,26.057775,25.718996,25.748284,25.496145,25.358031,27.701172,27.842821,27.390125,22.641171,26.920667,26.947808,26.889557,26.645940,26.169990,25.473023,24.913568,25.041589,24.696994,23.070483,24.727151,24.321590,26.509784,16.188443,26.848711,26.629061,26.336257,25.410755,24.647813,23.373600,25.355312,25.483981,25.414533,25.688280,25.455918,24.905928,23.792234,21.680041,3049.924520,3045.166202,3044.550469,3049.253520,3041.542545,3036.542757,3033.419125,3025.753685,24.421632,24.239982,24.567153,24.399851,24.554645,3028.806681,3028.937778,23.687137,30.833984,-0.002975,-0.003039,4.162517,4.159616,4.161362,4.999051,5.000293,4.998863,2.523038,2.453144,2.427450,2.581088,2.504410,-4.086637,5.000129,4.998558,-5.000117,1.032707,-0.008787,-0.008818,1.030940,-0.496889,-0.416509
5/21/2014 10:24:48.450 AM,5.000000,26.848898,27.135525,26.684462,26.547664,26.998614,26.900251,26.624049,26.549845,26.699708,26.488610,26.186227,43.433063,25.785640,25.545857,25.827253,24.824652,27.099999,26.255064,26.301965,26.062272,25.732406,25.754822,25.503741,25.365329,27.661930,27.810367,27.370789,22.641440,26.929844,26.960071,26.898127,26.723852,26.168533,25.479652,24.914076,25.055020,24.699618,23.089323,24.738922,24.339116,26.357907,17.826789,26.965478,26.775416,26.552126,25.396150,24.860344,23.408488,25.374252,25.479047,25.426450,25.685088,25.434829,24.861396,23.762012,21.698817,3050.642696,3045.902740,3045.285656,3049.977747,3042.282494,3037.293237,3034.171065,3026.503431,24.424802,24.250115,24.569341,24.409448,24.558871,3029.556835,3029.683729,23.691520,30.807973,-0.002967,-0.003033,4.163021,4.160141,4.161811,4.999051,5.000293,4.998863,2.520688,2.452073,2.427095,2.581716,2.503270,-4.089586,5.000129,4.998558,-5.000117,1.032552,-0.009494,-0.008223,1.031403,-0.500639,-0.416011
5/21/2014 10:24:49.450 AM,6.000000,26.886463,27.143069,26.719642,26.588199,27.049993,26.965655,26.646991,26.551053,26.742943,26.477892,26.177393,44.432710,25.782846,25.546010,25.814416,24.814756,27.056305,26.253175,26.293057,26.061215,25.733767,25.727554,25.500343,25.348023,27.645192,27.777418,27.337161,22.662134,26.973774,27.002163,26.960916,26.833856,26.173742,25.472623,24.899635,25.057665,24.696444,22.977056,24.729851,24.354243,26.279856,17.264552,27.002896,26.825538,26.632056,25.562307,24.820283,23.418560,25.383014,25.458569,25.428187,25.661371,25.414439,24.813408,23.750051,21.705715,3049.945844,3045.187885,3044.571509,3049.269443,3041.584352,3036.593311,3033.467096,3025.799386,24.420007,24.242595,24.562273,24.402915,24.561262,3028.854367,3028.976553,23.689449,31.123339,-0.002981,-0.003037,4.162596,4.159672,4.161426,4.999051,5.000293,4.998863,2.522831,2.451768,2.426659,2.579165,2.502407,-4.092241,5.000129,4.998558,-5.000117,1.032554,-0.007690,-0.008217,1.030937,-0.496307,-0.416860
5/21/2014 10:24:50.450 AM,7.000000,26.937904,27.160267,26.780644,26.615376,27.081755,26.952002,26.671365,26.524264,26.731474,26.474043,26.176487,43.967849,25.786171,25.536497,25.810413,24.809618,27.065512,26.252722,26.296982,26.058422,25.745095,25.707612,25.502384,25.352709,27.659970,27.761659,27.331957,22.726108,27.088274,27.148181,27.127910,26.982548,26.163761,25.456436,24.897503,25.053265,24.690380,22.911507,24.730516,24.359671,26.452087,18.393908,26.968177,26.823786,26.504103,25.550506,24.684967,23.465570,25.385869,25.442835,25.431269,25.636431,25.392899,24.751947,23.746022,21.708274,3049.929567,3045.182624,3044.573436,3049.264795,3041.580464,3036.588520,3033.448047,3025.789173,24.420910,24.236312,24.555231,24.401098,24.559294,3028.863204,3028.992662,23.692547,31.069763,-0.002970,-0.003035,4.162939,4.160054,4.161784,4.999051,5.000293,4.998863,2.521915,2.450602,2.426812,2.579478,2.500446,-4.094286,5.000129,4.998558,-5.000117,1.032687,-0.006337,-0.008218,1.031624,-0.494998,-0.417513
5/21/2014 10:24:51.450 AM,8.000000,27.045494,27.192439,26.808618,26.660178,27.087755,26.923681,26.691781,26.550718,26.715898,26.469935,26.167920,44.428278,25.787043,25.540616,25.810079,24.815177,27.082080,26.254502,26.284340,26.058010,25.746647,25.683029,25.499782,25.369300,27.677883,27.783718,27.363745,22.794292,27.190579,27.255009,27.263459,27.086988,26.150124,25.469006,24.888533,25.049362,24.691995,22.738175,24.732432,24.377850,26.591657,17.434157,26.940743,26.743873,26.280228,25.418905,24.652717,23.580385,25.357191,25.452609,25.431220,25.639329,25.351995,24.725372,23.709108,21.718383,3049.742431,3045.011725,3044.401131,3049.104625,3041.415147,3036.421766,3033.288999,3025.610905,24.413991,24.232341,24.550731,24.396298,24.562358,3028.698427,3028.831297,23.692813,31.110229,-0.002970,-0.003050,4.162177,4.159537,4.161291,4.999051,5.000293,4.998863,2.517615,2.451691,2.424504,2.581671,2.502581,-4.096614,5.000129,4.998558,-5.000117,1.032662,-0.002878,-0.008208,1.031393,-0.498701,-0.417273
5/21/2014 10:24:52.450 AM,9.000000,27.123378,27.230361,26.824906,26.704241,27.078987,26.938675,26.720737,26.573869,26.704335,26.482597,26.178776,47.198608,25.793748,25.549358,25.813685,24.816823,27.059951,26.266268,26.283794,26.072265,25.751085,25.682558,25.510186,25.380769,27.697922,27.783399,27.438901,22.868852,27.256290,27.325875,27.337981,27.147763,26.120130,25.464223,24.894407,25.052288,24.693032,22.854762,24.738910,24.394995,26.633441,17.702260,26.995189,26.810052,26.109491,25.377322,24.557743,23.730123,25.450608,25.466038,25.439434,25.629185,25.333016,24.700483,23.548435,21.728971,3050.161752,3045.434421,3044.817077,3049.518683,3041.840761,3036.835167,3033.706611,3026.019953,24.415005,24.225637,24.550079,24.383929,24.558911,3029.117771,3029.250638,23.694359,31.326257,-0.002975,-0.003034,4.163359,4.160437,4.162187,4.999051,5.000293,4.998863,2.519974,2.449393,2.425900,2.578263,2.503737,-4.097754,5.000129,4.998558,-5.000117,1.031945,-0.003426,-0.008223,1.030922,-0.498443,-0.416023
