TimeStamp(s),Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A5_7,TC_A5_8,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A6_6,TC_A6_7,TC_A6_8,TC_A7_1,TC_A7_2,TC_A7_3,TC_A7_4,TC_A7_5,TC_A7_6,TC_A7_7,TC_A7_8,TC_A8_1,TC_A8_2,TC_A8_3,TC_A8_4,TC_A8_5,TC_A8_6,TC_A8_7,TC_A8_8,TC_S_1,TC_S_2,TC_S_3,TC_S_4,TC_S_5,TC_S_6,TC_S_7,TC_S_8,TC_Ignition,HF_1_V,HF_1_H,HF_2_V,HF_2_H,HF_3_V,HF_3_H,Voltage_1,Voltage_2,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,O2_A,CO_A,CO2_A,O2_B,CO_B,CO2_B
5/19/2014 10:04:21.382 AM,0.000000,21.959462,22.123157,21.672712,21.523672,21.911306,22.142338,21.502150,21.084417,19.355390,19.228512,19.436287,24.725517,19.147798,19.018736,19.387061,18.522493,22.429368,21.790061,21.727527,21.739056,21.382236,21.255694,21.147033,20.857971,23.833978,23.959700,23.515554,19.394027,22.896778,22.941137,22.974765,22.646915,23.693049,23.352366,22.577318,22.715773,22.375875,19.987877,22.394283,21.980602,3035.854012,3040.552993,3031.345557,3035.331683,3013.842845,3011.344576,3004.326809,3003.782193,3030.005462,3029.971593,3027.567901,3022.458428,3027.955520,3033.973371,3025.215691,3023.842942,3023.054647,3018.240399,3017.560349,3022.279036,3014.466700,3009.344097,3006.279050,2998.472721,24.706485,21.344881,3057.191509,3052.211467,2990.750996,3005.867583,21.719850,2996.335339,22.735137,-0.002125,-0.002241,4.157292,4.151700,4.152980,4.999051,5.000293,4.998863,2.521194,2.543238,2.515130,2.460837,2.525496,2.485186,2.455636,2.475856,2.511020,1.023406,0.002760,0.059973,1.021915,0.197860,0.124814
5/19/2014 10:04:22.382 AM,1.000000,21.982294,22.183348,21.660755,21.513993,21.915351,22.056976,21.479433,21.078606,19.400075,19.214260,19.419296,24.169390,19.133086,19.010791,19.376683,18.509528,22.385818,21.771353,21.706857,21.725816,21.363614,21.235849,21.121433,20.831441,23.854362,23.889580,23.497421,19.392002,22.882560,22.927916,22.959795,22.621875,23.663169,23.337382,22.563385,22.717220,22.332706,19.834251,22.378532,21.965678,3035.806852,3040.498273,3031.297040,3035.273688,3013.778409,3011.294305,3004.276041,3003.728313,3029.928628,3029.906361,3027.495930,3022.395252,3027.881126,3033.898953,3025.142674,3023.766110,3022.983985,3018.156568,3017.481748,3022.204804,3014.389896,3009.266402,3006.201715,2998.396188,24.650148,21.333423,3057.099384,3052.132752,2990.663288,3005.776798,21.711206,2996.265346,22.706964,-0.002117,-0.002240,4.137479,4.133348,4.134400,4.999051,5.000293,4.998863,2.523406,2.545090,2.515466,2.461320,2.524721,2.484771,2.454863,2.475260,2.510583,1.023661,0.002746,0.060008,1.021908,0.195385,0.124886
5/19/2014 10:04:23.382 AM,2.000000,21.969156,22.250826,21.668459,21.535496,21.925249,21.990492,21.485011,21.088735,19.444166,19.218025,19.420253,24.522553,19.135485,19.010074,19.374373,18.506078,22.375174,21.768817,21.706748,21.724951,21.365174,21.231722,21.113210,20.825416,23.870902,23.843158,23.491108,19.398201,22.881392,22.935455,22.955974,22.631763,23.643044,23.299907,22.563919,22.730555,22.325516,19.698416,22.386488,21.960906,3035.959023,3040.658110,3031.460018,3035.445543,3013.955644,3011.464919,3004.439194,3003.892806,3030.096194,3030.068579,3027.663743,3022.555430,3028.039872,3034.067846,3025.314126,3023.935177,3023.147646,3018.321134,3017.646685,3022.357381,3014.535580,3009.423848,3006.366219,2998.556839,24.676142,21.334544,3057.250717,3052.283454,2990.817643,3005.931313,21.710203,2996.414567,22.711188,-0.002118,-0.002241,4.137559,4.133504,4.134458,4.999051,5.000293,4.998863,2.514220,2.536590,2.505459,2.449803,2.514210,2.473853,2.453680,2.474089,2.509450,1.023540,0.002774,0.060015,1.021896,0.196691,0.124897
5/19/2014 10:04:24.382 AM,3.000000,22.015904,22.296589,21.677561,21.544219,21.927449,21.946241,21.494414,21.099431,19.453966,19.222889,19.419267,24.222916,19.129789,19.006279,19.377489,18.510335,22.346528,21.762144,21.695681,21.719343,21.368436,21.216782,21.106312,20.825414,23.826938,23.826662,23.465305,19.397822,22.892834,22.944466,22.966428,22.637824,23.610705,23.266035,22.558286,22.722425,22.316702,19.621354,22.379192,21.957091,3035.920872,3040.620809,3031.418557,3035.400280,3013.907956,3011.418866,3004.397312,3003.850085,3030.057578,3030.035281,3027.642204,3022.532823,3028.017818,3034.044857,3025.295497,3023.914701,3023.124262,3018.302716,3017.622167,3022.348093,3014.533296,3009.400322,3006.352021,2998.553751,24.635726,21.337393,3057.241089,3052.269664,2990.806855,3005.923047,21.709792,2996.413810,22.713125,-0.002121,-0.002237,4.137562,4.133493,4.134451,4.999051,5.000293,4.998863,2.528881,2.551004,2.522313,2.466007,2.530046,2.488067,2.455613,2.475999,2.511393,1.023694,0.001966,0.060005,1.021893,0.196839,0.124857
5/19/2014 10:04:25.382 AM,4.000000,22.084071,22.330968,21.678679,21.550950,21.933568,21.927583,21.545038,21.107982,19.474376,19.225833,19.413018,24.339513,19.132506,18.999579,19.370179,18.508494,22.316116,21.763186,21.697178,21.714322,21.364022,21.210165,21.111224,20.831619,23.839255,23.844503,23.452347,19.397194,22.890770,22.947023,22.971864,22.642048,23.573673,23.245186,22.541744,22.713838,22.313873,19.480757,22.371819,21.945695,3035.839945,3040.525249,3031.317793,3035.311711,3013.818962,3011.322117,3004.307176,3003.757891,3029.975143,3029.949996,3027.547456,3022.444378,3027.934008,3033.953395,3025.193808,3023.813306,3023.039528,3018.222440,3017.542547,3022.268879,3014.434947,3009.316895,3006.274600,2998.459769,24.636889,21.341138,3057.140357,3052.179708,2990.721931,3005.836541,21.710577,2996.327721,22.718680,-0.002130,-0.002229,4.137623,4.133572,4.134548,4.999051,5.000293,4.998863,2.526618,2.548538,2.520478,2.463662,2.526954,2.485997,2.454268,2.474942,2.510166,1.023690,-0.000063,0.059087,1.021905,0.196063,0.123863
5/19/2014 10:04:26.382 AM,5.000000,22.131949,22.353922,21.666468,21.551175,21.928640,21.889009,21.582790,21.113896,19.497690,19.219679,19.415143,23.871023,19.124604,19.006108,19.370483,18.505226,22.295044,21.762578,21.692704,21.702342,21.353329,21.202959,21.101972,20.839282,23.826843,23.866752,23.436908,19.402665,22.907663,22.952093,22.981178,22.634017,23.568834,23.262150,22.537428,22.689906,22.309558,19.845503,22.374701,21.935695,3035.232789,3039.929164,3030.722151,3034.710704,3013.209058,3010.712858,3003.692761,3003.142824,3029.364907,3029.338833,3026.938134,3021.827717,3027.313259,3033.343996,3024.595108,3023.204191,3022.441501,3017.621266,3016.932718,3021.664027,3013.834967,3008.713962,3005.653723,2997.845551,24.624467,21.330800,3056.533747,3051.571938,2990.088744,3005.215785,21.706995,2995.690287,22.717449,-0.002125,-0.002248,4.137569,4.133507,4.134492,4.999051,5.000293,4.998863,2.527459,2.549354,2.520980,2.464202,2.528031,2.486598,2.452593,2.473372,2.508708,1.023672,-0.000200,0.058506,1.021898,0.193211,0.122632
5/19/2014 10:04:27.382 AM,6.000000,22.161220,22.368346,21.685230,21.565310,21.941177,21.860091,21.609203,21.136676,19.542067,19.220316,19.414794,23.850848,19.127521,19.001051,19.369677,18.502825,22.248687,21.759270,21.691598,21.694412,21.348660,21.190853,21.102458,20.841133,23.815368,23.903861,23.433456,19.411285,22.896024,22.963025,22.965605,22.632684,23.568235,23.241712,22.533799,22.679234,22.317520,20.567247,22.382435,21.932290,3035.727360,3040.415013,3031.207011,3035.186282,3013.684367,3011.204077,3004.181127,3003.638462,3029.855983,3029.814144,3027.422122,3022.312211,3027.799826,3033.835634,3025.071171,3023.698121,3022.923231,3018.098409,3017.430825,3022.146731,3014.329256,3009.197225,3006.143593,2998.345707,24.609090,21.334339,3057.018951,3052.054253,2990.587096,3005.710758,21.707119,2996.177047,22.725297,-0.002132,-0.002256,4.137527,4.133500,4.134459,4.999051,5.000293,4.998863,2.527369,2.549388,2.520957,2.465270,2.528962,2.486589,2.453170,2.473792,2.509115,1.023686,0.001022,0.058531,1.021912,0.192502,0.122130
5/19/2014 10:04:28.382 AM,7.000000,22.162369,22.374040,21.744173,21.574878,21.938841,21.846767,21.641888,21.143363,19.577695,19.219342,19.412072,23.952086,19.127609,19.004256,19.367791,18.505877,22.226565,21.768688,21.688501,21.694198,21.342077,21.188666,21.093069,20.824527,23.807890,23.936562,23.431349,19.415173,22.890279,22.966900,22.947818,22.624974,23.550256,23.218574,22.537696,22.683508,22.337248,20.097125,22.382317,21.940966,3035.664406,3040.367440,3031.157421,3035.155854,3013.651190,3011.162906,3004.152448,3003.597316,3029.807178,3029.773803,3027.368651,3022.261033,3027.758943,3033.785526,3025.026204,3023.646382,3022.871249,3018.051591,3017.376224,3022.090280,3014.271449,3009.147212,3006.107557,2998.285101,24.613539,21.340776,3056.967313,3052.015673,2990.538183,3005.652005,21.707413,2996.098425,22.729377,-0.002119,-0.002246,4.137781,4.133725,4.134727,4.999051,5.000293,4.998863,2.527493,2.549455,2.520832,2.465805,2.528804,2.487503,2.453159,2.473739,2.509036,1.023683,0.002799,0.058520,1.021894,0.194651,0.123395
5/19/2014 10:04:29.382 AM,8.000000,22.155824,22.386586,21.803901,21.571662,21.934036,21.840598,21.667251,21.163731,19.585259,19.212323,19.413028,24.524198,19.126896,18.998757,19.369585,18.508205,22.272091,21.777531,21.684982,21.686359,21.330296,21.182494,21.090537,20.809548,23.772519,23.944252,23.423298,19.425708,22.881913,22.961191,22.950666,22.616536,23.561443,23.208185,22.534195,22.683798,22.351400,19.981507,22.395177,21.939585,3035.526391,3040.225494,3031.019474,3035.014775,3013.520957,3011.018325,3004.001214,3003.456080,3029.670207,3029.631737,3027.234696,3022.144029,3027.620028,3033.646688,3024.891867,3023.509803,3022.730860,3017.925738,3017.242730,3021.958202,3014.135696,3009.014686,3005.959150,2998.160095,24.611719,21.340314,3056.837030,3051.862369,2990.388543,3005.500442,21.707637,2995.965097,22.731870,-0.002138,-0.002252,4.137995,4.133959,4.134952,4.999051,5.000293,4.998863,2.526743,2.548728,2.520194,2.465031,2.528045,2.488091,2.453230,2.473733,2.509146,1.023671,0.003645,0.058658,1.021887,0.197656,0.123350
5/19/2014 10:04:30.382 AM,9.000000,22.175752,22.394393,21.866012,21.581372,21.931083,21.846589,21.678474,21.199909,19.575846,19.219848,19.418883,24.546014,19.127051,19.007040,19.373840,18.509422,22.355010,21.790808,21.693858,21.679312,21.329466,21.193039,21.097440,20.806290,23.756858,23.974447,23.419366,19.428144,22.883964,22.965210,22.951578,22.619040,23.571699,23.200198,22.526809,22.678533,22.356058,19.416589,22.409154,21.942883,3036.161799,3040.859370,3031.653316,3035.636020,3014.152685,3011.658149,3004.637677,3004.097990,3030.291212,3030.259237,3027.853823,3022.750746,3028.223393,3034.250201,3025.502824,3024.123669,3023.359335,3018.533593,3017.854724,3022.571060,3014.753770,3009.630396,3006.576703,2998.784381,24.605324,21.341487,3057.427798,3052.460898,2990.996404,3006.092167,21.716160,2996.560386,22.742507,-0.002145,-0.002242,4.138121,4.134034,4.134964,4.999051,5.000293,4.998863,2.525587,2.547596,2.519160,2.466678,2.529294,2.487315,2.453861,2.474318,2.509627,1.023676,0.000695,0.058535,1.021907,0.197541,0.122003
