Time,286_College_Test_1,286_College_Test_2,286_College_Test_3,489_N_Forest_Test_1,489_N_Forest_2,302_College_Test_1,302_College_Test_2,302_College_Test_3,305_Manning_Test_1,305_Manning_Test_2,305_Manning_Burndown,289_Manning_Test_1,289_Manning_Test_2
0,Placeholder,,,,,,,,,,,,
75,,,,,,,,,Ignition,,,,
127,,,,,,Ignition,,,,,,,
166,Ignition,,,,,,,,,,,,
241,,,,,Ignition,,,,,,,,
270,,,,,,,,,,Ignition,,,
290,,,,,,,,,,,,,Ignition
292,,,,,,,Ignition,,,,,,
492,,,,Ignition,,,,,,,,,
513,,Ignition,Ignition,,,,,,,,,,
533,,,,,,,,,,,,Ignition,
909,,,,,,,,Ignition,,,,,
