s,C,C,C,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C
Time,"FF1_1_m","FF1_2_m","FF2_1_m","FF2_2_m","FRONT_DOOR_V_1","FRONT_DOOR_W_1","FRONT_DOOR_TEMP_1","FRONT_DOOR_V_2","FRONT_DOOR_W_2","FRONT_DOOR_TEMP_2","FRONT_DOOR_V_3","FRONT_DOOR_W_3","FRONT_DOOR_TEMP_3","FRONT_DOOR_V_4","FRONT_DOOR_W_4","FRONT_DOOR_TEMP_4","FRONT_DOOR_V_5","FRONT_DOOR_W_5","FRONT_DOOR_TEMP_5","FRONT_DOOR_V_6","FRONT_DOOR_W_6","FRONT_DOOR_TEMP_6","FRONT_DOOR_V_7","FRONT_DOOR_W_7","FRONT_DOOR_TEMP_7","FRONT_DOOR_V_8","FRONT_DOOR_W_8","FRONT_DOOR_TEMP_8"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0289915E+000, 2.0000025E+001, 2.0000004E+001, 1.9999998E+001, 1.9999987E+001, 2.0263157E-007, 6.0328240E-008, 2.0000000E+001,-6.6100272E-009, 1.4564506E-008, 2.0000000E+001, 2.1789015E-007,-3.4705444E-008, 2.0000000E+001,-3.5107110E-008, 8.6060901E-008, 2.0000000E+001, 2.8816356E-007, 8.9270982E-009, 2.0000000E+001, 2.2292499E-008,-4.9154725E-008, 2.0000000E+001, 8.2052850E-008, 9.4322033E-008, 2.0000000E+001,-6.9412231E-008, 7.9291089E-009, 2.0000000E+001
 2.0104196E+000, 1.9999842E+001, 1.9999815E+001, 1.9999935E+001, 1.9999914E+001, 1.7978158E-005,-1.8470290E-003, 1.9870157E+001, 4.4358214E-005,-1.9191434E-003, 1.9876900E+001, 8.9996407E-005,-1.8483649E-003, 1.9886801E+001,-5.5354292E-005,-1.7016012E-003, 1.9893723E+001, 2.9773002E-005,-1.6370250E-003, 1.9900320E+001, 6.1114019E-006,-1.4636198E-003, 1.9910442E+001, 5.4902972E-005,-1.2941958E-003, 1.9917179E+001, 9.8455879E-005,-1.1568785E-003, 1.9923981E+001
 3.0060742E+000, 1.9999578E+001, 1.9999689E+001, 1.9999891E+001, 1.9999716E+001, 2.0671310E-005,-5.4606409E-003, 1.9872049E+001, 1.0925309E-004,-5.6934659E-003, 1.9878775E+001, 2.4103411E-004,-5.5007031E-003, 1.9887930E+001,-1.6264748E-004,-5.0600818E-003, 1.9895164E+001, 7.2342555E-005,-4.8620086E-003, 1.9901443E+001, 9.5352516E-007,-4.3501286E-003, 1.9911354E+001, 1.4620516E-004,-3.8573742E-003, 1.9917997E+001, 2.7126033E-004,-3.4384162E-003, 1.9924913E+001
 4.0079745E+000, 1.9999577E+001, 1.9999681E+001, 1.9999886E+001, 1.9999685E+001,-2.0179668E-004,-8.9374138E-003, 1.9874514E+001,-1.9254790E-006,-9.3925837E-003, 1.9881094E+001, 2.1902012E-004,-9.1256965E-003, 1.9889414E+001,-3.9469360E-004,-8.3913729E-003, 1.9897007E+001,-3.6589874E-005,-8.0530364E-003, 1.9902969E+001,-1.5685463E-004,-7.2252708E-003, 1.9912561E+001, 8.4953630E-005,-6.4372253E-003, 1.9919077E+001, 2.8453182E-004,-5.7296106E-003, 1.9926151E+001
 5.0124712E+000, 1.9999592E+001, 1.9999683E+001, 1.9999886E+001, 1.9999676E+001,-7.9780945E-004,-1.2210058E-002, 1.9877636E+001,-3.8222512E-004,-1.2988113E-002, 1.9883852E+001,-5.8306607E-005,-1.2705571E-002, 1.9891167E+001,-8.3107367E-004,-1.1681057E-002, 1.9899284E+001,-3.6091384E-004,-1.1174156E-002, 1.9904902E+001,-5.3093734E-004,-1.0061705E-002, 1.9914133E+001,-1.8372734E-004,-9.0018222E-003, 1.9920313E+001, 9.3480754E-005,-7.9977550E-003, 1.9927458E+001
 6.0052488E+000, 1.9999603E+001, 1.9999683E+001, 1.9999884E+001, 1.9999666E+001, 3.6343106E-005,-1.5130987E-002, 1.9881250E+001, 4.7060184E-004,-1.6396808E-002, 1.9886894E+001, 7.8380934E-004,-1.6176989E-002, 1.9893135E+001,-1.1426483E-004,-1.4897884E-002, 1.9901438E+001, 4.0948906E-004,-1.4213960E-002, 1.9906950E+001, 1.8671283E-004,-1.2821488E-002, 1.9915764E+001, 6.3105579E-004,-1.1532152E-002, 1.9921618E+001, 9.6345850E-004,-1.0225904E-002, 1.9928795E+001
 7.0052252E+000, 1.9999613E+001, 1.9999685E+001, 1.9999880E+001, 1.9999660E+001,-1.2634157E-003,-1.7634863E-002, 1.9885504E+001,-4.8249395E-004,-1.9565519E-002, 1.9890079E+001,-3.3891502E-005,-1.9465255E-002, 1.9895296E+001,-9.5574663E-004,-1.7989587E-002, 1.9903500E+001,-3.9585322E-004,-1.7124576E-002, 1.9909075E+001,-6.5241894E-004,-1.5473648E-002, 1.9917477E+001,-1.1571202E-004,-1.4013778E-002, 1.9922977E+001, 2.4920618E-004,-1.2423936E-002, 1.9930149E+001
 8.0039125E+000, 1.9999620E+001, 1.9999683E+001, 1.9999874E+001, 1.9999657E+001,-2.9348244E-003,-1.9712633E-002, 1.9891743E+001,-1.6318224E-003,-2.2519935E-002, 1.9894073E+001,-1.0673825E-003,-2.2618994E-002, 1.9898346E+001,-1.9786996E-003,-2.1036100E-002, 1.9906599E+001,-1.3541974E-003,-1.9901162E-002, 1.9911928E+001,-1.6720004E-003,-1.8082611E-002, 1.9920038E+001,-1.0107748E-003,-1.6480343E-002, 1.9924816E+001,-5.8488938E-004,-1.4633236E-002, 1.9931782E+001
