s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000,-6.3389945E-004,-1.0658141E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3389945E-004, 0.0000000E+000
 1.0289915E+000, 1.1403786E-001,-3.1519399E-002, 1.6422858E-001,-1.6085029E-004, 8.1795594E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3683223E-005, 2.4740414E-001, 5.6836832E-006
 2.0104196E+000, 1.7006795E+001,-5.8181368E+000,-1.6072017E+000,-2.4554262E-001, 7.6507383E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0062678E+002, 9.4124212E+000, 7.5985653E-004
 3.0060742E+000, 2.1402808E+001,-6.8996376E+000,-1.1436094E+001,-3.1977553E-001, 1.1177803E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4570138E-005, 2.8590787E+000, 8.4069389E-004
 4.0079746E+000, 2.2520484E+001,-6.9501211E+000,-2.0684667E+001,-5.1830803E-001, 1.1481572E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5801526E-002,-5.5177970E+000, 8.6193495E-004
 5.0124712E+000, 2.2749497E+001,-7.0084848E+000,-1.6479215E+001,-7.4832234E-001, 1.1633016E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4963084E-002,-1.3701949E+000, 8.7410615E-004
 6.0052485E+000, 2.3165323E+001,-7.1627504E+000,-8.6918781E+000,-9.2211364E-001, 1.1786512E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9544355E-002, 6.5064457E+000, 8.8499281E-004
 7.0052252E+000, 2.3458308E+001,-7.2502001E+000,-1.4519576E+001,-1.0215523E+000, 1.1999347E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9797536E-002, 7.8697337E-001, 8.9563682E-004
 8.0039129E+000, 2.3749425E+001,-7.3395739E+000,-2.7301199E+001,-1.0995401E+000, 1.2156975E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0039041E-002,-1.1869319E+001, 9.0626884E-004
 9.0076580E+000, 2.3946645E+001,-7.4248674E+000,-7.0001117E+000,-1.2318739E+000, 1.2256792E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6463572E-002, 8.4123595E+000, 9.1696263E-004
 1.0017386E+001, 2.4244230E+001,-7.5470186E+000,-1.5326313E+001,-1.3405022E+000, 1.2421920E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7328576E-002, 1.5461565E-001, 9.2768330E-004
 1.1023720E+001, 2.4605396E+001,-7.6802067E+000,-3.0860613E+000,-1.4558764E+000, 1.2565652E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5326610E-002, 1.2508908E+001, 9.3841775E-004
 1.2019319E+001, 2.4770711E+001,-7.7351778E+000,-3.1574953E+001,-1.6470454E+000, 1.2721089E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2785184E-002,-1.6059255E+001, 9.4918881E-004
 1.3020043E+001, 2.5157717E+001,-7.8526017E+000,-4.0054117E+001,-1.6498093E+000, 1.2903551E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1443555E-002,-2.4269776E+001, 9.5975456E-004
