s,C,C,C,m/s,m/s,m/s,C,C,C,m/s,m/s,m/s,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C,m/s,m/s,C
Time,"FF1_0p3_m_TEMP","FF1_1_m_TEMP","FF1_2_m_TEMP","FF1_0p3_m_VEL","FF1_1_m_VEL","FF1_2_m_VEL","FF2_0p3_m_TEMP","FF2_1_m_TEMP","FF2_2_m_TEMP","FF2_0p3_m_VEL","FF2_1_m_VEL","FF2_2_m_VEL","FRONT_DOOR_V_1","FRONT_DOOR_W_1","FRONT_DOOR_TEMP_1","FRONT_DOOR_V_2","FRONT_DOOR_W_2","FRONT_DOOR_TEMP_2","FRONT_DOOR_V_3","FRONT_DOOR_W_3","FRONT_DOOR_TEMP_3","FRONT_DOOR_V_4","FRONT_DOOR_W_4","FRONT_DOOR_TEMP_4","FRONT_DOOR_V_5","FRONT_DOOR_W_5","FRONT_DOOR_TEMP_5","FRONT_DOOR_V_6","FRONT_DOOR_W_6","FRONT_DOOR_TEMP_6","FRONT_DOOR_V_7","FRONT_DOOR_W_7","FRONT_DOOR_TEMP_7","FRONT_DOOR_V_8","FRONT_DOOR_W_8","FRONT_DOOR_TEMP_8"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0289915E+000, 1.9993879E+001, 1.9987823E+001, 1.9994204E+001, 1.0032016E-002, 8.1836227E-003, 7.7434429E-003, 1.9993364E+001, 1.9987309E+001, 1.9993259E+001, 5.8496478E-003, 9.0015884E-003, 3.8627104E-003, 7.8714984E-006, 3.4805345E-007, 2.0000000E+001, 7.8035837E-006, 3.5759672E-007, 2.0000000E+001, 7.5390467E-006, 3.1109556E-007, 2.0000000E+001, 7.2839266E-006, 2.7799416E-007, 2.0000000E+001, 7.1128202E-006, 1.9216813E-007, 2.0000000E+001, 7.2795292E-006, 2.3101597E-007, 2.0000000E+001, 7.2002213E-006, 1.7819443E-007, 2.0000000E+001, 6.8230793E-006, 1.1598608E-007, 2.0000000E+001
 2.0151084E+000, 1.9987120E+001, 1.9975338E+001, 1.9987755E+001, 9.4178468E-003, 7.9223197E-003, 7.5654159E-003, 1.9986284E+001, 1.9974535E+001, 1.9985811E+001, 5.7005757E-003, 8.5236775E-003, 3.6587592E-003, 9.2359202E-004,-1.6893077E-003, 1.9869766E+001, 8.1982469E-004,-1.7832458E-003, 1.9876472E+001, 7.1241509E-004,-1.7014011E-003, 1.9886496E+001, 8.1706705E-004,-1.6419890E-003, 1.9893421E+001, 6.2950986E-004,-1.4810014E-003, 1.9899790E+001, 7.2296272E-004,-1.3546509E-003, 1.9910072E+001, 7.2777155E-004,-1.2040555E-003, 1.9916876E+001, 7.9614087E-004,-1.0475199E-003, 1.9923586E+001
 3.0012252E+000, 1.9985619E+001, 1.9973425E+001, 1.9986540E+001, 8.6940564E-003, 7.9282867E-003, 7.1667186E-003, 1.9985146E+001, 1.9973206E+001, 1.9984648E+001, 5.5547482E-003, 8.0574928E-003, 3.4757317E-003, 1.8975625E-003,-5.0165188E-003, 1.9872562E+001, 1.7548326E-003,-5.3020706E-003, 1.9878752E+001, 1.5267264E-003,-5.0720205E-003, 1.9888163E+001, 1.8339388E-003,-4.8732413E-003, 1.9895273E+001, 1.2978909E-003,-4.4405041E-003, 1.9900837E+001, 1.6021256E-003,-4.0610451E-003, 1.9911186E+001, 1.5875269E-003,-3.5992938E-003, 1.9918123E+001, 1.7843386E-003,-3.1327808E-003, 1.9924679E+001
 4.0302168E+000, 1.9985302E+001, 1.9972895E+001, 1.9986200E+001, 8.0596879E-003, 8.3809113E-003, 6.4910059E-003, 1.9984869E+001, 1.9972931E+001, 1.9984383E+001, 5.5014850E-003, 7.6528783E-003, 3.2987867E-003, 2.2865974E-003,-8.2344273E-003, 1.9877302E+001, 2.2214516E-003,-8.7352721E-003, 1.9882607E+001, 1.9582757E-003,-8.4026167E-003, 1.9891073E+001, 2.4654460E-003,-8.0562606E-003, 1.9898211E+001, 1.6227147E-003,-7.3863398E-003, 1.9903133E+001, 2.1736880E-003,-6.7672990E-003, 1.9913319E+001, 2.1277161E-003,-5.9854747E-003, 1.9920391E+001, 2.4619536E-003,-5.2107512E-003, 1.9926794E+001
 5.0163336E+000, 1.9985218E+001, 1.9972738E+001, 1.9986170E+001, 7.7479752E-003, 8.5013825E-003, 6.1166608E-003, 1.9984798E+001, 1.9972902E+001, 1.9984251E+001, 5.4670856E-003, 7.2723757E-003, 3.1390234E-003, 3.1022045E-003,-1.1150291E-002, 1.9882994E+001, 3.0134518E-003,-1.1920458E-002, 1.9887171E+001, 2.6543078E-003,-1.1558982E-002, 1.9894464E+001, 3.3094757E-003,-1.1082624E-002, 1.9901417E+001, 2.1682435E-003,-1.0192374E-002, 1.9905960E+001, 2.9470667E-003,-9.3657272E-003, 1.9915775E+001, 2.8474056E-003,-8.2750982E-003, 1.9922916E+001, 3.3093186E-003,-7.2152335E-003, 1.9929173E+001
 6.0024505E+000, 1.9985161E+001, 1.9972631E+001, 1.9986158E+001, 7.3870374E-003, 8.3736293E-003, 5.9501021E-003, 1.9984751E+001, 1.9972885E+001, 1.9984142E+001, 5.2993852E-003, 6.8415399E-003, 3.0106383E-003, 3.0762081E-003,-1.3682065E-002, 1.9889322E+001, 3.1099182E-003,-1.4795796E-002, 1.9892210E+001, 2.7511348E-003,-1.4488892E-002, 1.9898199E+001, 3.5670847E-003,-1.3927931E-002, 1.9904730E+001, 2.1842781E-003,-1.2819916E-002, 1.9909138E+001, 3.1958567E-003,-1.1825430E-002, 1.9918423E+001, 3.0419345E-003,-1.0446927E-002, 1.9925510E+001, 3.6222420E-003,-9.1178985E-003, 1.9931633E+001
 7.0314420E+000, 1.9985109E+001, 1.9972544E+001, 1.9986149E+001, 6.8334378E-003, 8.3177909E-003, 5.6835325E-003, 1.9984709E+001, 1.9972866E+001, 1.9984043E+001, 5.0570527E-003, 6.3783540E-003, 2.9429034E-003, 2.9096871E-003,-1.5850570E-002, 1.9895798E+001, 3.0638943E-003,-1.7417325E-002, 1.9897331E+001, 2.7144682E-003,-1.7263375E-002, 1.9901979E+001, 3.6828201E-003,-1.6689014E-002, 1.9907881E+001, 2.0982432E-003,-1.5326643E-002, 1.9912386E+001, 3.3185219E-003,-1.4198843E-002, 1.9921068E+001, 3.1166174E-003,-1.2564094E-002, 1.9927973E+001, 3.8036304E-003,-1.0963996E-002, 1.9933990E+001
 8.0175589E+000, 1.9985064E+001, 1.9972475E+001, 1.9986137E+001, 6.4265141E-003, 8.4731663E-003, 5.2518062E-003, 1.9984674E+001, 1.9972845E+001, 1.9983953E+001, 4.8713041E-003, 5.9921932E-003, 2.9015995E-003, 2.7170924E-003,-1.7607545E-002, 1.9902546E+001, 2.9845582E-003,-1.9749198E-002, 1.9902472E+001, 2.6587502E-003,-1.9849299E-002, 1.9905785E+001, 3.7707097E-003,-1.9350534E-002, 1.9910877E+001, 2.0361433E-003,-1.7703213E-002, 1.9915676E+001, 3.4322259E-003,-1.6470896E-002, 1.9923664E+001, 3.1925605E-003,-1.4618877E-002, 1.9930260E+001, 3.9723776E-003,-1.2737923E-002, 1.9936197E+001
