s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000,-6.2736664E+001,-4.4408921E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2736664E+001, 0.0000000E+000
 1.0289915E+000, 1.2096308E-001,-5.8269088E+001, 4.3757525E+001,-4.5604161E-001, 8.7343078E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7535075E-007,-1.4845768E+001, 6.0619670E-006
 2.0151083E+000, 4.1129307E-001,-1.2535629E+001, 1.2312714E+001,-4.4912909E-001, 2.4868231E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3717972E+002,-2.5826462E-001, 1.7289784E-005
 3.0012252E+000, 7.0074958E-001,-1.6993884E+000,-1.3012352E+000,-2.3256211E-001, 4.0727803E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3367923E-004,-2.5283633E+000, 2.8359463E-005
 4.0302167E+000, 9.9951936E-001,-6.0178320E-001, 1.0046313E+001,-1.5539603E-001, 5.7069461E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6799456E-003, 1.0294360E+001, 3.9756400E-005
 5.0163336E+000, 1.2943949E+000,-5.5072691E-001,-4.2308729E+000,-1.2972476E-001, 7.3238334E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3831135E-003,-3.6096059E+000, 5.0973236E-005
 6.0024505E+000, 1.5850535E+000,-6.0946609E-001, 3.1320200E+000,-1.1891356E-001, 8.9314135E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2258140E-003, 3.9976253E+000, 6.2095628E-005
 7.0314422E+000, 1.8852564E+000,-6.8807885E-001, 3.3423184E+000,-1.1419117E-001, 1.0571176E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7897413E-003, 4.4358759E+000, 7.3450834E-005
 8.0175591E+000, 2.1814389E+000,-7.7036317E-001, 5.9728819E-001,-1.0987462E-001, 1.2186285E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1942498E-003, 1.9106755E+000, 8.4656687E-005
 9.0036755E+000, 2.4740406E+000,-8.5537911E-001, 7.1080470E+000,-1.0936647E-001, 1.3789984E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2787241E-003, 8.6311321E+000, 9.5779079E-005
 1.0032667E+001, 2.7746759E+000,-9.4677418E-001,-5.4876502E-001,-1.1179328E-001, 1.5431167E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9427200E-003, 1.1827746E+000, 1.0714527E-004
