Time (s),HRR (kW)
0,0
17,4.5
22.7,4.5
25.1,15.7
34.8,12
46,12
53.3,15.7
65.1,19.5
79.9,49.4
97.5,98
112.3,146.7
125,199
132.9,225.2
141.7,236.4
144.1,258.9
146.9,266.4
156.5,333.7
160.5,337.5
167.4,367.4
176.5,419.8
183.8,431
187.7,423.5
194.7,487.1
197.1,543.2
201.4,621.8
204.1,636.7
205.3,685.4
207.7,715.3
214.7,749
221.9,786.4
230.1,838.8
235.3,868.7
241.3,913.6
244,995.9
245.6,1037
247.4,1040.8
249.5,1074.4
251,1078.2
252.8,1149.3
257.1,1212.9
260.4,1302.6
268.6,1579.5
273.4,1732.9
278.6,1792.7
281.9,1882.5
284.9,2006
288.2,2118.2
292.2,2350.1
294.9,2559.6
296.4,2686.8
297.3,2952.4
299.2,3109.6
302.2,3494.9
304.3,3685.7
306.4,3861.5
308.2,3962.5
310.1,4127.1
312.2,4261.8
314,4314.2
317.3,4467.6
318.8,4579.8
320.6,4688.3
322.2,4714.5
322.5,4811.8
323.4,4879.1
325.5,4946.4
326.1,5036.2
327.3,5118.5
331.9,5148.4
334.3,4935.2
335.5,5152.2
336.1,5234.5
337.6,5328
338.8,5316.8
339.4,5223.3
340.6,5260.7
341.8,5230.7
343.4,5122.3
344.9,5051.2
345.5,4905.3
346.7,4849.2
349.1,4897.8
352.1,4916.5
352.7,5047.4
355.2,4905.3
355.8,5010
356.1,5152.2
356.4,5212
357.6,5242
358.8,5343
360.3,5260.7
361.5,5197.1
362.1,5111
362.7,5054.9
364.9,5069.9
365.2,4912.8
366.1,4849.2
367,4905.3
368.5,4976.4
371.2,5010
372.4,5077.4
373.3,5103.6
374.8,5204.6
376.7,4998.8
377.6,5088.6
378.8,5006.3
379.7,5208.3
380.3,5354.2
380.6,5391.6
382.4,5305.6
383.6,5324.3
385.1,5444
387,5339.2
387.9,5316.8
389.1,5264.4
389.7,4995.1
390.9,4707
391.5,4587.3
393,4546.1
393.9,4583.5
394.5,4493.8
395.7,4523.7
396.7,4481.1
397.6,4346.5
399.2,4387.6
400.4,4365.2
400.7,4185.6
401.9,4163.2
403.7,4107
404.9,4036
405.8,3871.4
406.7,3920
409.2,3804
409.8,3680.6
410.7,3673.1
414,3299
415.7,3311.6
417.5,3139.5
418.7,3210.6
420,3105.8
420.9,3143.2
422.1,3147
423,3046
424.8,3008.6
426,2941.2
426.9,2847.7
427.8,2810.3
428.7,2750.4
430.9,2731.7
431.8,2683.1
432.7,2664.4
434.2,2679.4
435.7,2660.6
436.9,2600.8
437.5,2548.4
438.7,2518.5
439.9,2421.2
441.5,2342.7
442.7,2368.8
443.6,2338.9
444.8,2320.2
445.7,2279.1
446.6,2305.2
447.8,2196.8
448.4,2256.6
449.6,2193
450.8,2151.9
452.1,2140.6
452.7,2028.4
453.9,2043.4
455.4,2006
456,1949.8
456.9,1919.9
457.5,1878.8
458.7,1890
459.9,1755.3
461.7,1695.5
463,1669.3
463.6,1699.2
464.8,1594.4
466,1579.5
466.6,1530.8
469,1504.7
469.6,1523.4
470.8,1482.2
472,1493.4
473.3,1504.7
476.3,1512.1
477.8,1512.1
478.7,1444.8
479.9,1456
481.7,1399.9
485.1,1343.8
487.5,1272.7
490.2,1190.4
493.8,1160.5
494.4,1134.3
497.2,1190.4
498.7,1246.5
499.9,1194.2
502.6,1171.7
503.5,1190.4
505.6,1123.1
507.2,1022.1
508.7,958.5
510.8,939.8
512.9,879.9
515.3,853.7
516.5,887.4
519,846.2
525.3,853.7
525.6,838.8
528.1,838.8
529.6,801.3
532.3,775.2
533.8,726.5
536.8,711.6
539.3,700.3
545.6,719
549.6,689.1
554.4,655.4
557.4,595.6
560.8,535.7
564.1,490.8
568.6,468.4
578,479.6
583.8,479.6
587.7,442.2
591.9,423.5
597.4,374.9
604.1,356.2
612.5,326.2
620.7,318.7
624.9,273.9
630.7,258.9
636.5,300
642.2,307.5
644.3,307.5
649.2,258.9
653.4,217.7
662.8,221.5
671.3,232.7
677.3,232.7
686.7,202.8
700.3,184.1
718.2,165.4
737,150.4
750.6,142.9
764.5,120.5
779.7,128
791.5,116.7
803,116.7
813,105.5
820.8,120.5
828.7,113
836.6,98
846.3,105.5
855.4,98
867.5,98
877.2,98
887.2,90.5
899.6,83.1
919.6,83.1
932.9,83.1
950.4,83.1
969.2,75.6
