s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000,-7.2243874E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2243874E+001, 0.0000000E+000
 3.0640894E-001, 6.5174032E+001,-9.3465576E+001, 1.0063929E+004,-5.2696539E-001, 2.5535880E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6444060E-001, 1.0035366E+004, 8.6455527E-003
 6.0958034E-001, 2.8155958E+002,-1.2469706E+002,-6.4980334E+002,-3.6160560E+000, 5.0893172E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3267118E+000,-4.9604795E+002, 2.4181049E-002
 9.0860492E-001, 4.6816274E+002,-1.5972815E+002,-8.0070198E+002,-1.1741371E+001, 1.0397476E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5351797E+001,-5.0296901E+002, 4.0007143E-002
 1.2040308E+000, 6.8374579E+002,-2.2784635E+002,-4.9922952E+002,-1.1299264E+001, 1.4905896E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6992612E+001,-5.3138756E+001, 5.5480904E-002
 1.5110619E+000, 8.3379211E+002,-2.7544403E+002,-3.2513651E+002,-1.3999609E+001, 1.7892029E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5987306E+001, 2.2100117E+002, 7.1384834E-002
 1.8058069E+000, 1.0189829E+003,-3.3742488E+002, 6.0986952E+001,-1.3927812E+001, 2.0549422E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8811824E+001, 7.3067208E+002, 8.6833263E-002
 2.1053550E+000, 1.2492345E+003,-4.1101999E+002,-7.7410231E+002,-1.5844817E+001, 2.3431118E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3219393E+001, 5.0610548E+001, 1.0214640E-001
 2.4065108E+000, 1.6208797E+003,-5.3076786E+002,-1.3002026E+003,-3.1148321E+001, 2.4502222E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7880618E+001,-2.3878884E+002, 1.1786884E-001
 2.7089994E+000, 1.5974135E+003,-5.1852819E+002,-9.0783754E+002,-3.9882516E+001, 2.4092088E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5455933E+000, 1.3357445E+002, 1.3361146E-001
 3.0027902E+000, 2.0976360E+003,-6.8706244E+002,-1.1345757E+003,-4.1946308E+001, 2.7492941E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1906904E+001, 2.3680077E+002, 1.4899687E-001
 3.3007073E+000, 2.3498728E+003,-7.6151013E+002,-1.5856321E+003,-4.8652345E+001, 2.9716491E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3374408E+001,-4.2950118E+001, 1.6444574E-001
 3.6031399E+000, 2.7806323E+003,-9.0718558E+002,-1.6371129E+003,-6.2423309E+001, 3.0339824E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9990070E+001, 1.7694454E+002, 1.8012757E-001
 3.9053614E+000, 2.6004452E+003,-8.4681230E+002,-1.6622350E+003,-7.7072870E+001, 3.1061914E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7921927E+001, 1.7431223E+001, 1.9583631E-001
 4.2062297E+000, 2.9139793E+003,-9.5165499E+002,-1.7380286E+003,-8.1768507E+001, 3.1851564E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9804877E+001, 1.4571229E+002, 2.1157899E-001
 4.5023208E+000, 3.9160752E+003,-1.2880283E+003,-2.3697649E+003,-8.4483509E+001, 3.4614610E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4916009E+001, 1.7725993E+002, 2.2719188E-001
 4.8025513E+000, 3.5590052E+003,-1.1727538E+003,-2.2917453E+003,-8.8350699E+001, 3.7003475E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8484448E+001, 9.8558243E+000, 2.4277269E-001
 5.1014261E+000, 4.2676026E+003,-1.4166784E+003,-2.5965343E+003,-9.5973881E+001, 3.9830902E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0149544E+002, 1.6239909E+002, 2.5838178E-001
 5.4033508E+000, 4.0498563E+003,-1.3426385E+003,-2.6855200E+003,-1.1121616E+002, 3.9733880E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1624454E+000,-8.5544854E+001, 2.7393981E-001
