s,kW,kW
Time,"Basement_HRR","First_Floor_HRR"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3541020E-001, 1.0305340E-002, 0.0000000E+000
 6.1491869E-001, 1.6450170E-001, 0.0000000E+000
 9.5032889E-001, 1.6253637E-001, 0.0000000E+000
 1.2298374E+000, 3.6429679E-001, 0.0000000E+000
 1.5093459E+000, 4.9829674E-001, 0.0000000E+000
 1.8261582E+000, 3.7349313E-001, 0.0000000E+000
 2.1012118E+000, 5.6333178E-001, 0.0000000E+000
 2.4034210E+000, 7.7007002E-001, 0.0000000E+000
 2.7108728E+000, 8.5847569E-001, 0.0000000E+000
 3.0091517E+000, 7.0228320E-001, 0.0000000E+000
 3.3041658E+000, 7.1386033E-001, 0.0000000E+000
 3.6067775E+000, 7.9608446E-001, 0.0000000E+000
 3.9083819E+000, 9.4719201E-001, 0.0000000E+000
 4.2085587E+000, 1.0597342E+000, 0.0000000E+000
 4.5041728E+000, 1.1540421E+000, 2.4875862E-007
 4.8048186E+000, 1.4552915E+000, 3.9438717E-007
 5.1021883E+000, 1.4896742E+000, 8.2953993E-006
 5.4095842E+000, 1.6658928E+000, 2.4452293E-005
 5.7090331E+000, 2.3995268E+000, 2.5984378E-005
 6.0011712E+000, 2.4461701E+000, 7.7567065E-006
 6.3062657E+000, 1.9186543E+000, 4.8059933E-006
 6.6001503E+000, 1.8194185E+000, 8.8301304E-006
 6.9051202E+000, 2.5323043E+000, 3.5202986E-006
 7.2011369E+000, 2.2463408E+000, 6.3191859E-005
 7.5028380E+000, 3.1238267E+000, 1.1657983E-004
 7.8025906E+000, 4.0718255E+000, 3.6679470E-005
 8.1062845E+000, 5.4515438E+000, 1.0186471E-005
 8.4006878E+000, 4.6084871E+000, 7.2014836E-006
 8.7008915E+000, 5.8851013E+000, 7.6228953E-006
 9.0076815E+000, 5.8039441E+000, 1.9567824E-004
 9.3078497E+000, 6.7846522E+000, 5.3576921E-004
 9.6082663E+000, 1.0955410E+001, 1.6856685E-004
 9.9068302E+000, 1.2129358E+001, 3.7812981E-005
 1.0200920E+001, 1.6114395E+001, 2.8213108E-005
 1.0506634E+001, 1.7037722E+001, 1.3423706E-005
 1.0803430E+001, 1.9115322E+001, 1.5045150E-005
 1.1105508E+001, 1.4291155E+001, 2.6414809E-005
 1.1404347E+001, 1.8899578E+001, 3.3616809E-005
 1.1707545E+001, 1.9598614E+001, 4.9104921E-005
 1.2004223E+001, 3.6696751E+001, 4.4564920E-005
 1.2301079E+001, 6.8648376E+001, 1.7749086E-004
 1.2600536E+001, 5.6685799E+001, 1.4486878E-004
 1.2909713E+001, 2.9948982E+001, 9.4596318E-005
 1.3202290E+001, 8.9098024E+000, 1.2568796E-004
 1.3508876E+001, 8.1110802E+000, 1.5072896E-004
 1.3801245E+001, 9.9816952E+000, 1.8680077E-005
 1.4101378E+001, 2.2749372E+001, 2.0280379E-005
 1.4406650E+001, 3.8695839E+001, 4.1609659E-005
 1.4704081E+001, 3.9132854E+001, 4.4294309E-005
 1.5007074E+001, 7.0890854E+001, 2.3925637E-005
 1.5306708E+001, 3.4497589E+001, 1.0869783E-004
 1.5601415E+001, 2.5292866E+001, 8.8797970E-005
 1.5907711E+001, 2.9884697E+001, 4.7788439E-005
 1.6203952E+001, 3.4806782E+001, 1.3015179E-004
 1.6501061E+001, 1.8816437E+001, 1.1014014E-004
 1.6806556E+001, 3.4236580E+001, 1.2320642E-004
 1.7103097E+001, 2.2727274E+001, 6.4913617E-003
 1.7411002E+001, 1.7048712E+001, 5.8567561E-003
 1.7706984E+001, 4.0536110E+001, 1.2064368E-002
 1.8000342E+001, 7.0375572E+001, 9.8247277E-003
 1.8308266E+001, 9.6825607E+001, 4.8976317E-003
 1.8610285E+001, 1.2401298E+002, 9.5190685E-003
 1.8906272E+001, 9.1993622E+001, 6.9501527E-002
 1.9208256E+001, 1.3435875E+002, 1.8062158E-002
