s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C
Time,"Basement_HRR_1","Basement_HRR_2","Basement_HRR_3","Basement_HRR_4","Basement_HRR_5","Basement_HRR_6","FirstFloor_HRR_1","FirstFloor_HRR_2","FirstFloor_HRR_3","FirstFloor_HRR_4","FirstFloor_HRR_5","FirstFloor_HRR_6","FirstFloor_HRR_7","FirstFloor_HRR_8","FirstFloor_HRR_9","FirstFloor_HRR_10","FirstFloor_HRR_11","FirstFloor_HRR_12","0.08 m BS, V, Rear","0.34 m BS, V, Rear","0.61 m BS, V, Rear","0.88 m BS, V, Rear","1.15 m BS, V, Rear","1.42 m BS, V, Rear","1.68 m BS, V, Rear","1.95 m BS, V, Rear","0.08 m BS, W, Rear","0.34 m BS, W, Rear","0.61 m BS, W, Rear","0.88 m BS, W, Rear","1.15 m BS, W, Rear","1.42 m BS, W, Rear","1.68 m BS, W, Rear","1.95 m BS, W, Rear","0.08 m BS, T, Rear","0.34 m BS, T, Rear","0.61 m BS, T, Rear","0.88 m BS, T, Rear","1.15 m BS, T, Rear","1.42 m BS, T, Rear","1.68 m BS, T, Rear","1.95 m BS, T, Rear","0.08 m BS, V, Front","0.34 m BS, V, Front","0.61 m BS, V, Front","0.88 m BS, V, Front","1.15 m BS, V, Front","1.42 m BS, V, Front","1.68 m BS, V, Front","1.95 m BS, V, Front","0.08 m BS, W, Front","0.34 m BS, W, Front","0.61 m BS, W, Front","0.88 m BS, W, Front","1.15 m BS, W, Front","1.42 m BS, W, Front","1.68 m BS, W, Front","1.95 m BS, W, Front","0.08 m BS, T, Front","0.34 m BS, T, Front","0.61 m BS, T, Front","0.88 m BS, T, Front","1.15 m BS, T, Front","1.42 m BS, T, Front","1.68 m BS, T, Front","1.95 m BS, T, Front","0.08 m BS, U, Stair","0.34 m BS, U, Stair","0.61 m BS, U, Stair","0.88 m BS, U, Stair","1.15 m BS, U, Stair","1.42 m BS, U, Stair","1.68 m BS, U, Stair","1.95 m BS, U, Stair","0.08 m BS, W, Stair","0.34 m BS, W, Stair","0.61 m BS, W, Stair","0.88 m BS, W, Stair","1.15 m BS, W, Stair","1.42 m BS, W, Stair","1.68 m BS, W, Stair","1.95 m BS, W, Stair","0.08 m BS, T, Stair","0.34 m BS, T, Stair","0.61 m BS, T, Stair","0.88 m BS, T, Stair","1.15 m BS, T, Stair","1.42 m BS, T, Stair","1.68 m BS, T, Stair","1.95 m BS, T, Stair"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.2800763E-004, 4.5064739E-003, 5.0564860E-003,-3.9660437E-003,-1.2904919E-002, 5.3675948E-003,-7.8607205E-005, 3.5030749E-003, 0.0000000E+000,-3.0906405E-003,-3.6465828E-003, 1.8016160E-003, 7.0679062E-003,-4.9317414E-003,-3.9561037E-003,-1.1509871E-002, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 3.2481974E-001, 0.0000000E+000, 7.0856981E-002, 1.4466759E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1323073E-002,-1.1527698E-002,-1.1669505E-002,-1.1855762E-002,-1.2002968E-002,-1.2077756E-002,-1.2153276E-002,-1.2183724E-002, 3.1440030E-004, 8.0276055E-005, 6.1734958E-005, 4.9793027E-005, 3.8711431E-005, 3.0716430E-005, 1.7917160E-005, 4.5203865E-006, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-8.1897160E-004,-8.6785463E-004,-6.8054715E-004,-8.6430227E-004,-8.0945971E-004,-7.9798000E-004,-7.4563746E-004,-5.2100519E-004,-1.2120851E-006,-1.5943333E-004,-6.7638041E-004, 3.6087350E-004, 4.8694579E-005, 2.7895167E-005, 1.2241238E-004, 1.0451834E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.0511714E-001,-7.8356400E-002,-7.5683810E-002,-9.2670888E-002,-1.1607100E-001,-1.1468105E-001,-1.5684897E-001,-2.7008495E-001, 2.9716926E-004, 1.4778619E-002, 1.6500654E-002, 4.2961281E-002, 5.6733064E-002, 5.1962152E-002, 6.3835397E-002, 4.2230707E-002, 2.0000002E+001, 1.9999981E+001, 1.9999977E+001, 1.9999943E+001, 1.9999928E+001, 1.9999935E+001, 1.9999914E+001, 1.9999929E+001
 6.0658225E-001, 0.0000000E+000, 4.7977629E-001, 5.8419586E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0901369E-002,-1.0859285E-002,-1.0854066E-002,-1.0858744E-002,-1.0869228E-002,-1.0876673E-002,-1.0885620E-002,-1.0889635E-002, 8.5490115E-005, 3.3185311E-006, 1.2155651E-006, 2.0444700E-006, 2.1590074E-006, 1.8511330E-006, 1.1164528E-006, 2.8298035E-007, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.9052096E-003,-1.9955274E-003,-1.5055422E-003,-2.0010362E-003,-1.9134287E-003,-1.9050594E-003,-1.9510536E-003,-1.9776514E-003,-1.7048338E-005,-3.3488323E-004,-1.3331886E-003, 6.8467751E-004, 7.3410010E-005, 4.0220416E-006,-1.2613078E-004,-1.1423035E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-7.5514746E-001,-6.1780757E-001,-5.8804101E-001,-6.1487168E-001,-6.7020690E-001,-7.3840171E-001,-9.3114048E-001,-1.1873392E+000,-2.8656342E-004, 1.0246014E-001, 1.0288339E-001, 1.5338311E-001, 2.0319994E-001, 2.3192020E-001, 3.0289814E-001, 2.4601412E-001, 1.9999966E+001, 1.9999828E+001, 1.9999821E+001, 1.9999603E+001, 1.9999434E+001, 1.9999327E+001, 1.9999010E+001, 1.9998697E+001
 9.1661738E-001, 0.0000000E+000, 1.8181440E+000, 1.0580403E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0663799E-003, 1.0584382E-003, 1.0631118E-003, 1.0722296E-003, 1.0808191E-003, 1.0855381E-003, 1.0905449E-003, 1.0926214E-003,-6.6289256E-005,-7.5111348E-006,-4.1146423E-006,-3.1197544E-006,-2.4409528E-006,-1.9333038E-006,-1.1075030E-006,-2.7815665E-007, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-2.9621690E-003,-3.1141674E-003,-2.3560075E-003,-3.1162987E-003,-2.9615948E-003,-2.9375190E-003,-2.9742529E-003,-2.9228828E-003,-1.5763317E-005,-4.8433212E-004,-1.9861972E-003, 1.0084209E-003, 9.6665332E-005, 4.8097070E-007,-1.3966825E-004,-1.1904369E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-3.3496794E-001,-5.1476866E-001,-4.7491577E-001,-4.7393465E-001,-5.1588899E-001,-5.7458109E-001,-7.5139523E-001,-4.8175484E-001,-2.5919804E-004, 8.2324162E-002, 7.6114580E-002, 9.9110253E-002, 1.4564165E-001, 1.6872068E-001, 2.2907889E-001, 2.4402715E-001, 2.0000425E+001, 1.9999716E+001, 1.9999866E+001, 1.9999022E+001, 1.9998575E+001, 1.9998163E+001, 1.9996855E+001, 1.9996990E+001
 1.2145071E+000, 0.0000000E+000, 4.1931539E+000, 1.5645985E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5110221E-003, 1.5175340E-003, 1.5163836E-003, 1.5142007E-003, 1.5123121E-003, 1.5112784E-003, 1.5101199E-003, 1.5096035E-003, 3.8641083E-005, 4.1725848E-006, 1.6433920E-006, 6.7033409E-007, 2.2170001E-007, 2.2365899E-008,-1.0906298E-007,-4.5327770E-008, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.6124966E-003, 1.6979005E-003, 1.2913647E-003, 1.6956516E-003, 1.6049009E-003, 1.5922069E-003, 1.6338557E-003, 1.6846415E-003, 7.1238778E-006, 2.7864287E-004, 1.1490431E-003,-5.8486970E-004,-5.3908916E-005, 5.9651716E-006, 1.3190173E-004, 1.1453336E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.6700438E-001, 1.7217243E-001, 1.7490356E-001, 1.9688895E-001, 2.2034182E-001, 2.4069500E-001, 2.7802476E-001, 1.4901072E+000, 2.5588102E-004,-2.4019059E-002,-4.4267461E-002,-5.8804572E-002,-6.1613254E-002,-7.4977435E-002,-9.5518656E-002,-3.5402679E-001, 2.0000387E+001, 1.9999775E+001, 1.9999821E+001, 1.9998936E+001, 1.9998491E+001, 1.9998003E+001, 1.9996250E+001, 1.9998119E+001
 1.5225811E+000, 0.0000000E+000, 2.9827120E+000, 2.0854741E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4219732E-004,-5.4066943E-004,-5.4492877E-004,-5.5302313E-004,-5.6113634E-004,-5.6585035E-004,-5.7105254E-004,-5.7326665E-004, 3.9118288E-005, 4.4878193E-006, 1.6727392E-006, 4.0911007E-007,-2.0787672E-007,-4.2689769E-007,-4.2275374E-007,-1.2522095E-007, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.1473294E-003, 3.3381481E-003, 2.5321781E-003, 3.3416420E-003, 3.1525469E-003, 3.1141588E-003, 3.1099550E-003, 2.9467000E-003, 8.1431099E-006, 5.3497276E-004, 2.1715190E-003,-1.1121944E-003,-1.0968330E-004,-4.8988403E-007, 1.1299151E-004, 7.8094046E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.7127995E-001, 3.8643530E-001, 3.3531865E-001, 3.4615868E-001, 4.0172100E-001, 4.5270899E-001, 6.3272411E-001, 1.1162342E+000, 1.2202239E-004,-6.4882644E-002,-8.0531694E-002,-9.1106996E-002,-9.0002172E-002,-9.1427810E-002, 1.9830534E-002,-5.0093091E-001, 2.0000589E+001, 1.9999897E+001, 1.9999352E+001, 1.9999344E+001, 1.9999115E+001, 1.9998741E+001, 1.9997416E+001, 1.9999134E+001
 1.8129615E+000, 0.0000000E+000, 1.0547670E+000, 2.5214977E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2454155E-004, 2.2218106E-004, 2.2728430E-004, 2.3610616E-004, 2.4410426E-004, 2.4854054E-004, 2.5335982E-004, 2.5545142E-004,-5.7924699E-005,-9.2741511E-006,-5.0425160E-006,-2.9972307E-006,-1.6746303E-006,-9.4713761E-007,-1.9656977E-007, 2.9686020E-009, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0543725E-004, 4.3633490E-004, 3.4737895E-004, 4.3301930E-004, 3.9856529E-004, 3.8997128E-004, 3.5973734E-004, 2.4657891E-004, 7.4104122E-007, 8.8117158E-005, 3.5874298E-004,-2.0130920E-004,-3.7438167E-005,-2.7332107E-005,-8.5538675E-005,-6.0981850E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0701615E-002, 3.4935626E-001, 2.7504349E-001, 2.6743159E-001, 3.1589925E-001, 3.4669837E-001, 3.7884498E-001, 5.0274223E-001,-1.3020670E-004,-1.1084292E-002,-1.0235662E-001,-7.2956949E-002,-4.5711059E-002,-3.2461278E-002, 3.8230918E-002,-5.7563210E-001, 2.0000898E+001, 2.0000368E+001, 1.9999008E+001, 1.9999958E+001, 1.9999664E+001, 1.9999346E+001, 1.9999105E+001, 2.0000095E+001
 2.1073753E+000, 0.0000000E+000, 1.6404991E+000, 3.0904672E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3598436E-003,-1.3677132E-003,-1.3688611E-003,-1.3704638E-003,-1.3720642E-003,-1.3728378E-003,-1.3734625E-003,-1.3736468E-003,-2.3311584E-005,-5.9648460E-006,-4.1637982E-006,-2.8777688E-006,-1.7786510E-006,-1.1031282E-006,-4.1801849E-007,-9.1990451E-008, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-2.2578350E-005,-2.3750799E-005,-8.5704905E-006,-2.5639738E-005,-2.6682470E-005,-2.8260118E-005,-5.5783737E-005,-1.4120693E-004, 1.1839602E-006, 5.1223287E-007,-1.3141432E-005,-1.0001595E-005,-2.4241695E-005,-3.5663255E-005,-1.1913251E-004,-7.6812203E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.7175733E-002, 3.7929311E-001, 3.3161846E-001, 3.1451416E-001, 3.4663031E-001, 3.5153860E-001, 2.0800436E-001, 3.4689289E-001,-1.2035750E-004, 3.7953466E-002,-1.5387949E-001,-7.7643752E-002,-4.7971487E-002,-5.6849301E-002,-1.9095458E-001,-4.4755346E-001, 2.0001795E+001, 2.0001322E+001, 1.9998955E+001, 2.0000597E+001, 2.0000328E+001, 2.0000298E+001, 2.0000547E+001, 2.0000921E+001
 2.4129428E+000, 0.0000000E+000, 3.4786091E+000, 3.5231818E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7158136E-004, 1.7087799E-004, 1.7138170E-004, 1.7281361E-004, 1.7468486E-004, 1.7595284E-004, 1.7751471E-004, 1.7822438E-004,-7.1215118E-006,-1.4340816E-006,-9.8505916E-007,-6.7404142E-007,-3.4811291E-007,-1.6403538E-007,-2.4852371E-008,-5.1555160E-009, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.8155846E-003, 1.9596708E-003, 1.5105403E-003, 1.9610836E-003, 1.8199605E-003, 1.7920304E-003, 1.7794132E-003, 1.6620881E-003,-1.9586148E-006, 3.3839603E-004, 1.3628944E-003,-7.1499578E-004,-7.9208221E-005,-2.6549380E-006, 7.1724055E-005, 3.9456339E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.2301584E-001, 3.6348954E-001, 4.0129384E-001, 4.1288063E-001, 4.0590286E-001, 3.8642085E-001, 2.0689683E-001, 5.5241138E-001, 5.2641935E-006,-1.0370160E-001,-1.9027315E-001,-1.0565216E-001,-1.0238873E-001,-1.5705994E-001,-3.6219987E-001,-2.8343612E-001, 2.0002264E+001, 2.0001743E+001, 1.9999456E+001, 2.0001432E+001, 2.0001322E+001, 2.0001575E+001, 2.0001858E+001, 2.0001303E+001
