Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod2,0,Pressure_1,Voltage,,,,,99.52,-248.8,Expose_FirstFloor_TopStairs_Rear
SC1Mod2,1,Pressure_2,Voltage,,,,,99.52,-248.8,Expose_FirstFloor_Mid
SC1Mod2,2,Pressure_3,Voltage,,,,,99.52,-248.8,
SC1Mod2,3,Pressure_4,Voltage,,,,,99.52,-248.8,
SC1Mod2,4,Pressure_5,Voltage,,,,,99.52,-248.8,Expose_Basement_VicitimLocation
SC1Mod2,5,Pressure_6,Voltage,,,,,99.52,-248.8,Expose_Basement_FrontThird
SC1Mod2,6,Pressure_7,Voltage,,,,,99.52,-248.8,
SC1Mod2,7,Pressure_8,Voltage,,,,,99.52,-248.8,
SC1Mod2,8,Pressure_9,Voltage,,,,,99.52,-248.8,Fire_FirstFloor_Mid
SC1Mod2,9,Pressure_10,Voltage,,,,,99.52,-248.8,
SC1Mod2,10,Pressure_11,Voltage,,,,,99.52,-248.8,
SC1Mod2,11,Pressure_12,Voltage,,,,,99.52,-248.8,
