s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7690326E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7690326E-002, 3.7728344E-003
 1.0000000E+000, 3.6308263E+002,-1.2615237E+002,-7.5921414E+001,-6.8751303E+000, 4.3960939E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0326313E+002, 1.5457332E+002, 3.1494059E-002
 2.0055397E+000, 1.1464199E+003,-3.8731335E+002,-4.6357589E+002,-1.4853099E+001, 2.4549729E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6546428E+001, 2.8313250E+002, 8.3747798E-002
 3.0062938E+000, 1.9870012E+003,-6.6091223E+002,-1.1460879E+003,-4.9179725E+001, 3.6712367E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7431818E+001, 1.3449258E+002, 1.3557045E-001
 4.0045805E+000, 2.6585253E+003,-9.0081104E+002,-1.4963330E+003,-1.1798307E+002, 4.6838344E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9635127E+001, 1.4808205E+002, 1.8542087E-001
 5.0050898E+000, 3.6766500E+003,-1.2387588E+003,-2.1639703E+003,-1.6396680E+002, 5.5621676E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0735751E+001, 1.1551621E+002, 2.3205597E-001
 6.0050807E+000, 4.1751849E+003,-1.4293656E+003,-2.4035404E+003,-2.4138133E+002, 6.1379545E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0556122E+002, 1.0703557E+002, 2.7508376E-001
 7.0034285E+000, 5.0378439E+003,-1.7427603E+003,-2.8901786E+003,-3.1156140E+002, 6.7996230E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0294218E+002, 1.0014316E+002, 3.1397727E-001
 8.0025454E+000, 5.5688935E+003,-1.9897058E+003,-3.0708450E+003,-3.9044936E+002, 7.2288279E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1609843E+002, 1.2512224E+002, 3.4871827E-001
 9.0009899E+000, 6.1187515E+003,-2.2553127E+003,-3.2851001E+003,-4.8193552E+002, 7.9331941E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1462119E+002, 1.0433647E+002, 3.7931078E-001
 1.0001417E+001, 6.4334564E+003,-2.4679018E+003,-3.3157613E+003,-5.6315784E+002, 7.9373804E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2694024E+002, 9.4572896E+001, 4.0601313E-001
 1.1000282E+001, 6.6423080E+003,-2.6946360E+003,-3.1848857E+003,-6.2678085E+002, 7.8406314E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5559180E+002, 1.4384618E+002, 4.2905121E-001
 1.2000407E+001, 7.1410837E+003,-3.1005581E+003,-3.2584811E+003,-7.0087228E+002, 8.2264881E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0468268E+002, 8.9398706E+001, 4.4876286E-001
 1.3002866E+001, 7.4855204E+003,-3.3496019E+003,-3.2818621E+003,-7.2732219E+002, 8.3207494E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1937287E+002, 1.3505487E+002, 4.6553489E-001
 1.4002242E+001, 7.8169537E+003,-3.5887822E+003,-3.3456074E+003,-7.6189392E+002, 8.3446557E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2829706E+002, 1.2901476E+002, 4.7968347E-001
 1.5001270E+001, 7.5437385E+003,-3.6939028E+003,-3.0069939E+003,-8.1015845E+002, 8.3073637E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6152363E+001, 4.0990699E+001, 4.9154951E-001
 1.6002424E+001, 8.4462122E+003,-4.0578219E+003,-3.3787411E+003,-8.2180393E+002, 8.1690046E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4518073E+002, 1.9601431E+002, 5.0147649E-001
 1.7000656E+001, 7.6825543E+003,-3.9143825E+003,-2.9440211E+003,-8.5898059E+002, 8.2900949E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9872176E-001,-2.6539839E+001, 5.0974337E-001
 1.8001356E+001, 7.5416355E+003,-3.9481576E+003,-2.7069428E+003,-8.1915910E+002, 8.1379429E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3442388E+001, 7.5513970E+001, 5.1661233E-001
 1.9000597E+001, 8.4321812E+003,-4.2147567E+003,-3.2553565E+003,-8.4588007E+002, 7.9005305E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6338310E+001, 1.2408843E+002, 5.2230126E-001
 2.0003706E+001, 8.4408835E+003,-4.1370064E+003,-3.3670392E+003,-8.8048709E+002, 8.2624108E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0449867E+001, 6.4613237E+001, 5.2701017E-001
 2.1003384E+001, 8.3638620E+003,-4.1690086E+003,-3.1726982E+003,-9.0667714E+002, 7.7735789E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0836383E+002, 1.2325156E+002, 5.3089759E-001
 2.2002895E+001, 9.2248037E+003,-4.5414436E+003,-3.5723381E+003,-9.8948659E+002, 8.4910524E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0695213E+002, 1.3002650E+002, 5.3409338E-001
