s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0538193E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0538193E-002, 4.7160209E-003
 1.0000000E+000, 4.3741173E+002,-1.5203340E+002,-1.0094266E+002,-6.6338311E+000, 6.1731096E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7344241E+002, 1.7841915E+002, 3.9325015E-002
 2.0093513E+000, 1.4709668E+003,-5.1123585E+002,-6.5651614E+002,-1.2794519E+001, 3.9676280E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4049382E+001, 2.9438794E+002, 1.0389156E-001
 3.0073140E+000, 2.4168675E+003,-8.2714600E+002,-1.4277770E+003,-6.4547245E+001, 5.8329868E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3828176E+001, 1.0323021E+002, 1.6739063E-001
 4.0000224E+000, 3.4525274E+003,-1.1698866E+003,-1.9692598E+003,-1.2258129E+002, 7.1831434E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6501436E+001, 1.9798292E+002, 2.2646217E-001
 5.0047779E+000, 4.5852762E+003,-1.5454895E+003,-2.7484621E+003,-1.9408210E+002, 8.6783530E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9517365E+001, 1.0592082E+002, 2.8004486E-001
 6.0039258E+000, 4.9748898E+003,-1.7053904E+003,-2.8800806E+003,-2.7692986E+002, 9.2197486E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3087643E+002, 1.2170873E+002, 3.2753183E-001
 7.0013356E+000, 6.0623681E+003,-2.1708152E+003,-3.3752470E+003,-3.8552900E+002, 1.0272248E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4347331E+002, 1.4104911E+002, 3.6829574E-001
 8.0022421E+000, 6.0280817E+003,-2.2938595E+003,-3.2244705E+003,-4.6545792E+002, 1.0139589E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1703654E+002, 5.4433355E+001, 4.0284216E-001
 9.0024185E+000, 7.0911702E+003,-2.7581498E+003,-3.6916209E+003,-5.5166415E+002, 1.0456434E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7840474E+001, 1.0019183E+002, 4.3166900E-001
 1.0004375E+001, 7.3523501E+003,-2.9535602E+003,-3.6113415E+003,-6.3548825E+002, 1.0796597E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6539172E+002, 1.6275666E+002, 4.5537720E-001
 1.1001244E+001, 7.6486652E+003,-3.2476124E+003,-3.5824387E+003,-6.9239247E+002, 1.0431379E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3279180E+002, 1.3665308E+002, 4.7463132E-001
 1.2002150E+001, 7.9733299E+003,-3.4838535E+003,-3.6620653E+003,-7.5504033E+002, 1.0780926E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0285101E+002, 8.3151635E+001, 4.9013220E-001
 1.3000441E+001, 8.1025665E+003,-3.6807950E+003,-3.4901477E+003,-8.0799685E+002, 1.1011247E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2159594E+002, 1.3463815E+002, 5.0255397E-001
 1.4002276E+001, 7.9775031E+003,-3.8077651E+003,-3.3010502E+003,-8.3228583E+002, 1.0738830E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9042438E+001, 4.7140901E+001, 5.1244467E-001
 1.5002730E+001, 8.1819801E+003,-3.9703099E+003,-3.3015476E+003,-8.4524717E+002, 1.0001126E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1637548E+002, 7.4876593E+001, 5.2028088E-001
 1.6001513E+001, 8.6078787E+003,-4.2006106E+003,-3.4811858E+003,-8.6831380E+002, 1.0594370E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4630895E+001, 6.8362901E+001, 5.2645356E-001
 1.7001608E+001, 8.6673639E+003,-4.1785637E+003,-3.5532272E+003,-8.9196384E+002, 1.0222356E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8776086E+001, 5.3831567E+001, 5.3130918E-001
 1.8002155E+001, 8.1885162E+003,-4.1786519E+003,-3.0376819E+003,-9.1652652E+002, 9.8626009E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9424111E+001, 6.5518478E+001, 5.3512858E-001
 1.9001669E+001, 8.5687524E+003,-4.3860994E+003,-3.1046177E+003,-9.2676550E+002, 1.0028782E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1939688E+002, 1.6129864E+002, 5.3811999E-001
