s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7690326E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7690326E-002, 3.7728344E-003
 1.0000000E+000, 3.6308263E+002,-1.2615237E+002,-7.5921415E+001,-6.8751304E+000, 4.3960939E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0326313E+002, 1.5457332E+002, 3.1494059E-002
 2.0055394E+000, 1.1464198E+003,-3.8731332E+002,-4.6357556E+002,-1.4853098E+001, 2.4549728E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6546448E+001, 2.8313277E+002, 8.3747794E-002
 3.0062938E+000, 1.9869625E+003,-6.6090387E+002,-1.1460535E+003,-4.9178801E+001, 3.6712476E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7427274E+001, 1.3449753E+002, 1.3557044E-001
 4.0042586E+000, 2.6516339E+003,-8.9658817E+002,-1.4803794E+003,-1.1765234E+002, 4.6825524E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9325135E+001, 1.6169651E+002, 1.8541775E-001
 5.0032644E+000, 3.6435606E+003,-1.2273579E+003,-2.1329655E+003,-1.6108060E+002, 5.4869179E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3575307E+001, 1.2764351E+002, 2.3201208E-001
 6.0047660E+000, 4.3277438E+003,-1.4742662E+003,-2.5085422E+003,-2.3898313E+002, 6.1056693E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1135082E+002, 1.1205794E+002, 2.7503908E-001
 7.0036039E+000, 4.9669821E+003,-1.7236542E+003,-2.8088797E+003,-3.2601413E+002, 6.8862116E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2635820E+002, 1.1532021E+002, 3.1398254E-001
 8.0035009E+000, 5.6373729E+003,-2.0426088E+003,-3.0807747E+003,-4.1856532E+002, 7.2501312E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1512020E+002, 1.0267425E+002, 3.4872534E-001
 9.0029840E+000, 5.9874451E+003,-2.2460493E+003,-3.1097508E+003,-4.9819587E+002, 7.6501156E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1812018E+002, 1.4109931E+002, 3.7936052E-001
 1.0003409E+001, 6.0912000E+003,-2.4030185E+003,-3.0517158E+003,-5.6413295E+002, 7.9593779E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6166301E+001, 8.0292109E+001, 4.0605841E-001
 1.1002505E+001, 7.1295909E+003,-2.8934908E+003,-3.4264918E+003,-6.2981863E+002, 7.9377547E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9306966E+002, 1.8772742E+002, 4.2910364E-001
 1.2000488E+001, 7.2830584E+003,-3.1117371E+003,-3.3748085E+003,-6.8399415E+002, 8.0104747E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2493231E+002, 1.2052917E+002, 4.4878281E-001
 1.3003036E+001, 7.1361048E+003,-3.2457137E+003,-3.0870791E+003,-7.3658864E+002, 8.3175333E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5136749E+001, 7.5040927E+001, 4.6553767E-001
 1.4000731E+001, 7.8074493E+003,-3.6128144E+003,-3.2935775E+003,-7.7423555E+002, 8.3283736E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2460007E+002, 1.3515021E+002, 4.7967237E-001
 1.5000105E+001, 8.1251437E+003,-3.7407010E+003,-3.4687938E+003,-7.9223598E+002, 8.2700436E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0594374E+002, 1.3168291E+002, 4.9152743E-001
 1.6002375E+001, 7.5566665E+003,-3.7090371E+003,-2.9604538E+003,-8.2272023E+002, 8.3562006E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6043941E+001, 7.2811699E+001, 5.0146639E-001
 1.7001019E+001, 8.2146475E+003,-4.1193806E+003,-3.1272971E+003,-8.5332481E+002, 8.4345893E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7303271E+001, 1.2307957E+002, 5.0974347E-001
 1.8000675E+001, 8.2379197E+003,-4.1320741E+003,-3.2473351E+003,-8.6209721E+002, 8.2754280E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4942914E+001, 4.6887581E+000, 5.1660799E-001
 1.9001438E+001, 8.1257860E+003,-4.0258633E+003,-3.1562525E+003,-8.4429595E+002, 8.3452150E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4565456E+001, 1.0771944E+002, 5.2230128E-001
 2.0002329E+001, 9.0126029E+003,-4.2715648E+003,-3.7060487E+003,-8.8000723E+002, 8.6464585E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3012871E+002, 1.6362859E+002, 5.2700725E-001
 2.1000128E+001, 7.6684206E+003,-4.1284882E+003,-2.7153037E+003,-9.1683129E+002, 8.3365164E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3702094E+000,-8.3866129E+001, 5.3088896E-001
 2.2004488E+001, 7.9149077E+003,-4.1831615E+003,-2.6657814E+003,-9.2795172E+002, 7.7052408E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3047225E+002, 1.4571844E+002, 5.3409632E-001
