s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7007587E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7007587E-002, 8.7777445E-005
 3.0162644E-001, 7.9338481E+000,-2.2385490E+001, 6.3240594E+004,-1.8025595E-002, 8.8106996E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6801961E-002, 6.3226213E+004, 2.7202839E-004
 6.0374761E-001, 2.5679477E+001,-9.3854065E+000, 2.0155917E+003,-1.2074507E-001, 2.3262901E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1285250E-002, 2.0319976E+003, 7.2065341E-004
 9.0031135E-001, 5.1546553E+001,-1.7099581E+001,-1.5879088E+003,-3.8466602E-001, 3.8489838E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3068911E-001,-1.5534616E+003, 1.1932972E-003
 1.2061613E+000, 6.7224479E+001,-2.2186954E+001, 2.6736684E+003,-8.6462895E-001, 5.3098585E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7441777E-001, 2.7183723E+003, 1.6709082E-003
 1.5036465E+000, 9.5424034E+001,-3.1543420E+001, 2.5872389E+003,-1.8368531E+000, 6.8281279E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9030168E-001, 2.6499654E+003, 2.1447249E-003
 1.8085637E+000, 1.2145449E+002,-4.0046980E+001,-1.9731377E+002,-2.8100760E+000, 8.3657881E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5442921E+000,-1.1787976E+002, 2.6184069E-003
 2.1002095E+000, 1.4015590E+002,-4.6087773E+001, 2.7570485E+003,-3.5669265E+000, 9.7308028E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9198266E+000, 2.8485228E+003, 3.0887105E-003
 2.4016855E+000, 1.7252746E+002,-5.6805094E+001,-6.4722266E+001,-4.0312036E+000, 1.1242836E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9394788E+000, 4.8093184E+001, 3.5529704E-003
 2.7041888E+000, 2.0628616E+002,-6.7660055E+001,-1.0401852E+003,-4.4246899E+000, 1.2802198E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3176674E+000,-9.0470360E+002, 4.0235676E-003
 3.0053344E+000, 2.0588508E+002,-6.7179540E+001, 2.0733350E+002,-4.6764590E+000, 1.4244442E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1496556E+000, 3.4278703E+002, 4.4937917E-003
 3.3016791E+000, 2.3242801E+002,-7.5849978E+001, 1.6118285E+001,-6.0294545E+000, 1.5636004E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4539341E+000, 1.6823046E+002, 4.9613154E-003
 3.6030235E+000, 2.5287126E+002,-8.2422330E+001,-2.8573043E+002,-7.6046755E+000, 1.7095594E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1656564E-001,-1.2117662E+002, 5.4300068E-003
 3.9015121E+000, 2.8957740E+002,-9.4668280E+001, 2.3406551E+002,-8.8164528E+000, 1.8574513E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4038923E+000, 4.2201563E+002, 5.8987602E-003
 4.2068667E+000, 3.1625020E+002,-1.0317652E+002,-1.6694521E+002,-1.0657351E+001, 2.0007800E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9684973E+000, 3.7471899E+001, 6.3694898E-003
 4.5032768E+000, 3.4802128E+002,-1.1372258E+002,-1.5626482E+002,-1.1716841E+001, 2.1529778E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1793763E+000, 6.8470016E+001, 6.8372351E-003
 4.8065801E+000, 3.5430626E+002,-1.1582774E+002,-9.6539431E+001,-1.2336145E+001, 2.2916410E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3759817E+000, 1.3189458E+002, 7.3042505E-003
 5.1041298E+000, 3.7647996E+002,-1.2301917E+002,-2.7666083E+002,-1.3215338E+001, 2.4379691E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0612783E+000,-3.3977405E+001, 7.7713548E-003
 5.4047709E+000, 3.8896482E+002,-1.2669953E+002,-1.5250092E+002,-1.4510298E+001, 2.5732905E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5510765E+000, 9.7827356E+001, 8.2355983E-003
 5.7060652E+000, 4.2169177E+002,-1.3769731E+002,-2.7243039E+002,-1.6786701E+001, 2.7136973E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5613122E+000,-2.5089237E+000, 8.7023483E-003
 6.0004210E+000, 4.2834346E+002,-1.3996554E+002,-2.0374808E+002,-1.9220233E+001, 2.8537814E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8975123E+000, 6.8263384E+001, 9.1642711E-003
 6.3042169E+000, 4.5515169E+002,-1.4905107E+002,-2.5995862E+002,-2.1383801E+001, 2.9724962E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4493962E+000, 2.7730687E+001, 9.6260850E-003
 6.6036448E+000, 4.9953396E+002,-1.6358594E+002,-2.6263642E+002,-2.3636992E+001, 3.1218431E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4362882E+000, 5.2796446E+001, 1.0092311E-002
 6.9058928E+000, 5.3159027E+002,-1.7416140E+002,-2.8242701E+002,-2.5411306E+001, 3.2681360E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9722088E+000, 5.2858682E+001, 1.0556334E-002
 7.2037969E+000, 5.4500347E+002,-1.7847192E+002,-3.4177090E+002,-2.5473525E+001, 3.4113114E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6595876E+000, 2.6984321E+000, 1.1018412E-002
 7.5040450E+000, 5.8360053E+002,-1.9089259E+002,-3.2582835E+002,-2.6465334E+001, 3.5497673E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3844547E+000, 4.3964014E+001, 1.1478202E-002
 7.8025813E+000, 5.9951459E+002,-1.9614778E+002,-3.4563591E+002,-2.9211649E+001, 3.6959975E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1139920E+000, 3.2215240E+001, 1.1937552E-002
 8.1019993E+000, 6.0469930E+002,-1.9780540E+002,-3.1372825E+002,-3.1148935E+001, 3.8185391E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7620346E+000, 6.5835253E+001, 1.2395787E-002
 8.4003553E+000, 6.2269605E+002,-2.0426147E+002,-3.3109971E+002,-3.1660823E+001, 3.9519119E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4326630E+000, 5.9625963E+001, 1.2852377E-002
 8.7042017E+000, 6.5513312E+002,-2.1388128E+002,-3.9912425E+002,-3.2491783E+001, 4.0854680E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5077982E+000, 1.3721285E+001, 1.3311827E-002
 9.0003796E+000, 6.9610232E+002,-2.2831962E+002,-3.7656767E+002,-3.2944622E+001, 4.1998061E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5597588E+000, 6.2470208E+001, 1.3768615E-002
 9.3022556E+000, 7.0268424E+002,-2.2998674E+002,-4.6101670E+002,-3.4797489E+001, 4.3699870E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5260617E+000,-1.8746696E+001, 1.4223499E-002
 9.6005316E+000, 7.1719260E+002,-2.3505687E+002,-4.1930405E+002,-3.7016691E+001, 4.4988959E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1512855E+000, 3.0313885E+001, 1.4677882E-002
 9.9049044E+000, 7.1407327E+002,-2.3388527E+002,-4.3338683E+002,-3.7826185E+001, 4.5960301E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7211344E+000, 1.3571005E+001, 1.5134182E-002
 1.0200324E+001, 7.7945202E+002,-2.5578235E+002,-4.0748911E+002,-3.8764136E+001, 4.7268073E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2024555E+000, 8.2143224E+001, 1.5586915E-002
 1.0502129E+001, 8.0850905E+002,-2.6489155E+002,-5.2621830E+002,-3.9019716E+001, 4.8879604E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1387399E-001,-1.6732567E+001, 1.6036152E-002
 1.0800695E+001, 8.0003438E+002,-2.6224890E+002,-4.5016153E+002,-4.0284105E+001, 4.9937746E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5926189E+000, 5.2333621E+001, 1.6487471E-002
 1.1102663E+001, 8.0048302E+002,-2.6177505E+002,-4.7498288E+002,-4.1459127E+001, 5.0928272E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1142344E+000, 2.7358796E+001, 1.6937360E-002
 1.1403452E+001, 8.5152195E+002,-2.7847457E+002,-4.7456019E+002,-4.2813829E+001, 5.2207867E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8271243E+000, 6.0894150E+001, 1.7387773E-002
 1.1702178E+001, 9.1262914E+002,-2.9899356E+002,-5.6285536E+002,-4.3886202E+001, 5.4080885E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5573618E+000, 1.2302107E+001, 1.7834508E-002
 1.2002311E+001, 9.4037493E+002,-3.0816947E+002,-5.4896348E+002,-4.4507823E+001, 5.5073867E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7969903E+000, 4.4241539E+001, 1.8279563E-002
 1.2300824E+001, 9.1395055E+002,-2.9937644E+002,-5.6349224E+002,-4.5135209E+001, 5.6118730E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2524248E+000, 1.1558535E+001, 1.8723699E-002
